ID,Route,Scheduled Launch Time,Actual Launch Time,Arrival Time,Distance Travelled (Km),Energy Consumed (KWh),Launching SOC,Arriving SOC
44,M14A-SBS,0 days 12:58:00,0 days 12:58:00,0 days 14:35:10,19.12299999999985,35.18632000000015,0.9033,0.652
280,M34-SBS,0 days 12:55:00,0 days 12:55:00,0 days 14:35:10,20.435999999999826,37.602240000000535,0.9016,0.633
350,M21,0 days 12:18:00,0 days 12:18:00,0 days 14:36:20,29.16299999999981,53.65992000000327,0.9067,0.5234
201,M86-SBS,0 days 13:59:00,0 days 13:59:00,0 days 14:36:50,8.978999999999921,16.52135999999998,0.9008,0.7828
322,M23-SBS,0 days 13:18:00,0 days 13:18:00,0 days 14:38:10,15.875999999999863,29.21184000000172,0.9057,0.697
235,M60-SBS,0 days 10:27:00,0 days 10:27:00,0 days 14:38:30,59.120000000008446,108.78079999999247,0.9044,0.1274
169,M12,0 days 12:30:00,0 days 12:30:00,0 days 14:39:00,26.643999999999778,49.02496000000245,0.9025,0.5524
129,M42,0 days 13:53:00,0 days 13:53:00,0 days 14:39:10,7.943999999999939,14.61695999999985,0.9006,0.7962
109,M50,0 days 13:18:00,0 days 13:18:00,0 days 14:39:50,15.877999999999876,29.215520000001717,0.9057,0.697
216,M79-SBS,0 days 13:21:00,0 days 13:21:00,0 days 14:41:00,16.258000000000024,29.91472000000222,0.9023,0.6886
97,M14D-SBS,0 days 12:58:00,0 days 12:58:00,0 days 14:41:30,19.464999999999836,35.815600000000266,0.901,0.6452
28,M9,0 days 12:07:00,0 days 12:07:00,0 days 14:43:00,31.811999999999784,58.53407999999959,0.9,0.4819
202,M86-SBS,0 days 14:06:00,0 days 14:06:00,0 days 14:43:50,8.978999999999921,16.52135999999998,0.9008,0.7828
298,M34A-SBS,0 days 13:43:00,0 days 13:43:00,0 days 14:43:50,11.076999999999915,20.381679999999772,0.9006,0.755
409,M72,0 days 13:15:00,0 days 13:15:00,0 days 14:44:50,17.482999999999862,32.16871999999963,0.9001,0.6704
156,M55,0 days 12:50:00,0 days 12:50:00,0 days 14:45:30,19.893999999999842,36.6049600000004,0.9052,0.6437
329,M66,0 days 13:40:00,0 days 13:40:00,0 days 14:45:30,12.791999999999888,23.5372800000003,0.9049,0.7367
323,M23-SBS,0 days 13:27:00,0 days 13:27:00,0 days 14:47:10,15.875999999999863,29.21184000000172,0.9057,0.697
390,M57,0 days 13:27:00,0 days 13:27:00,0 days 14:47:50,14.266999999999884,26.251279999999703,0.9004,0.7129
130,M42,0 days 14:03:00,0 days 14:03:00,0 days 14:49:10,7.943999999999939,14.61695999999985,0.9006,0.7962
98,M14D-SBS,0 days 13:06:00,0 days 13:06:00,0 days 14:49:30,19.464999999999836,35.815600000000266,0.901,0.6452
203,M86-SBS,0 days 14:12:00,0 days 14:12:00,0 days 14:49:50,8.978999999999921,16.52135999999998,0.9008,0.7828
217,M79-SBS,0 days 13:30:00,0 days 13:30:00,0 days 14:50:00,16.258000000000024,29.91472000000222,0.9023,0.6886
45,M14A-SBS,0 days 13:13:00,0 days 13:13:00,0 days 14:50:10,19.12299999999985,35.18632000000015,0.9033,0.652
281,M34-SBS,0 days 13:10:00,0 days 13:10:00,0 days 14:50:10,20.435999999999826,37.602240000000535,0.9016,0.633
236,M60-SBS,0 days 10:39:00,0 days 10:39:00,0 days 14:50:30,59.120000000008446,108.78079999999247,0.9044,0.1274
180,M22,0 days 13:05:00,0 days 13:05:00,0 days 14:51:40,21.183999999999838,38.97856000000082,0.9037,0.6253
147,M20,0 days 12:10:00,0 days 12:10:00,0 days 14:54:00,30.218999999999816,55.60295999999966,0.9,0.5028
