,Time (s),ID,Route,Next Stop,Current Stop,Direction,Total Distance (Km),Total Energy (KWh),SOC,At Stop,Previous Direction
13317,310,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
13737,320,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
14157,330,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
14577,340,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
14997,350,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
15417,360,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
15837,370,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
16257,380,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
16677,390,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
17097,400,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
17517,410,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
17937,420,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
18357,430,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
18777,440,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
19197,450,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
19617,460,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
20037,470,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
20457,480,1,M9,E 29 ST/2 AV,Michael J. Quill Depot (MQ),BATTERY PK CITY via AVENUE C via PK ROW,0.0,0.0,0.9,False,BATTERY PK CITY via AVENUE C via PK ROW
