,Time (s),ID,Route,Next Stop,Current Stop,Direction,Total Distance (Km),Total Energy (KWh),SOC,At Stop,Previous Direction
1091037,25970,1,M9,E BROADWAY/PIKE ST,ESSEX ST/ E BROADWAY,BATTERY PK CITY via AVENUE C via PK ROW,10.676749999999943,19.645220000000027,0.7596788571428418,False,BATTERY PK CITY via AVENUE C via PK ROW
1091457,25980,1,M9,E BROADWAY/PIKE ST,ESSEX ST/ E BROADWAY,BATTERY PK CITY via AVENUE C via PK ROW,10.719333333333278,19.72357333333336,0.7591191976190322,False,BATTERY PK CITY via AVENUE C via PK ROW
1091877,25990,1,M9,E BROADWAY/PIKE ST,ESSEX ST/ E BROADWAY,BATTERY PK CITY via AVENUE C via PK ROW,10.761916666666613,19.80192666666669,0.7585595380952227,False,BATTERY PK CITY via AVENUE C via PK ROW
1092297,26000,1,M9,E BROADWAY/MARKET ST,E BROADWAY/PIKE ST,BATTERY PK CITY via AVENUE C via PK ROW,10.779999999999944,19.835200000000025,0.7583218785714132,True,BATTERY PK CITY via AVENUE C via PK ROW
1092717,26010,1,M9,E BROADWAY/MARKET ST,E BROADWAY/PIKE ST,BATTERY PK CITY via AVENUE C via PK ROW,10.779999999999944,19.835200000000025,0.7583218785714132,True,BATTERY PK CITY via AVENUE C via PK ROW
1093137,26020,1,M9,E BROADWAY/MARKET ST,E BROADWAY/PIKE ST,BATTERY PK CITY via AVENUE C via PK ROW,10.779999999999944,19.835200000000025,0.7583218785714132,True,BATTERY PK CITY via AVENUE C via PK ROW
1093557,26030,1,M9,E BROADWAY/MARKET ST,E BROADWAY/PIKE ST,BATTERY PK CITY via AVENUE C via PK ROW,10.779999999999944,19.835200000000025,0.7583218785714132,False,BATTERY PK CITY via AVENUE C via PK ROW
1093977,26040,1,M9,E BROADWAY/MARKET ST,E BROADWAY/PIKE ST,BATTERY PK CITY via AVENUE C via PK ROW,10.822583333333275,19.91355333333336,0.7577622190476035,False,BATTERY PK CITY via AVENUE C via PK ROW
1094397,26050,1,M9,E BROADWAY/MARKET ST,E BROADWAY/PIKE ST,BATTERY PK CITY via AVENUE C via PK ROW,10.86516666666661,19.99190666666669,0.757202559523794,False,BATTERY PK CITY via AVENUE C via PK ROW
1094817,26060,1,M9,E BROADWAY/MARKET ST,E BROADWAY/PIKE ST,BATTERY PK CITY via AVENUE C via PK ROW,10.907749999999943,20.070260000000022,0.7566428999999845,False,BATTERY PK CITY via AVENUE C via PK ROW
1095237,26070,1,M9,E BROADWAY/CATHERINE ST,E BROADWAY/MARKET ST,BATTERY PK CITY via AVENUE C via PK ROW,10.932999999999945,20.116720000000026,0.7563110499999844,True,BATTERY PK CITY via AVENUE C via PK ROW
1095657,26080,1,M9,E BROADWAY/CATHERINE ST,E BROADWAY/MARKET ST,BATTERY PK CITY via AVENUE C via PK ROW,10.932999999999945,20.116720000000026,0.7563110499999844,True,BATTERY PK CITY via AVENUE C via PK ROW
1096077,26090,1,M9,E BROADWAY/CATHERINE ST,E BROADWAY/MARKET ST,BATTERY PK CITY via AVENUE C via PK ROW,10.932999999999945,20.116720000000026,0.7563110499999844,True,BATTERY PK CITY via AVENUE C via PK ROW
1096497,26100,1,M9,E BROADWAY/CATHERINE ST,E BROADWAY/MARKET ST,BATTERY PK CITY via AVENUE C via PK ROW,10.932999999999945,20.116720000000026,0.7563110499999844,False,BATTERY PK CITY via AVENUE C via PK ROW
1096917,26110,1,M9,E BROADWAY/CATHERINE ST,E BROADWAY/MARKET ST,BATTERY PK CITY via AVENUE C via PK ROW,10.975583333333276,20.195073333333355,0.7557513904761748,False,BATTERY PK CITY via AVENUE C via PK ROW
1097337,26120,1,M9,E BROADWAY/CATHERINE ST,E BROADWAY/MARKET ST,BATTERY PK CITY via AVENUE C via PK ROW,11.018166666666607,20.273426666666687,0.7551917309523652,False,BATTERY PK CITY via AVENUE C via PK ROW
1097757,26130,1,M9,E BROADWAY/CATHERINE ST,E BROADWAY/MARKET ST,BATTERY PK CITY via AVENUE C via PK ROW,11.060749999999942,20.35178000000002,0.7546320714285557,False,BATTERY PK CITY via AVENUE C via PK ROW
1098177,26140,1,M9,E BROADWAY/CATHERINE ST,E BROADWAY/MARKET ST,BATTERY PK CITY via AVENUE C via PK ROW,11.103333333333277,20.43013333333335,0.754072411904746,False,BATTERY PK CITY via AVENUE C via PK ROW
1098597,26150,1,M9,E BROADWAY/CATHERINE ST,E BROADWAY/MARKET ST,BATTERY PK CITY via AVENUE C via PK ROW,11.145916666666608,20.508486666666684,0.7535127523809365,False,BATTERY PK CITY via AVENUE C via PK ROW
1099017,26160,1,M9,PARK ROW/WORTH ST,E BROADWAY/CATHERINE ST,BATTERY PK CITY via AVENUE C via PK ROW,11.16399999999994,20.541760000000014,0.753275092857127,True,BATTERY PK CITY via AVENUE C via PK ROW
1099437,26170,1,M9,PARK ROW/WORTH ST,E BROADWAY/CATHERINE ST,BATTERY PK CITY via AVENUE C via PK ROW,11.16399999999994,20.541760000000014,0.753275092857127,True,BATTERY PK CITY via AVENUE C via PK ROW
1099857,26180,1,M9,PARK ROW/WORTH ST,E BROADWAY/CATHERINE ST,BATTERY PK CITY via AVENUE C via PK ROW,11.16399999999994,20.541760000000014,0.753275092857127,True,BATTERY PK CITY via AVENUE C via PK ROW
1100277,26190,1,M9,PARK ROW/WORTH ST,E BROADWAY/CATHERINE ST,BATTERY PK CITY via AVENUE C via PK ROW,11.16399999999994,20.541760000000014,0.753275092857127,False,BATTERY PK CITY via AVENUE C via PK ROW
1100697,26200,1,M9,PARK ROW/WORTH ST,E BROADWAY/CATHERINE ST,BATTERY PK CITY via AVENUE C via PK ROW,11.206583333333274,20.62011333333335,0.7527154333333174,False,BATTERY PK CITY via AVENUE C via PK ROW
1101117,26210,1,M9,PARK ROW/WORTH ST,E BROADWAY/CATHERINE ST,BATTERY PK CITY via AVENUE C via PK ROW,11.249166666666609,20.698466666666683,0.7521557738095078,False,BATTERY PK CITY via AVENUE C via PK ROW
1101537,26220,1,M9,PARK ROW/WORTH ST,E BROADWAY/CATHERINE ST,BATTERY PK CITY via AVENUE C via PK ROW,11.29174999999994,20.77682000000001,0.7515961142856983,False,BATTERY PK CITY via AVENUE C via PK ROW
1101957,26230,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.30299999999994,20.797520000000016,0.7514482642856982,True,BATTERY PK CITY via AVENUE C via PK ROW
1102377,26240,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.30299999999994,20.797520000000016,0.7514482642856982,True,BATTERY PK CITY via AVENUE C via PK ROW
1102797,26250,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.30299999999994,20.797520000000016,0.7514482642856982,True,BATTERY PK CITY via AVENUE C via PK ROW
1103217,26260,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.30299999999994,20.797520000000016,0.7514482642856982,False,BATTERY PK CITY via AVENUE C via PK ROW
1103637,26270,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.345583333333272,20.87587333333335,0.7508886047618886,False,BATTERY PK CITY via AVENUE C via PK ROW
1104057,26280,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.388166666666606,20.95422666666668,0.750328945238079,False,BATTERY PK CITY via AVENUE C via PK ROW
1104477,26290,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.43074999999994,21.032580000000014,0.7497692857142694,False,BATTERY PK CITY via AVENUE C via PK ROW
1104897,26300,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.473333333333272,21.110933333333342,0.7492096261904598,False,BATTERY PK CITY via AVENUE C via PK ROW
1105317,26310,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.515916666666604,21.18928666666668,0.7486499666666503,False,BATTERY PK CITY via AVENUE C via PK ROW
1105737,26320,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.558499999999938,21.26764000000001,0.7480903071428406,False,BATTERY PK CITY via AVENUE C via PK ROW
1106157,26330,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.601083333333271,21.345993333333343,0.7475306476190311,False,BATTERY PK CITY via AVENUE C via PK ROW
1106577,26340,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.643666666666604,21.42434666666668,0.7469709880952214,False,BATTERY PK CITY via AVENUE C via PK ROW
1106997,26350,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.686249999999935,21.502700000000008,0.7464113285714119,False,BATTERY PK CITY via AVENUE C via PK ROW
1107417,26360,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.72883333333327,21.58105333333334,0.7458516690476024,False,BATTERY PK CITY via AVENUE C via PK ROW
1107837,26370,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.771416666666603,21.659406666666676,0.7452920095237927,False,BATTERY PK CITY via AVENUE C via PK ROW
1108257,26380,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.813999999999936,21.737760000000005,0.7447323499999832,False,BATTERY PK CITY via AVENUE C via PK ROW
1108677,26390,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.856583333333267,21.816113333333337,0.7441726904761735,False,BATTERY PK CITY via AVENUE C via PK ROW
1109097,26400,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.899166666666602,21.89446666666667,0.743613030952364,False,BATTERY PK CITY via AVENUE C via PK ROW
1109517,26410,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.941749999999937,21.97282,0.7430533714285544,False,BATTERY PK CITY via AVENUE C via PK ROW
1109937,26420,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,11.984333333333268,22.05117333333333,0.7424937119047448,False,BATTERY PK CITY via AVENUE C via PK ROW
1110357,26430,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.0269166666666,22.129526666666667,0.7419340523809352,False,BATTERY PK CITY via AVENUE C via PK ROW
1110777,26440,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.069499999999934,22.20788,0.7413743928571256,False,BATTERY PK CITY via AVENUE C via PK ROW
1111197,26450,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.112083333333269,22.28623333333333,0.740814733333316,False,BATTERY PK CITY via AVENUE C via PK ROW
1111617,26460,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.1546666666666,22.364586666666664,0.7402550738095065,False,BATTERY PK CITY via AVENUE C via PK ROW
1112037,26470,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.197249999999933,22.44294,0.7396954142856969,False,BATTERY PK CITY via AVENUE C via PK ROW
1112457,26480,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.239833333333266,22.52129333333333,0.7391357547618873,False,BATTERY PK CITY via AVENUE C via PK ROW
1112877,26490,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.2824166666666,22.59964666666666,0.7385760952380777,False,BATTERY PK CITY via AVENUE C via PK ROW
1113297,26500,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.324999999999932,22.677999999999997,0.7380164357142681,False,BATTERY PK CITY via AVENUE C via PK ROW
1113717,26510,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.367583333333265,22.75635333333333,0.7374567761904586,False,BATTERY PK CITY via AVENUE C via PK ROW
1114137,26520,1,M9,PARK ROW/BEEKMAN ST,PARK ROW/WORTH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.410166666666598,22.83470666666666,0.7368971166666489,False,BATTERY PK CITY via AVENUE C via PK ROW
1114557,26530,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.444999999999933,22.89879999999999,0.7364393142856965,True,BATTERY PK CITY via AVENUE C via PK ROW
1114977,26540,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.444999999999933,22.89879999999999,0.7364393142856965,True,BATTERY PK CITY via AVENUE C via PK ROW
1115397,26550,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.444999999999933,22.89879999999999,0.7364393142856965,True,BATTERY PK CITY via AVENUE C via PK ROW
1115817,26560,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.444999999999933,22.89879999999999,0.7364393142856965,False,BATTERY PK CITY via AVENUE C via PK ROW
1116237,26570,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.487583333333264,22.977153333333323,0.735879654761887,False,BATTERY PK CITY via AVENUE C via PK ROW
1116657,26580,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.530166666666595,23.055506666666652,0.7353199952380773,False,BATTERY PK CITY via AVENUE C via PK ROW
1117077,26590,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.57274999999993,23.133859999999988,0.7347603357142678,False,BATTERY PK CITY via AVENUE C via PK ROW
1117497,26600,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.615333333333265,23.21221333333332,0.7342006761904583,False,BATTERY PK CITY via AVENUE C via PK ROW
1117917,26610,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.657916666666596,23.290566666666653,0.7336410166666486,False,BATTERY PK CITY via AVENUE C via PK ROW
1118337,26620,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.700499999999929,23.368919999999985,0.7330813571428391,False,BATTERY PK CITY via AVENUE C via PK ROW
1118757,26630,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.743083333333262,23.44727333333332,0.7325216976190294,False,BATTERY PK CITY via AVENUE C via PK ROW
1119177,26640,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.785666666666597,23.52562666666665,0.7319620380952199,False,BATTERY PK CITY via AVENUE C via PK ROW
1119597,26650,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.828249999999928,23.603979999999986,0.7314023785714103,False,BATTERY PK CITY via AVENUE C via PK ROW
1120017,26660,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.87083333333326,23.682333333333315,0.7308427190476007,False,BATTERY PK CITY via AVENUE C via PK ROW
1120437,26670,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.913416666666594,23.760686666666647,0.7302830595237911,False,BATTERY PK CITY via AVENUE C via PK ROW
1120857,26680,1,M9,MURRAY ST/CHURCH ST,PARK ROW/BEEKMAN ST,BATTERY PK CITY via AVENUE C via PK ROW,12.955999999999928,23.83903999999998,0.7297233999999815,False,BATTERY PK CITY via AVENUE C via PK ROW
1121277,26690,1,M9,MURRAY ST/GREENWICH ST,MURRAY ST/CHURCH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.986999999999927,23.89607999999998,0.7293159785714101,True,BATTERY PK CITY via AVENUE C via PK ROW
1121697,26700,1,M9,MURRAY ST/GREENWICH ST,MURRAY ST/CHURCH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.986999999999927,23.89607999999998,0.7293159785714101,True,BATTERY PK CITY via AVENUE C via PK ROW
1122117,26710,1,M9,MURRAY ST/GREENWICH ST,MURRAY ST/CHURCH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.986999999999927,23.89607999999998,0.7293159785714101,True,BATTERY PK CITY via AVENUE C via PK ROW
1122537,26720,1,M9,MURRAY ST/GREENWICH ST,MURRAY ST/CHURCH ST,BATTERY PK CITY via AVENUE C via PK ROW,12.986999999999927,23.89607999999998,0.7293159785714101,False,BATTERY PK CITY via AVENUE C via PK ROW
1122957,26730,1,M9,MURRAY ST/GREENWICH ST,MURRAY ST/CHURCH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.02958333333326,23.974433333333312,0.7287563190476005,False,BATTERY PK CITY via AVENUE C via PK ROW
1123377,26740,1,M9,MURRAY ST/GREENWICH ST,MURRAY ST/CHURCH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.072166666666591,24.052786666666645,0.7281966595237909,False,BATTERY PK CITY via AVENUE C via PK ROW
1123797,26750,1,M9,MURRAY ST/GREENWICH ST,MURRAY ST/CHURCH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.114749999999926,24.131139999999977,0.7276369999999813,False,BATTERY PK CITY via AVENUE C via PK ROW
1124217,26760,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.130999999999926,24.16103999999998,0.727423435714267,True,BATTERY PK CITY via AVENUE C via PK ROW
1124637,26770,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.130999999999926,24.16103999999998,0.727423435714267,True,BATTERY PK CITY via AVENUE C via PK ROW
1125057,26780,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.130999999999926,24.16103999999998,0.727423435714267,True,BATTERY PK CITY via AVENUE C via PK ROW
1125477,26790,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.130999999999926,24.16103999999998,0.727423435714267,False,BATTERY PK CITY via AVENUE C via PK ROW
1125897,26800,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.17358333333326,24.23939333333331,0.7268637761904575,False,BATTERY PK CITY via AVENUE C via PK ROW
1126317,26810,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.216166666666592,24.317746666666643,0.7263041166666478,False,BATTERY PK CITY via AVENUE C via PK ROW
1126737,26820,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.258749999999925,24.396099999999976,0.7257444571428383,False,BATTERY PK CITY via AVENUE C via PK ROW
1127157,26830,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.301333333333258,24.474453333333308,0.7251847976190287,False,BATTERY PK CITY via AVENUE C via PK ROW
1127577,26840,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.34391666666659,24.55280666666664,0.7246251380952191,False,BATTERY PK CITY via AVENUE C via PK ROW
1127997,26850,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.386499999999923,24.631159999999973,0.7240654785714096,False,BATTERY PK CITY via AVENUE C via PK ROW
1128417,26860,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.429083333333256,24.709513333333305,0.7235058190475999,False,BATTERY PK CITY via AVENUE C via PK ROW
1128837,26870,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.47166666666659,24.78786666666664,0.7229461595237904,False,BATTERY PK CITY via AVENUE C via PK ROW
1129257,26880,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.514249999999922,24.86621999999997,0.7223864999999807,False,BATTERY PK CITY via AVENUE C via PK ROW
1129677,26890,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.556833333333255,24.944573333333302,0.7218268404761712,False,BATTERY PK CITY via AVENUE C via PK ROW
1130097,26900,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.599416666666588,25.022926666666635,0.7212671809523616,False,BATTERY PK CITY via AVENUE C via PK ROW
1130517,26910,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.64199999999992,25.101279999999967,0.720707521428552,False,BATTERY PK CITY via AVENUE C via PK ROW
1130937,26920,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.684583333333254,25.1796333333333,0.7201478619047424,False,BATTERY PK CITY via AVENUE C via PK ROW
1131357,26930,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.727166666666587,25.257986666666632,0.7195882023809328,False,BATTERY PK CITY via AVENUE C via PK ROW
1131777,26940,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.76974999999992,25.336339999999964,0.7190285428571233,False,BATTERY PK CITY via AVENUE C via PK ROW
1132197,26950,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.812333333333251,25.414693333333297,0.7184688833333137,False,BATTERY PK CITY via AVENUE C via PK ROW
1132617,26960,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.854916666666586,25.49304666666663,0.7179092238095041,False,BATTERY PK CITY via AVENUE C via PK ROW
1133037,26970,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.89749999999992,25.57139999999996,0.7173495642856945,False,BATTERY PK CITY via AVENUE C via PK ROW
1133457,26980,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.940083333333252,25.64975333333329,0.7167899047618849,False,BATTERY PK CITY via AVENUE C via PK ROW
1133877,26990,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,13.982666666666583,25.728106666666623,0.7162302452380753,False,BATTERY PK CITY via AVENUE C via PK ROW
1134297,27000,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,14.025249999999918,25.80645999999996,0.7156705857142658,False,BATTERY PK CITY via AVENUE C via PK ROW
1134717,27010,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,14.067833333333253,25.88481333333329,0.7151109261904561,False,BATTERY PK CITY via AVENUE C via PK ROW
1135137,27020,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,14.110416666666584,25.963166666666623,0.7145512666666466,False,BATTERY PK CITY via AVENUE C via PK ROW
1135557,27030,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,14.152999999999915,26.04151999999996,0.7139916071428369,False,BATTERY PK CITY via AVENUE C via PK ROW
1135977,27040,1,M9,WEST THAMES ST/SOUTH END AV,MURRAY ST/GREENWICH ST,BATTERY PK CITY via AVENUE C via PK ROW,14.19558333333325,26.119873333333288,0.7134319476190274,False,BATTERY PK CITY via AVENUE C via PK ROW
1136397,27050,1,M9,SOUTH END AV/ALBANY ST,WEST THAMES ST/SOUTH END AV,BATTERY PK CITY via AVENUE C via PK ROW,14.224999999999916,26.17399999999996,0.7130453357142655,True,BATTERY PK CITY via AVENUE C via PK ROW
1136817,27060,1,M9,SOUTH END AV/ALBANY ST,WEST THAMES ST/SOUTH END AV,BATTERY PK CITY via AVENUE C via PK ROW,14.224999999999916,26.17399999999996,0.7130453357142655,True,BATTERY PK CITY via AVENUE C via PK ROW
1137237,27070,1,M9,SOUTH END AV/ALBANY ST,WEST THAMES ST/SOUTH END AV,BATTERY PK CITY via AVENUE C via PK ROW,14.224999999999916,26.17399999999996,0.7130453357142655,True,BATTERY PK CITY via AVENUE C via PK ROW
1137657,27080,1,M9,SOUTH END AV/ALBANY ST,WEST THAMES ST/SOUTH END AV,BATTERY PK CITY via AVENUE C via PK ROW,14.224999999999916,26.17399999999996,0.7130453357142655,False,BATTERY PK CITY via AVENUE C via PK ROW
1138077,27090,1,M9,SOUTH END AV/ALBANY ST,WEST THAMES ST/SOUTH END AV,BATTERY PK CITY via AVENUE C via PK ROW,14.26758333333325,26.25235333333329,0.7124856761904559,False,BATTERY PK CITY via AVENUE C via PK ROW
1138497,27100,1,M9,SOUTH END AV/ALBANY ST,WEST THAMES ST/SOUTH END AV,BATTERY PK CITY via AVENUE C via PK ROW,14.310166666666582,26.33070666666662,0.7119260166666463,False,BATTERY PK CITY via AVENUE C via PK ROW
1138917,27110,1,M9,SOUTH END AV/ALBANY ST,WEST THAMES ST/SOUTH END AV,BATTERY PK CITY via AVENUE C via PK ROW,14.352749999999917,26.409059999999958,0.7113663571428367,False,BATTERY PK CITY via AVENUE C via PK ROW
1139337,27120,1,M9,SOUTH END AV/ALBANY ST,WEST THAMES ST/SOUTH END AV,BATTERY PK CITY via AVENUE C via PK ROW,14.395333333333248,26.487413333333286,0.7108066976190272,False,BATTERY PK CITY via AVENUE C via PK ROW
