,OCEAN PY/SHORE PY,86 ST/14 AV,OCEAN PKY/SHORE PKY,BRIGHTON BEACH/CONEY ISLAND AV,BRIGHTON BEACH AV/BRIGHTON 5 ST,BRIGHTON BEACH AV/BRIGHTON 1 PL,ORIENTAL BL/WEST END AV,86 ST/W 7 ST,BRIGHTON BEACH AV/CORBIN PL,BRIGHTON BEACH AV/OCEAN PY,86 ST/FT HAMILTON PY,86 ST/AV U,87 ST/4 AV,ORIENTAL BL/DOVER ST,ORIENTAL BL/KENSINGTON ST,AV X/W 1 ST,AV X/MC DONALD AV,86 ST/16 AV,86 ST/15 AV,86 ST/13 AV,86 ST/W 9 ST,BRIGHTON BEACH AV/CONEY ISLAND AV,ORIENTAL BL/MACKENZIE ST,86 ST/11 AV,86 ST/7 AV,BRIGHTON BEACH AV/BRIGHTON 12 ST,86 ST/17 AV,86 ST/BAY PY,86 ST/24 AV,ORIENTAL BL/OCEAN AV,86 ST/23 AV,86 ST/W 8 ST,ORIENTAL BL/JAFFRAY ST,86 ST/4 AV,86 ST/VAN SICKLEN ST,AV X/E 1 ST,86 ST/21 AV,AV X/E 3 ST,ORIENTAL BL/BEAUMONT ST,OCEAN PY/NEPTUNE AV,86 ST/19 AV,BRIGHTON BEACH AV/BRIGHTON 3 ST,5 AV/86 ST,AV X/W 2 ST,AV X/SHELL RD,86 ST/12 AV,ORIENTAL BL/FALMOUTH ST,86 ST/5 AV,86 ST/AV V,86 ST/STILLWELL AV,86 ST/NEW UTRECHT AV,BRIGHTON BEACH AV/BRIGHTON 6 ST,AV X/WEST ST,86 ST/W 11 ST,86 ST/20 AV,86 ST/AV W,AV X/OCEAN PY,86 ST/DAHLGREN PL,CORBIN PL/BRIGHTON BEACH AV,AV X/E 2 ST,OCEAN PY/WEST AV,86 ST/18 AV,86 ST/25 AV,ORIENTAL BL/HASTINGS ST,OCEAN PY/OCEAN VIEW AV,BRIGHTON BEACH AV/BRIGHTON 14 ST,Jackie Gleason Depot (JG)
ORIENTAL BL/OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57 MANHATTAN BEACH KINGSBORO CC,,,
86 ST/23 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.547 BAY RIDGE 4 AV,0.237 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/W 8 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,
ORIENTAL BL/JAFFRAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112 BAY RIDGE 4 AV,,,
86 ST/4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,
86 ST/VAN SICKLEN ST,,,,,,,,1.372 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV X/E 1 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/21 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.065 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 BAY RIDGE 4 AV,,,,,,,,,,,,
AV X/E 3 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,
ORIENTAL BL/BEAUMONT ST,,,,,,,0.454 BAY RIDGE 4 AV,,,,,,,0.13 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN PY/NEPTUNE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.793 BAY RIDGE 4 AV,,,,0.443 MANHATTAN BEACH KINGSBORO CC,,
86 ST/19 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094 BAY RIDGE 4 AV,,,,0.237 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,
BRIGHTON BEACH AV/BRIGHTON 3 ST,,,,,,0.172 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.694 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,
5 AV/86 ST,,,,,,,,,,,,,0.343 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV X/W 2 ST,,,,,,,,,,,,,,,,,0.12 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV X/SHELL RD,,,,,,,,,,,,,,,,0.244 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/12 AV,,,,,,,,,,,,,,,,,,,,0.237 MANHATTAN BEACH KINGSBORO CC,,,,0.239 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTAL BL/FALMOUTH ST,,,,,,,,,,,,,,0.261 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/5 AV,,,,,,,,,,,0.187 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/AV V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/STILLWELL AV,,,,,,,,,,,,0.166 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 BAY RIDGE 4 AV,,,,
86 ST/NEW UTRECHT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 BAY RIDGE 4 AV,,,,,
BRIGHTON BEACH AV/BRIGHTON 6 ST,,,,0.623 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV X/WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,
86 ST/W 11 ST,,,,,,,,,,,,0.138 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/20 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 MANHATTAN BEACH KINGSBORO CC,,,,0.237 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/AV W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,
AV X/OCEAN PY,,,0.778 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264 BAY RIDGE 4 AV,,,,,,,
86 ST/DAHLGREN PL,,,,,,,,,,,,,,,,,,,,,,,,,0.164 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORBIN PL/BRIGHTON BEACH AV,,,,,,,0.171 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV X/E 2 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 BAY RIDGE 4 AV,,,,,,,,,,,,,,
OCEAN PY/WEST AV,0.434 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/18 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 BAY RIDGE 4 AV,,,,,,,,,,,,,,0.237 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/25 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,0.209 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,
ORIENTAL BL/HASTINGS ST,,,,,,,,,,,,,,,0.296 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,
OCEAN PY/OCEAN VIEW AV,,,,,,,,,,0.354 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.527 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHTON BEACH AV/BRIGHTON 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417 MANHATTAN BEACH KINGSBORO CC,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,5.356 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
