,AV U/E 35 ST,AV U/E 33 ST,AV U/FORD ST,AV U/E 27 ST,AV U/E 18 ST,AV U/E 66 ST,AV U/BURNETT ST,25 AV/84 ST,25 AV/HARWAY AV,AV U/E 56 ST,AV U/OCEAN AV,AV U/KIMBALL ST,AV U/W 9 ST,AV U/BEDFORD AV,AV U/E 71 ST,AV U/E 15 ST,AV U/E 37 ST,AV U/W 10 ST,AV U/W 8 ST,25 AV/BENSON AV,AV U/E 2 ST,AV U/MC DONALD AV,AV U/E 59 ST,AV U/VAN SICKLEN ST,AV U/E 57 ST,AV U/BATCHELDER ST,AV U/FLATBUSH AV,AV U/E 16 ST,86 ST/STILLWELL AV,AV U/E 38 ST,AV U/E 69 ST,AV U/E 28 ST,AV U/OCEAN PY,STILLWELL AV/85 ST,AV U/COYLE ST,AV U/WEST ST,AV U/W 5 ST,AV U/E 1 ST,AV U/HENDRICKSON ST,AV U/BROWN ST,AV U/E 13 ST,AV U/W 12 ST,AV U/COLEMAN ST,AV U/E 4 ST,AV U/NOSTRAND AV,AV U/W 7 ST,25 AV/86 ST,25 AV/BATH AV,AV U/CONEY ISLAND AV,AV U/MILL AV,AV U/E 54 ST,AV U/E 23 ST,AV U/E 5 ST,AV U/W 11 ST,AV U/E 64 ST,AV U/GERRITSEN AV,AV U/BRAGG ST,AV U/E 8 ST,AV U/STUART ST,Jackie Gleason Depot (JG)
AV U/VAN SICKLEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,
AV U/E 57 ST,,,,,,,,,,0.632 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,0.161 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/BATCHELDER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,
AV U/FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.516 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,0.644 BERGEN BEACH E 71 ST via AV U,,,,,,,,,
AV U/E 16 ST,,,,,0.164 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,0.079 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,
AV U/E 38 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.683 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,
AV U/E 69 ST,,,,,,0.263 BENSONHURST HARWAY AV via AV U,,,,,,,,,0.175 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/E 28 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,
AV U/OCEAN PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116 BENSONHURST HARWAY AV via AV U,,,,,0.209 BERGEN BEACH E 71 ST via AV U,,
STILLWELL AV/85 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.484 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,
AV U/COYLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
