,MYRTLE AV/CHARLES PL,MYRTLE AV/MARCUS GARVEY BL,MYRTLE AV/IRVING AV,MYRTLE AV/CLINTON AV,MYRTLE AV/KNICKERBOCKER AV,MYRTLE AV/ST EDWARDS ST,MYRTLE AV/WASHINGTON AV,MYRTLE AV/FLEET PL,MYRTLE AV/GATES AV,MYRTLE AV/CLASSON AV,MYRTLE AV/FRANKLIN AV,MYRTLE AV/CARLTON AV,GATES AV/WYCKOFF AV,MYRTLE AV/MARCY AV,METROTECH UNDERPASS/LAWRENCE ST,MYRTLE AV/DE KALB AV,MYRTLE AV/SPENCER ST,MYRTLE AV/MENAHAN ST,MYRTLE AV/EVERGREEN AV,MYRTLE AV/VANDERBILT AV,MYRTLE AV/BUSHWICK AV,MYRTLE AV/NAVY ST,MYRTLE AV/HARMAN ST,MYRTLE AV/BROADWAY,JAY ST/MYRTLE PLZ,MYRTLE AV/STOCKHOLM ST,MYRTLE AV/LEWIS AV,PALMETTO ST/ST NICHOLAS AV,MYRTLE AV/TOMPKINS AV,MYRTLE AV/GRAND AV,TILLARY ST/JAY ST,MYRTLE AV/THROOP AV,MYRTLE AV/ASHLAND PL,MYRTLE AV/NOSTRAND AV,MYRTLE AV/HART ST,MYRTLE AV/RYERSON ST,MYRTLE AV/WILSON AV,MYRTLE AV/BEDFORD AV,MYRTLE AV/STEUBEN ST,MYRTLE AV/PRINCE ST,MYRTLE AV/SUYDAM ST,MYRTLE AV/WALWORTH ST,MYRTLE AV/N PORTLAND AV,Jackie Gleason Depot (JG)
MYRTLE AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,0.255 RIDGEWOOD TERM via MYRTLE,,,,,,0.211 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,
JAY ST/MYRTLE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,9.206 to depot of B54
MYRTLE AV/STOCKHOLM ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 RIDGEWOOD TERM via MYRTLE,,,,,,,
MYRTLE AV/LEWIS AV,,0.261 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,,0.211 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,
PALMETTO ST/ST NICHOLAS AV,,,,,,,,,0.309 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/TOMPKINS AV,,,,,,,,,,,,,,0.244 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,0.242 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,
MYRTLE AV/GRAND AV,,,,,,,0.24 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILLARY ST/JAY ST,,,,,,,,1.041 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/THROOP AV,,0.23 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,
MYRTLE AV/ASHLAND PL,,,,,,0.117 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/NOSTRAND AV,,,,,,,,,,,,,,0.28 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 DOWNTOWN BKLYN JAY ST via MYRTLE,,
MYRTLE AV/HART ST,,,,,,,,,,,,,,,,0.208 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,0.168 DOWNTOWN BKLYN JAY ST via MYRTLE,,,
MYRTLE AV/RYERSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 RIDGEWOOD TERM via MYRTLE,,,,,
MYRTLE AV/WILSON AV,,,,,0.291 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,0.308 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/BEDFORD AV,,,,,,,,,,,0.159 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/STEUBEN ST,,,,,,,,,,0.175 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/PRINCE ST,,,,,,,,,,,,,,,0.557 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/SUYDAM ST,0.166 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/WALWORTH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 RIDGEWOOD TERM via MYRTLE,,,,0.155 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,
MYRTLE AV/N PORTLAND AV,,,,,,0.166 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,0.253 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,5.415 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,
