,7 AV/150 ST,150 ST/11 AV,150 ST/35 AV,150 ST/CROSS ISLAND PKY SVC RD S,41 AV/PARSONS BL,150 ST/29 AV,150 ST/21 AV,154 ST/POWELLS COVE BL,154 ST/10 AV,150 ST/17 RD,10 AV/152 ST,41 AV/149 ST,150 ST/20 AV,150 ST/12 AV,ROOSEVELT AV/UNION ST,150 ST/16 RD,150 ST/25 DR,10 AV/ 152 ST,150 ST/ROOSEVELT AV,ROOSEVELT AV/BOWNE ST,150 ST/27 AV,150 ST/10 AV,CLINTONVILLE ST/7 AV,150 ST/22 AV,150 ST/20 RD,150 ST/23 AV,150 ST/25 AV,154 ST/9 AV,POWELLS COVE BL/157 ST,166 ST/POWELLS COVE BL,150 ST/24 RD,150 ST/15 DR,150 ST/8 AV,162 ST/POWELL'S COVE BL,150 ST/9 AV,150 ST/34 AV,150 ST/33 AV,150 ST/18 AV,ROOSEVELT AV/MAIN ST,150 ST/NORTHERN BL,POWELLS COVE BL/159 ST,POWELLS COVE BL/162 ST,150 ST/19 AV,150 ST/CROSS ISLAND PY SVC RD,41 AV/150 ST,150 ST/7 AV,CLINTONVILLE ST/10 AV,151 ST/7 AV,41 AV/147 ST,POWELLS COVE BL/160 ST,150 ST/BAYSIDE AV,166 ST / POWELLS COVE BL,150 ST/14 AV,150 ST/17 AV,150 ST/24 AV,College Point Depot (CP)
150 ST/23 AV,,,,,,,0.219 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/25 AV,,,,,,,,,,,,,,,,,,,,,0.248 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154 ST/9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWELLS COVE BL/157 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,
166 ST/POWELLS COVE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,
150 ST/24 RD,,,,,,,,,,,,,,,,,,,,,,,,,,0.128 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/15 DR,,,,0.234 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/8 AV,21.151 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162 ST/POWELL'S COVE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 BEECHHURST POWELLS COVE BL via 10 AV,,,,
150 ST/9 AV,,0.19 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/34 AV,,,0.124 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,
150 ST/33 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,0.284 BEECHHURST POWELLS COVE BL via 10 AV,,,,,
150 ST/18 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 BEECHHURST POWELLS COVE BL via 10 AV,,
ROOSEVELT AV/MAIN ST,,,,,,,,,,,,,,,,,,,,0.506 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/NORTHERN BL,,,,,,,,,,,,,,,,,,,0.192 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,0.259 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,
POWELLS COVE BL/159 ST,,,,,,,,0.404 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWELLS COVE BL/162 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 FLUSHING MAIN ST STATION via 10 AV,,,,,,
150 ST/19 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.188 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/CROSS ISLAND PY SVC RD,,,,,,,,,,,,,,,,21.915 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41 AV/150 ST,,,,,,,,,,,,0.141 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.513 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,,,,,
CLINTONVILLE ST/10 AV,,,,,,,,,,,0.231 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.326 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,
151 ST/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,
41 AV/147 ST,,,,,0.312 FLUSHING MAIN ST STATION via 10 AV,,,,,,,0.197 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWELLS COVE BL/160 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,0.078 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,
150 ST/BAYSIDE AV,,,,,,0.083 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,,,3.316 to depot of Q15A
166 ST / POWELLS COVE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/14 AV,,,,,,,,,,,,,,0.221 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.96 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,
150 ST/17 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 BEECHHURST POWELLS COVE BL via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,
150 ST/24 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 FLUSHING MAIN ST STATION via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56 BEECHHURST POWELLS COVE BL via 10 AV,,,,,
