,WHITE PLAINS RD/STORY AV,E 174 ST/BOONE AV,ROSEDALE AV/E 174 ST,E 174 ST/CROES AV,E TREMONT AV/MONROE AV,UNIVERSITY AV/W TREMONT AV,OLMSTEAD AV/SEWARD AV,VALENTINE AV/TREMONT AV,WADSWORTH AV/W 181 ST,W 181 ST/ST NICHOLAS AV,E 180 ST/BATHGATE AV,BOSTON RD/E 180 ST,CROSS BX SVC RD S/TAYLOR AV,E TREMONT AV/GRAND CONCOURSE E,E 174 ST/MANOR AV,PUGSLEY AV/RANDALL AV,E 180 ST/PROSPECT AV,E 174 ST/FTELEY AV,WHITE PLAINS RD/WATSON AV,E 180 ST/DALY AV,PUGSLEY AV/SEWARD AV,LAFAYETTE AV/PUGSLEY AV,W 178 ST/FT WASHINGTON AV,E TREMONT AV/ANTHONY AV,UNIVERSITY AV/N OF WASHINGTON BDG,BOSTON RD/E 178 ST,WHITE PLAINS RD/WESTCHESTER AV,BOSTON RD/E TREMONT AV,E 180 ST/BOSTON RD,E 174 ST/ BRYANT AV,E 174 ST/BRONX RIVER AV,E 174 ST/ST LAWRENCE AV,WEBSTER AV/E 178 ST,E 180 ST/ARTHUR AV,E 180 ST/CROTONA AV,WHITE PLAINS RD/LAFAYETTE AV,E TREMONT AV/JEROME AV,UNIVERSITY AV/W 174 ST,E TREMONT AV/GRAND CONCOURSE,E 180 ST/WEBSTER AV,E 180 ST/SOUTHERN BL,WHITE PLAINS RD/GLEASON AV,E 180 ST/CROTONA PY,BOSTON RD/E TREMONT AV F/S,CROSS BX SVC RD S/BEACH AV,W 181 ST/AMSTERDAM AV,E 180 ST/WASHINGTON AV,E 180 ST/MOHEGAN AV,WEBSTER AV/E TREMONT AV,RANDALL AV/OLMSTEAD AV,W TREMONT AV/W 177 ST,LAFAYETTE AV/WHITE PLAINS RD,WEBSTER AV/E 180 ST,W TREMONT AV/UNIVERSITY AV,W 179 ST/BROADWAY,W TREMONT AV/HARRISON AV,E 174 ST/ROSEDALE AV,BOSTON RD/VYSE AV,E 174 ST/LONGFELLOW AV,E 174 ST/HARROD AV,E 180 ST/3 AV,WHITE PLAINS RD/BRUCKNER BL,E 174 ST/BRYANT AV,UNIVERSITY AV/WASHINGTON BRIDGE,HOE AV/E 174 ST,W TREMONT AV/DAVIDSON AV,SEWARD AV/PUGSLEY AV,E TREMONT AV/MORRIS AV,UNIVERSITY AV/W 176 ST,W TREMONT AV/GRAND AV,West Farms Depot (WF)
E 180 ST/PROSPECT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 WASHINGTON HEIGHTS G W BRIDGE,,,,,,0.639 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 174 ST/FTELEY AV,,,0.24 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/WATSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,0.273 SOUNDVIEW PUGSLEY AV,,,,,,,,,
E 180 ST/DALY AV,,,,,,,,,,,,0.368 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUGSLEY AV/SEWARD AV,,,,,,,,,,,,,,,,,,,,,,0.237 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 178 ST/FT WASHINGTON AV,,,,,,,,,0.501 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/ANTHONY AV,,,,,,,,,,,,,,0.233 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY AV/N OF WASHINGTON BDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/E 178 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.626 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,0.274 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 180 ST/BOSTON RD,,,,,,,,,,,,,,,,,,,,0.358 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 174 ST/ BRYANT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,
E 174 ST/BRONX RIVER AV,,0.714 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,0.196 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 174 ST/ST LAWRENCE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,
WEBSTER AV/E 178 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 180 ST/ARTHUR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,
E 180 ST/CROTONA AV,,,,,,,,,,,,,,,,,0.233 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,0.605 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/LAFAYETTE AV,0.245 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 SOUNDVIEW PUGSLEY AV,,,
UNIVERSITY AV/W 174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005 WASHINGTON HEIGHTS G W BRIDGE,,,,,0.475 SOUNDVIEW PUGSLEY AV,,
E TREMONT AV/GRAND CONCOURSE,,,,,0.965 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 180 ST/WEBSTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,
E 180 ST/SOUTHERN BL,,,,,,,,,,,,,,,,,0.622 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/GLEASON AV,,,,,,,,,,,,,,,,,,,0.243 SOUNDVIEW PUGSLEY AV,,,,,,,,0.274 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 180 ST/CROTONA PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.472 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/E TREMONT AV F/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,5.821 to depot of Bx36
CROSS BX SVC RD S/BEACH AV,,,,,,,,,,,,,0.149 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 181 ST/AMSTERDAM AV,,,,,,,,,,0.386 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,0.997 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 180 ST/WASHINGTON AV,,,,,,,,,,,0.078 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,
E 180 ST/MOHEGAN AV,,,,,,,,,,,,,,,,,,,,0.597 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEBSTER AV/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANDALL AV/OLMSTEAD AV,,,,,,,,,,,,,,,,0.305 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W TREMONT AV/W 177 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,0.522 SOUNDVIEW PUGSLEY AV,,,,,
LAFAYETTE AV/WHITE PLAINS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.528 SOUNDVIEW PUGSLEY AV,,,,
WEBSTER AV/E 180 ST,,,,,,,,0.79 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W TREMONT AV/UNIVERSITY AV,,,,,,0.702 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 179 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,0.151 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W TREMONT AV/HARRISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,
E 174 ST/ROSEDALE AV,,,,0.16 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/VYSE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 SOUNDVIEW PUGSLEY AV,,,,,,
E 174 ST/LONGFELLOW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 174 ST/HARROD AV,,,,,,,,,,,,,,,0.208 WASHINGTON HEIGHTS G W BRIDGE,,,0.17 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 180 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/BRUCKNER BL,1.581 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,0.442 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 174 ST/BRYANT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.731 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY AV/WASHINGTON BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,
HOE AV/E 174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W TREMONT AV/DAVIDSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.685 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,0.247 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,
SEWARD AV/PUGSLEY AV,,,,,,,0.262 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/MORRIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 WASHINGTON HEIGHTS G W BRIDGE,,,,,
UNIVERSITY AV/W 176 ST,,,,,,0.4 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.898 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W TREMONT AV/GRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.415 SOUNDVIEW PUGSLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
