,EASTCHESTER RD/NEEDHAM AV,EASTCHESTER RD/IVES ST,LACONIA AV/E 232 ST,E 233 ST/BUSSING AV,E 229 ST/SCHIEFFELIN PL,EASTCHESTER RD/WATERS PL,KATONAH AV/E 242 ST,KATONAH AV/E 239 ST,EASTCHESTER RD/HAMMERSLEY AV,E 233 ST/PAULDING AV,E 229 ST/LACONIA AV,E 225 ST/LACONIA AV,EASTCHESTER RD/WARING AV,EASTCHESTER RD/GIVAN AV,E 233 ST/GUNTHER AV,EASTCHESTER RD/PELHAM PY S,EASTCHESTER RD/E 222 ST,E 225 ST/SCHIEFFELIN AV,EASTCHESTER RD/WILKINSON AV,WILLIAMSBRIDGE RD/ST RAYMONDS AV,EASTCHESTER RD/SCHORR PL,E 233 ST/BRONX BL,E 233 ST/CARPENTER AV,EASTCHESTER RD/BASSETT AV,EASTCHESTER RD/ADEE AV,E 233 ST/WHITE PLAINS RD,EASTCHESTER RD/CHESTER ST,TREMONT AV/LANE AV,E 225 ST/SCHIEFFELIN PL,EASTCHESTER RD/BURKE AV,WILLIAMSBRIDGE RD/SILVER ST,E 229 ST/E 229 DR S,VAN CORTLANDT PK E/E 242 ST,EASTCHESTER RD/ALLERTON AV,E TREMONT AV/LANE AV,EASTCHESTER RD/BOSTON RD,E 229 ST/SCHIEFFELIN AV,LACONIA AV/E 233 ST,EASTCHESTER RD/MACE AV,KATONAH AV/E 234 ST,EASTCHESTER RD/SACKETT AV,E 233 ST/WEBSTER AV,EASTCHESTER RD/E GUN HILL RD,E 233 ST/KATONAH AV,LACONIA AV/E 225 ST,EASTCHESTER RD/ASTOR AV,EASTCHESTER RD/MORRIS PK AV,EASTCHESTER RD/PELHAM PY,KATONAH AV/E 237 ST,LACONIA AV/GRENADA PL,LACONIA AV/E 230 ST,WILLIAMSBRIDGE RD/E TREMONT AV,EASTCHESTER RD/SEMINOLE ST,WILLIAMSBRIDGE RD/EASTCHESTER RD,West Farms Depot (WF)
E 233 ST/CARPENTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 WOODLAWN KATONAH AV,,,,,,,,,,,,,
EASTCHESTER RD/BASSETT AV,,0.249 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTCHESTER RD/ADEE AV,,,,,,,,,0.223 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 233 ST/WHITE PLAINS RD,,,,0.497 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,0.281 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTCHESTER RD/CHESTER ST,0.145 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,
TREMONT AV/LANE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,
E 225 ST/SCHIEFFELIN PL,,,,,,,,,,,,,,,,,,0.108 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTCHESTER RD/BURKE AV,,,,,,,,,0.203 WESTCHESTER SQ,,,,,0.199 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBRIDGE RD/SILVER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 WESTCHESTER SQ,,,5.723 to depot of Bx31
E 229 ST/E 229 DR S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 WESTCHESTER SQ,,,,,,,,,,,,,0.363 WOODLAWN KATONAH AV,,,,,
VAN CORTLANDT PK E/E 242 ST,,,,,,,,0.233 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTCHESTER RD/ALLERTON AV,,,,,,,,,,,,,,,,,,,,,0.221 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,0.268 WESTCHESTER SQ,,,,,,,,,,,,,,,,
E TREMONT AV/LANE AV,,,,,,,,,,,,,,,,,,,,0.341 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTCHESTER RD/BOSTON RD,,,,,,,,,,,,,,0.281 WESTCHESTER SQ,,,,,,,,,,,,,0.228 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 229 ST/SCHIEFFELIN AV,,,,,0.117 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,
LACONIA AV/E 233 ST,,,,,,,,,,,,,,,0.259 WOODLAWN KATONAH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
