,JAMAICA AV/LINWOOD ST,JAMAICA AV/132 ST,JAMAICA AV/165 ST,JAMAICA AV/102 ST,JAMAICA AV/GEORGIA AV,JAMAICA AV/ELDERT LA,JAMAICA AV/EUCLID AV,JAMAICA AV/138 ST,JAMAICA AV/DEXTER CT,JAMAICA AV/MARGINAL ST E,JAMAICA AV/FOREST PY,JAMAICA AV/162 ST,JAMAICA AV/94 ST,JAMAICA AV/112 ST,JAMAICA AV/124 ST,JAMAICA AV/SHEPHERD AV,170 ST/JAMAICA AV,JAMAICA AV/NICHOLS AV,JAMAICA AV/121 ST,JAMAICA AV/127 ST,JAMAICA AV/HALE AV,JAMAICA AV/144 ST,JAMAICA AV/116 ST,JAMAICA AV/130 ST,JAMAICA AV/89 ST,JAMAICA AV/WARWICK ST,JAMAICA AV/106 ST,JAMAICA AV/146 ST,VAN SINDEREN AV/FULTON ST,JAMAICA AV/BARBEY ST,JAMAICA AV/SCHENCK AV,JAMAICA AV/PARSONS BL,JAMAICA AV/122 ST,JAMAICA AV/168 ST,JAMAICA AV/115 ST,JAMAICA AV/PENNSYLVANIA AV,JAMAICA AV/107 ST,JAMAICA AV/CLEVELAND ST,JAMAICA AV/110 ST,JAMAICA AV/VAN WYCK EP,JAMAICA AVE / QUEENS BLVD,JAMAICA AV/JEROME ST,JAMAICA AV/117 ST,JAMAICA AV/LEFFERTS BL,JAMAICA AV/104 ST,JAMAICA AV/VAN SICLEN AV,JAMAICA AV/109 ST,JAMAICA AV/HENDRIX ST,JAMAICA AV/108 ST,JAMAICA AV/MILLER AV,JAMAICA AV/160 ST,JAMAICA AV/METROPOLITAN AV,JAMAICA AV/GUY R BREWER BL,JAMAICA AV/ELTON ST,JAMAICA AV/118 ST,JAMAICA AV/86 ST,JAMAICA AV/LINCOLN AV,JAMAICA AV/90 ST,JAMAICA AV/AUTUMN AV,JAMAICA AV/126 ST,JAMAICA AV/170 ST,JAMAICA AV/75 ST,JAMAICA AV/80 ST,JAMAICA AV/98 ST,JAMAICA AV/WYONA ST,JAMAICA AV/78 ST,JAMAICA AV/111 ST,JAMAICA AV/76 ST,JAMAICA AV/139 ST,JAMAICA AV/BRADFORD ST,JAMAICA AV/WOODHAVEN BL WEST,JAMAICA AV/114 ST,JAMAICA AV/150 ST,JAMAICA AV/87 ST,JAMAICA AV/LOGAN ST,JAMAICA AV/168 PL,JAMAICA AV/85 ST,JAMAICA AV/HEMLOCK ST,JAMAICA AV/88 ST,JAMAICA AV/CRESCENT ST,JAMAICA AV/HIGHLAND BL,JAMAICA AV/NORWOOD AV,JAMAICA AV/HERKIMER ST,JAMAICA AV/96 ST,JAMAICA AV/147 PL,JAMAICA AV/CYPRESS HILLS ST,JAMAICA AV/113 ST,JAMAICA AV/WOODHAVEN BL,JAMAICA AV/77 ST,JAMAICA AV/134 ST,JAMAICA AV/RICHMOND ST,JAMAICA AV/FANCHON PL,JAMAICA AV/144 PL,College Point Depot (CP)
JAMAICA AV/162 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 JAMAICA 170 ST via JAMAICA AV,,,,0.139 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,
JAMAICA AV/112 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/124 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/SHEPHERD AV,,,,,,,,,,,,,,,,,,,,,0.174 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170 ST/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/NICHOLS AV,,,,,,0.123 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/121 ST,,,,,,,,,,,,,,,0.239 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/127 ST,,,,,,,,,,,,,,,0.183 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/HALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,
JAMAICA AV/144 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/116 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/130 ST,,0.192 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,0.153 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/WARWICK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,0.286 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/146 ST,,,,,,,,,,,,,,,,,,,,,,0.213 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN SINDEREN AV/FULTON ST,,,,,0.447 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/BARBEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/SCHENCK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/PARSONS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,0.436 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/122 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/168 ST,,,,,,,,,,,,,,,,,0.244 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/115 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/PENNSYLVANIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.539 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/107 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/CLEVELAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/110 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/VAN WYCK EP,,,,,,,,0.129 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AVE / QUEENS BLVD,,,,,,,,0.096 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/JEROME ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.099 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
