,JAMAICA AV/LINWOOD ST,JAMAICA AV/132 ST,JAMAICA AV/165 ST,JAMAICA AV/102 ST,JAMAICA AV/GEORGIA AV,JAMAICA AV/ELDERT LA,JAMAICA AV/EUCLID AV,JAMAICA AV/138 ST,JAMAICA AV/DEXTER CT,JAMAICA AV/MARGINAL ST E,JAMAICA AV/FOREST PY,JAMAICA AV/162 ST,JAMAICA AV/94 ST,JAMAICA AV/112 ST,JAMAICA AV/124 ST,JAMAICA AV/SHEPHERD AV,170 ST/JAMAICA AV,JAMAICA AV/NICHOLS AV,JAMAICA AV/121 ST,JAMAICA AV/127 ST,JAMAICA AV/HALE AV,JAMAICA AV/144 ST,JAMAICA AV/116 ST,JAMAICA AV/130 ST,JAMAICA AV/89 ST,JAMAICA AV/WARWICK ST,JAMAICA AV/106 ST,JAMAICA AV/146 ST,VAN SINDEREN AV/FULTON ST,JAMAICA AV/BARBEY ST,JAMAICA AV/SCHENCK AV,JAMAICA AV/PARSONS BL,JAMAICA AV/122 ST,JAMAICA AV/168 ST,JAMAICA AV/115 ST,JAMAICA AV/PENNSYLVANIA AV,JAMAICA AV/107 ST,JAMAICA AV/CLEVELAND ST,JAMAICA AV/110 ST,JAMAICA AV/VAN WYCK EP,JAMAICA AVE / QUEENS BLVD,JAMAICA AV/JEROME ST,JAMAICA AV/117 ST,JAMAICA AV/LEFFERTS BL,JAMAICA AV/104 ST,JAMAICA AV/VAN SICLEN AV,JAMAICA AV/109 ST,JAMAICA AV/HENDRIX ST,JAMAICA AV/108 ST,JAMAICA AV/MILLER AV,JAMAICA AV/160 ST,JAMAICA AV/METROPOLITAN AV,JAMAICA AV/GUY R BREWER BL,JAMAICA AV/ELTON ST,JAMAICA AV/118 ST,JAMAICA AV/86 ST,JAMAICA AV/LINCOLN AV,JAMAICA AV/90 ST,JAMAICA AV/AUTUMN AV,JAMAICA AV/126 ST,JAMAICA AV/170 ST,JAMAICA AV/75 ST,JAMAICA AV/80 ST,JAMAICA AV/98 ST,JAMAICA AV/WYONA ST,JAMAICA AV/78 ST,JAMAICA AV/111 ST,JAMAICA AV/76 ST,JAMAICA AV/139 ST,JAMAICA AV/BRADFORD ST,JAMAICA AV/WOODHAVEN BL WEST,JAMAICA AV/114 ST,JAMAICA AV/150 ST,JAMAICA AV/87 ST,JAMAICA AV/LOGAN ST,JAMAICA AV/168 PL,JAMAICA AV/85 ST,JAMAICA AV/HEMLOCK ST,JAMAICA AV/88 ST,JAMAICA AV/CRESCENT ST,JAMAICA AV/HIGHLAND BL,JAMAICA AV/NORWOOD AV,JAMAICA AV/HERKIMER ST,JAMAICA AV/96 ST,JAMAICA AV/147 PL,JAMAICA AV/CYPRESS HILLS ST,JAMAICA AV/113 ST,JAMAICA AV/WOODHAVEN BL,JAMAICA AV/77 ST,JAMAICA AV/134 ST,JAMAICA AV/RICHMOND ST,JAMAICA AV/FANCHON PL,JAMAICA AV/144 PL,College Point Depot (CP)
JAMAICA AV/117 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/LEFFERTS BL,,,,,,,,,,,,,,,,,,,0.149 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/104 ST,,,,0.209 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/VAN SICLEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/109 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/HENDRIX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/108 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/MILLER AV,,,,,,,,,,0.334 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/160 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/METROPOLITAN AV,,0.244 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/GUY R BREWER BL,,,0.952 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/ELTON ST,,,,,,,,,,,,,,,,0.261 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/118 ST,,,,,,,,,,,,,,,,,,,,,,,0.144 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/86 ST,,,,,,,,,,,4.453 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/LINCOLN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,
JAMAICA AV/90 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,0.232 JAMAICA 170 ST via JAMAICA AV,,,,,,
JAMAICA AV/AUTUMN AV,,,,,,,,,,,,,,,,,,0.18 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/126 ST,,,,,,,,,,,,,,,,,,,,,,,,0.198 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/170 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,
JAMAICA AV/75 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 JAMAICA 170 ST via JAMAICA AV,,,,,
JAMAICA AV/80 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,0.321 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,
JAMAICA AV/98 ST,,,,0.201 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,
JAMAICA AV/WYONA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069 JAMAICA 170 ST via JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/78 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132 BROADWAY JCT VAN SINDEREN AV via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,
