,AV Z/CONEY ISLAND AV,W 37 ST/BAY VIEW AV,OCEAN PKY/SHORE PKY,SURF AV/W 19 ST,OCEAN PY/WEST AV,W 33 ST/MERMAID AV,SURF AV/W 25 ST,NOSTRAND AV/AV Z,AV Z/OCEAN AV,SURF AV/W 28 ST,AV Z/OCEAN PY,SURF AV/W 27 ST,AV Z/E 22 ST,SURF AV/W 32 ST,NOSTRAND AV/AV V,NOSTRAND AV/GRAVESEND NECK RD,NEPTUNE AV/OCEAN PY,W 5 ST/W BRIGHTON AV,AV Z/E 28 ST,AV Z/E 18 ST,SURF AV/W 10 ST,AV Z/E 13 ST,SURF AV/STILLWELL AV,OCEAN PY/SHORE PY,W 33 ST/BAY VIEW AV,W 33 ST/NEPTUNE AV,SURF AV/W 6 ST,NOSTRAND AV/AV W,AV Z/E 19 ST,SURF AV/W 23 ST,W 37 ST/NEPTUNE AV,NOSTRAND AV/AV X,W 37 ST/MERMAID AV,W 37 ST/CANAL AV,SURF AV/W 37 ST,SURF AV/W 5 ST,SURF AV /W 17 ST,W 33 ST/SURF AV,NOSTRAND AV/AV Y,SURF AV/W 33 ST,W 5 ST/SEA BREEZE AV,SURF AV/W 29 ST,AV Z/BEDFORD AV,GRAVESEND NECK RD/EAST 29 ST,W 5 ST/NEPTUNE AV,SURF AV/W 21 ST,SURF AV/W 35 ST,AV Z/HUBBARD ST,BAYVIEW AV/W 36 ST,SURF AV/W 16 ST,AV Z/E 7 ST,AV Z/E 15 ST,AV Z/E 12 ST,Jackie Gleason Depot (JG)
OCEAN PY/SHORE PY,,,,,,,,,,,0.89 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 33 ST/BAY VIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,0.0 SHEEPSHEAD BAY AVENUE U,0.435 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 33 ST/NEPTUNE AV,,,,,,0.255 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF AV/W 6 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,
NOSTRAND AV/AV W,,,,,,,,,,,,,,,0.239 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,0.185 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,,,,,
AV Z/E 19 ST,,,,,,,,,0.068 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF AV/W 23 ST,,,,,,,0.186 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 SHEEPSHEAD BAY AVENUE U,,,,,,,,
W 37 ST/NEPTUNE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV X,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,0.656 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,
W 37 ST/MERMAID AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,
W 37 ST/CANAL AV,,0.217 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF AV/W 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,
SURF AV/W 5 ST,,,,,,,,,,,,,,,,,,,,,1.298 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF AV /W 17 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285 CONEY ISLAND W 37 ST,,,,,,,,15.461 to depot of B36
W 33 ST/SURF AV,,,,,,,,,,,,,,1.137 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV Y,,,,,,,,1.001 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,,,,,,,0.251 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,
SURF AV/W 33 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101 CONEY ISLAND W 37 ST,,,,,,,
W 5 ST/SEA BREEZE AV,,,,,,,,,,,,,,,,,,0.064 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF AV/W 29 ST,,,,,,,,,,0.111 SHEEPSHEAD BAY AVENUE U,,,,0.273 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV Z/BEDFORD AV,,,,,,,,,,,,,0.459 CONEY ISLAND W 37 ST,,,,,,0.242 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAVESEND NECK RD/EAST 29 ST,,,,,,,,,,,,,,,,0.212 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 5 ST/NEPTUNE AV,,,,,,,,,,,,,,,,,0.404 SHEEPSHEAD BAY AVENUE U,0.372 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF AV/W 21 ST,,,,0.207 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,,,,,,,
SURF AV/W 35 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,,
AV Z/HUBBARD ST,,,,,,,,,,,0.843 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYVIEW AV/W 36 ST,,,,,,,,,,,,,,,,,,,,,,,,,1.187 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF AV/W 16 ST,,,,,,,,,,,,,,,,,,,,,,,0.19 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV Z/E 7 ST,0.161 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV Z/E 15 ST,,,,,,,,,,,,,,,,,,,,,,0.205 CONEY ISLAND W 37 ST,,,,,,,0.344 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,
AV Z/E 12 ST,0.155 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,,,,0.161 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.032 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,
