,LEWIS AV/MADISON ST,NEW LOTS AV/VERMONT ST,NEW LOTS AV/GEORGIA AV,130 PL/HANGAR RD STOP20A,HEGEMAN AV/OSBORN ST,N VAN WYCK SERVICE RD/STOP 13 BLDG 21,LINDEN BL/78TH ST,MARCUS GARVEY BL/LEXINGTON AV,LINDEN BL/DREW ST,TROY AV/FULTON ST,N VAN WYCK SERVICE RD/STOP 11 BLDG 23,JFK AIRPORT/TERMINAL 5 AIRTRAIN STATION,RALPH AV/EASTERN PKWY N,LEFFERTS BLVD/AIRTRAIN STA,E 98 ST/LIVONIA AV,ST JOHNS PL/BUFFALO AV,LINDEN BL/SHERIDAN AV,BUFFALO AV/PARK PL,NEW LOTS AV/SCHENCK AV,BUFFALO AV/ST JOHNS PL,E 98 ST/BLAKE AV,DEAN ST/ALBANY AV,RALPH AV/EAST NEW YORK AV,AIR TRAIN STATION,E 98 ST/CHURCH AV,NEW LOTS AV/CHRISTOPHER AV,DEAN ST/TROY AV,LEWIS AV/BAINBRIDGE ST,BERGEN ST/SCHENECTADY AV,BERGEN ST/BUFFALO AV,LEWIS AV/GATES AV,LEWIS AV/LAFAYETTE AV,LINDEN BL/CRESCENT ST,HEGEMAN AV/CHESTER AV,NEW LOTS AV/BRADFORD ST,ROCHESTER AV/BERGEN ST,RALPH AV/SUTTER AV,DUMONT AV/MILFORD ST,NEW LOTS AV/MILLER AV,S VAN WYCK SERVICE RD/BLDG 14,FOUNTAIN AV/HEGEMAN AV,130 PL/E HANGAR RD STOP18,NEW LOTS AV/WILLIAMS AV,TROY AV/DEAN ST,MARCUS GARVEY BL/WILLOUGHBY AV,NEW LOTS AV/MOTHER GASTON BL,NEW LOTS AV/ESSEX ST,BUFFALO AV/PROSPECT PL,NEW LOTS AV/BERRIMAN ST,LEWIS AV/WILLOUGHBY AV,NEW LOTS AV/HENDRIX ST,NEW LOTS AV/SACKMAN ST,E 98 ST/RIVERDALE AV,MARCUS GARVEY BL/MADISON ST,NEW LOTS AV/HINSDALE ST,NEW LOTS AV/VAN SINDEREN AV,BERGEN ST/TROY AV,NEW LOTS AV/BARBEY ST,NEW LOTS AV/POWELL ST,LEWIS AV/GREENE AV,NEW LOTS AV/MALTA ST,LEWIS AV/MYRTLE AV,MARCUS GARVEY BL/PARK AV,NEW LOTS AV/LINWOOD ST,TROY AV/ATLANTIC AV,DEAN ST/SCHENECTADY AV,LEWIS AV/JEFFERSON AV,DUMONT AV/FOUNTAIN AV,MARCUS GARVEY BL/BROADWAY,LINDEN BL/EMERALD ST,HIP CTR PARKING LOT,DREW ST/LINDEN BLVD,MARCUS GARVEY BL/PULASKI ST,ST MARKS AV/ROCHESTER AV,N VAN WYCK SERVICE RD/STOP 17 AMERICAN FREIGHT,NEW LOTS AV/WYONA ST,NEW LOTS AV/SHEFFIELD AV,MARCUS GARVEY BL/DE KALB AV,MARCUS GARVEY BL/MAC DONOUGH ST,NEW LOTS AV/JEROME ST,LINDEN BL/AUTUMN AV,FOUNTAIN AV/LINDEN BL,DUMONT AV/MONTAUK AV,RALPH AV/ST JOHNS PL,ST JOHNS PL/RALPH AV,LINDEN BL SRVC RD/FOUNTAIN AV,BUFFALO AV/ST MARKS AV,MARCUS GARVEY BL/HALSEY ST,MARCUS GARVEY BL/LAFAYETTE AV,BERGEN ST/ROCHESTER AV,LEWIS AV/HALSEY ST,130 PL/BERGEN RD,MARCUS GARVEY BL/JEFFERSON AV,E 98 ST/LEGION ST,NEW LOTS AV/PENNSYLVANIA AV,MARCUS GARVEY BL/GATES AV,ALBANY AV/ATLANTIC AV,E 98 ST/WINTHROP ST,BERGEN ST/UTICA AV,LORING AV/DREW ST,E 98 ST/LOTT AV,S VAN WYCK SERVICE RD/BLDG 90,LEWIS AV/BROADWAY,LEWIS AV/DEKALB AV,E 98 ST/HEGEMAN AV,130 PL/ BERGEN RD STOP 22,ELDERT LA/LORING AV,E 98 ST/CLARKSON AV,LINDEN BL/EUCLID AV,MARCUS GARVEY BL/FULTON ST,HEGEMAN AV/BRISTOL ST,LEWIS AV/MAC DONOUGH ST,NEW LOTS AV/ELTON ST,HEGEMAN AV/THATFORD AV,LEWIS AV/PULASKI ST,E 98 ST/WILLMOHR ST,LINDEN BL/ELDERT LA,E 98 ST/DUMONT AV,BROADWAY/PARK ST,N VAN WYCK SERVICE RD/STOP 15 BLDG 122,ELDERT LA/LINDEN BL,LINDEN BL/79 ST,RALPH AV/EASTERN PY,MARCUS GARVEY BL/MYRTLE AV,NEW LOTS AV/ASHFORD ST,S VAN WYCK SERVICE RD/BLDG 23,E 98 ST/LENOX RD,DEAN ST/UTICA AV,HEGEMAN AV/ROCKAWAY AV,DEAN ST/ROCHESTER AV,HEGEMAN AV/THOMAS S BOYLAND ST,HEGEMAN AV/WATKINS ST,ALBANY AV/FULTON ST,Jackie Gleason Depot (JG)
E 98 ST/RIVERDALE AV,,,,,,,,,,,,,,,0.198 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCUS GARVEY BL/MADISON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW LOTS AV/HINSDALE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW LOTS AV/VAN SINDEREN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 JFK AIRPORT,,,,0.175 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/TROY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.431 to depot of B15
NEW LOTS AV/BARBEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW LOTS AV/POWELL ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEWIS AV/GREENE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW LOTS AV/MALTA ST,,,0.129 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEWIS AV/MYRTLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCUS GARVEY BL/PARK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 JFK AIRPORT,,,,,,,,,,
NEW LOTS AV/LINWOOD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 BED-STUY WOODHULL HOSPITAL,,,,,,,,,
TROY AV/ATLANTIC AV,,,,,,,,,,0.241 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/SCHENECTADY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 JFK AIRPORT,,,,,,
LEWIS AV/JEFFERSON AV,0.197 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUMONT AV/FOUNTAIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 BED-STUY WOODHULL HOSPITAL,,,0.166 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCUS GARVEY BL/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/EMERALD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.367 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP CTR PARKING LOT,,,,,,,0.751 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREW ST/LINDEN BLVD,,,,,,,,,,,,9.808 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCUS GARVEY BL/PULASKI ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.501 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST MARKS AV/ROCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N VAN WYCK SERVICE RD/STOP 17 AMERICAN FREIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.711 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW LOTS AV/WYONA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW LOTS AV/SHEFFIELD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCUS GARVEY BL/DE KALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCUS GARVEY BL/MAC DONOUGH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,
NEW LOTS AV/JEROME ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 JFK AIRPORT,,,,,,,,,
LINDEN BL/AUTUMN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295 JFK AIRPORT,,,,,,,,,,,,,,,,,
FOUNTAIN AV/LINDEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUMONT AV/MONTAUK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,0.248 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST JOHNS PL/RALPH AV,,,,,,,,,,,,,0.168 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL SRVC RD/FOUNTAIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.404 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,
BUFFALO AV/ST MARKS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCUS GARVEY BL/HALSEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCUS GARVEY BL/LAFAYETTE AV,,,,,,,,0.247 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/ROCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEWIS AV/HALSEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130 PL/BERGEN RD,,,,,,,,,,,,,,1.624 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCUS GARVEY BL/JEFFERSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 98 ST/LEGION ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW LOTS AV/PENNSYLVANIA AV,,0.161 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCUS GARVEY BL/GATES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANY AV/ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,0.185 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 98 ST/WINTHROP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORING AV/DREW ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 98 ST/LOTT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S VAN WYCK SERVICE RD/BLDG 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.962 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEWIS AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,
LEWIS AV/DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,
E 98 ST/HEGEMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 JFK AIRPORT,,,
130 PL/ BERGEN RD STOP 22,,,,0.265 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELDERT LA/LORING AV,,,,,,,,,0.405 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 98 ST/CLARKSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 JFK AIRPORT,,,,,,,
LINDEN BL/EUCLID AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.076 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.167 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCUS GARVEY BL/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115 JFK AIRPORT,
HEGEMAN AV/BRISTOL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 JFK AIRPORT,,,,,
LEWIS AV/MAC DONOUGH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW LOTS AV/ELTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEGEMAN AV/THATFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEWIS AV/PULASKI ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 98 ST/WILLMOHR ST,,,,,,,,,,,,,,,,,,,,,,,,,0.197 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/ELDERT LA,,,,,,,,,,,,,,,,,0.204 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 98 ST/DUMONT AV,,,,,,,,,,,,,,,,,,,,,0.2 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
