,EASTERN PY/UTICA AV,FLATLANDS AV/ROCKAWAY PY,SEAVIEW AV/E 108 ST,SEAVIEW AV/REMSEN AV,REMSEN AV/CLARKSON AV,SEAVIEW AV/EAST 100 ST,REMSEN AV/E 51 ST,FLATLANDS AV/E 94 ST,REMSEN AV/DITMAS AV,EAST NEW YORK AV/SCHENECTADY AV,AV L/E 85 ST,TROY AV/CARROLL ST,REMSEN AV/AV M,AV L/E 82 ST,REMSEN AV/LENOX ROAD,SEAVIEW AV/E 104 ST,REMSEN AV/AV L,REMSEN AV/FOSTER AV,REMSEN AV/FLATLANDS AV,AV L/REMSEN AV,GLENWOOD RD/EAST 96 ST,AV L/E 83 ST,TROY AV/EAST NEW YORK AV,E 80 ST/PAERDEGAT 15 ST,REMSEN AV/E 56 ST,REMSEN AV/AV K,REMSEN AV/AV N,AV L/E 86 ST,GLENWOOD RD/REMSEN AV,REMSEN AV/AV D,SEAVIEW AV/E 95 ST,EASTERN PY/SCHENECTADY AV,E 80 ST/PAERDEGAT 10 ST,SEAVIEW AV/ROCKAWAY PY,SEAVIEW AV/E 102 ST,E 80 ST/AV M,REMSEN AV/LINDEN BL,REMSEN AV/KINGS HY,SEAVIEW AV/E 93 ST,REMSEN AV/FARRAGUT RD,SEAVIEW AV/E 99 ST,E 80 ST/AV N,REMSEN AV/LENOX RD,REMSEN AV/AV B,FLATLANDS AV/E 92 ST,SEAVIEW AV/E 91 ST,GLENWOOD RD/E 94 ST,REMSEN AV/SEAVIEW AV,REMSEN AV/WINTHROP ST,REMSEN AV/GLENWOOD RD,AV L/E 84 ST,E 80 ST/PAERDEGAT 13 ST,TROY AV/EMPIRE BL,E 80 ST/PAERDEGAT 7 ST,TROY AV/EASTERN PY,REMSEN AV/E 54 ST,UTICA AV/EMPIRE BL,AV L/E 87 ST,REMSEN AV/RUTLAND RD,EAST NEW YORK AV/UTICA AV,REMSEN AV/CHURCH AV,SEAVIEW AV/E 105 ST,UTICA AV/CARROLL ST,REMSEN AV/AV A,REMSEN AV/AV J,TROY AV/MONTGOMERY ST,AV L/E 88 ST,Jackie Gleason Depot (JG)
REMSEN AV/FLATLANDS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 CANARSIE SEAVIEW AV,,,
AV L/REMSEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,
GLENWOOD RD/EAST 96 ST,,0.287 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV L/E 83 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROY AV/EAST NEW YORK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.196 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,
E 80 ST/PAERDEGAT 15 ST,,,2.137 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.034 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/E 56 ST,,,,,,,,,,,,,,,0.24 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/AV K,,,,,,,,,,,,,,,,,0.585 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 CROWN HEIGHTS EASTERN PKY,,,
REMSEN AV/AV N,,,,,,,,,,,0.91 CROWN HEIGHTS EASTERN PKY,,,,,,,,,0.497 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV L/E 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.432 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENWOOD RD/REMSEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/AV D,,,,,,,,,0.269 CROWN HEIGHTS EASTERN PKY,,,,,,,,,0.2 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAVIEW AV/E 95 ST,,,,,,,,,,,,,,2.064 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.469 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTERN PY/SCHENECTADY AV,0.23 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 80 ST/PAERDEGAT 10 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.034 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAVIEW AV/ROCKAWAY PY,,,,,,,,,,,,,,,,,,,,,,,,1.387 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.103 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,
SEAVIEW AV/E 102 ST,,,,,,0.189 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.791 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,
E 80 ST/AV M,,,,0.835 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/LINDEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/KINGS HY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,0.303 CANARSIE SEAVIEW AV,,,,,,,
SEAVIEW AV/E 93 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.027 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,1.482 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,
REMSEN AV/FARRAGUT RD,,,,,,,,,,,,,,,,,,0.245 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,0.216 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAVIEW AV/E 99 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.925 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 80 ST/AV N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.035 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/LENOX RD,,,,,0.268 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/AV B,,,,,,,,,0.239 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 CROWN HEIGHTS EASTERN PKY,,,,
FLATLANDS AV/E 92 ST,,,,,,,,,,,,,,,,,,,0.134 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,
SEAVIEW AV/E 91 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.256 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENWOOD RD/E 94 ST,,,,,,,,,,,,,,,,,,,,,0.224 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.321 CANARSIE SEAVIEW AV,
REMSEN AV/WINTHROP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 CROWN HEIGHTS EASTERN PKY,,,,,,,,,
REMSEN AV/GLENWOOD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 CROWN HEIGHTS EASTERN PKY,,,,,0.387 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,
AV L/E 84 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.641 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 80 ST/PAERDEGAT 13 ST,,,,,,,,,,,,,,,,2.007 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROY AV/EMPIRE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059 CROWN HEIGHTS EASTERN PKY,,
E 80 ST/PAERDEGAT 7 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.081 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROY AV/EASTERN PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.483 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/E 54 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.266 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.84 to depot of B17
UTICA AV/EMPIRE BL,,,,,,,0.243 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV L/E 87 ST,,,,,,,,,,,,,,,,,0.204 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/RUTLAND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 CANARSIE SEAVIEW AV,,,,0.377 CROWN HEIGHTS EASTERN PKY,,,,,,,,
EAST NEW YORK AV/UTICA AV,,,,,,,,,,0.223 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 CANARSIE SEAVIEW AV,,,,
SEAVIEW AV/E 105 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/CARROLL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 CANARSIE SEAVIEW AV,,,,,,,,,,,
REMSEN AV/AV A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,0.207 CROWN HEIGHTS EASTERN PKY,,,,,,,
REMSEN AV/AV J,,,,,,,,,,,,,,,,,,,0.537 CROWN HEIGHTS EASTERN PKY,,,,,,,0.426 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROY AV/MONTGOMERY ST,,,,,,,,,,,,0.198 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV L/E 88 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.524 CANARSIE SEAVIEW AV,,,,,,,,,,,,
