,W 181 ST/WADSWORTH AV,SEDGWICK AV/FT INDEPENDENCE ST,W 181 ST/ST NICHOLAS AV,W 238 ST/ORLOFF AV,SEDGWICK AV/W 195 ST,UNIVERSITY AV/N OF WASHINGTON BDG,UNIVERSITY AV/W 179 ST,UNIVERSITY AV/HALL OF FAME TER,W KINGSBRIDGE RD/UNIVERSITY AV,UNIVERSITY AV/W 190 ST,UNIVERSITY AV/WASHINGTON BRIDGE,UNIVERSITY AV/W BURNSIDE AV,FT INDEPENDENCE/GILES PL,UNIVERSITY AV/W 183 ST,UNIVERSITY AV/W TREMONT AV,UNIVERSITY AV/W 176 ST,W 179 ST/BROADWAY,FT INDEPENDENCE ST/HEATH AV,UNIVERSITY AV/W 181 ST,BROADWAY/W 179 ST,SEDGWICK AV/W 229 ST,W 238 ST/BAILEY AV,UNIVERSITY AV/W 174 ST,UNIVERSITY AV/W FORDHAM RD,W 181 ST/AMSTERDAM AV,SEDGWICK AV/W 231 ST,W KINGSBRIDGE RD/SEDGWICK AV,SEDGWICK AV/W 197 ST,UNIVERSITY AV/W 192 ST,FT INDEPENDENCE ST/BAILEY PL,UNIVERSITY AV/MORTON PL,WADSWORTH AV/W 181 ST,BROADWAY/179 ST,UNIVERSITY AV/W BURNSIDE AV #1,W 238 ST/BROADWAY,Kingsbridge Depot (KB)
W KINGSBRIDGE RD/SEDGWICK AV,,,,,0.153 RIVERDALE BWAY-238 ST,,,,0.277 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,2.547 to depot of Bx3
SEDGWICK AV/W 197 ST,,,,,0.18 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,0.152 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,,,
UNIVERSITY AV/W 192 ST,,,,,,,,,0.133 RIVERDALE BWAY-238 ST,0.283 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,
FT INDEPENDENCE ST/BAILEY PL,,,,0.194 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,,0.302 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,
UNIVERSITY AV/MORTON PL,,,,,,,,,,,,,,,0.062 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,0.717 RIVERDALE BWAY-238 ST,,
WADSWORTH AV/W 181 ST,,,,,,,,,,,,,,,,,,,,0.268 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,
BROADWAY/179 ST,0.28 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY AV/W BURNSIDE AV #1,,,,,,,,,,,,0.188 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,,,,,,,,,,,,
W 238 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,0.228 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,
Kingsbridge Depot (KB),,,,,,,,,,,,,,,,,,,,,,,,,,,1.41 RIVERDALE BWAY-238 ST,,,,,,,,,
