,RICHMOND RD/MC CULLY AV,WOODROW RD/WINANT AV,RICHMOND RD/MARK ST,WOODROW RD/LENEVAR AVE,WOODROW RD/HELIOS PL,TARGEE ST/SOBEL CT,BLOOMINGDALE RD/OPP KRAMER AV,RICHMOND RD/MIDLAND AV,ROSSVILLE AV/POND ST,RICHMOND RD/SPRING ST,RICHMOND RD/BISHOP ST,ARTHUR KILL RD/TELEPHONE CO,RICHMOND RD/TARGEE ST,BAY ST/BOROUGH PL,ARTHUR KILL RD/ELLIS PL,ARTHUR KILL RD/ENGLEWOOD AV,RICHMOND RD/HITCHCOCK AV,RICHMOND RD/HUNTON ST,VAN DUZER ST/BALTIC ST,BLOOMINGDALE RD/CORRELL AV,TARGEE ST/VANDERBILT AV,BRICKTOWN SHOPPING CENTER,TARGEE ST/YOUNG ST,ARTHUR KILL RD/ELVERTON AV,RICHMOND RD/ENFIELD PL,ARTHUR KILL RD/CLAY PIT RD,TARGEE ST/OSGOOD AV,ST GEORGE FERRY/ST GEORGE FERRY,RICHMOND RD/ST PATRICKS PL,ARTHUR KILL RD/JOHNSON ST,ARTHUR KILL RD/CORBIN AV,BAY ST/SANDS ST,ARTHUR KILL RD/UNITED HEB CEM,ARTHUR KILL RD/ANNADALE RD,RICHMOND RD/BARTON AV,ARTHUR KILL RD/CROSSFIELD AV,RICHMOND RD/TODT HILL RD,ARTHUR KILL RD/BLOOMINGDALE RD,ARTHUR KILL RD/ELLIS RD,BLOOMINGDALE RD/OPP SHIEL AV,BAY ST/VICTORY BL,RICHMOND RD/DELLWOOD RD,RICHMOND RD/BANCROFT AV,VAN DUZER ST/ROFF ST,ROSSVILLE AV/CORRELL AV,BAY ST/WILLIAM ST,ARTHUR KILL RD/OPP ASPEN KNOLLS,TARGEE ST/BROAD ST,RICHMOND RD/EDGAR PL,BAY ST/GRANT ST,ARTHUR KILL RD/WINANT PL,ARTHUR KILL RD/1547 ARTHUR KILL RD,RICHMOND RD/BURGHER AV,RICHMOND RD/NARROWS RD S,ARTHUR KILL RD/KREISCHER ST,ST GEORGE FERRY /ST GEORGE FERRY,RICHMOND RD/LIGHTHOUSE AV,RICHMOND RD/MCKINLEY AV,RICHMOND RD/RARITAN AV,TARGEE ST/PALMA DR,RICHMOND RD/HULL AV,ARTHUR KILL RD/STORER AV,BAY ST/PROSPECT ST,RICHMOND RD/FOUR CORNERS RD,ROSSVILLE AV/SELKIRK ST,RICHMOND RD/SUMMIT AV,RICHMOND RD/OLD TOWN RD,BROAD ST/CEDAR ST,VAN DUZER ST/VANDERBILT AV,ARTHUR KILL RD /CORRECTIONAL FACILITY,RICHMOND RD/ALTAMONT ST,ARTHUR KILL RD/ARMSTRONG AV,RICHMOND RD/BEACON AV,ARTHUR KILL RD/ST JOHN NEWMANN,VAN DUZER ST/BROAD ST,TARGEE ST/DOCTORS HOSPITAL,CANAL ST/WRIGHT ST,BAY ST/NICK LAPORTE PL,ROSSVILLE AV/VETERANS RD E,BAY ST/SLOSSON TER,TARGEE ST/BALTIC AV,VAN DUZER ST/OAKLAND TER,RICHMOND RD/ROCKLAND AV,ST GEORGE FERRY/S74 & S84,ROSSVILLE AV/WOOD CT,RICHMOND RD/LONGVIEW RD,ARTHUR KILL RD/NEWVALE AV,RICHMOND RD/ANDREWS AV,BLOOMINGDALE RD/KRAMER AV,RICHMOND RD/LOCUST AV,ARTHUR KILL RD/LADD AV,TARGEE ST/STEUBEN ST,ROSSVILLE AV/OPP CORRELL AV,VAN DUZER ST/YOUNG ST,ARTHUR KILL RD/ARDEN AV,ARTHUR KILL RD/ANDROVETTE ST,ARTHUR KILL RD/RIDGEWOOD AV,ARTHUR KILL RD/GREAVES AV,VAN DUZER ST/GRANT ST,ROSSVILLE AV/VETERANS RD W,TARGEE ST/CLOVE RD,RICHMOND RD/HUNTER AV,ARTHUR KILL RD/CARLYLE GREEN,ARTHUR KILL RD/WOODROW RD,RICHMOND RD/DOUGLAS RD,ARTHUR KILL RD/WEST SERVICE RD,ARTHUR KILL RD/GIFFORDS LA,ARTHUR KILL RD/ARDEN HGHTS SHOP,BAY ST/VAN DUZER EXT,BLOOMINGDALE RD/VETERANS RD E,RICHMOND RD/GREELEY AV,ARTHUR KILL RD/1297 ARTHUR KILL RD,TARGEE ST/W FINGERBOARD RD,RICHMOND RD/SEAVIEW AV,TARGEE ST/DE KALB ST,ARTHUR KILL RD/MILES AV,ARTHUR KILL RD E/VETERANS RD E,RICHMOND RD/WILDER AV,ARTHUR KILL RD/FRANKLIN LA,RICHMOND RD/DONGAN HILLS AV,BRICKTOWN SHOPPING/CENTER,ARTHUR KILL RD/CEMETERY 1 GATE,ARTHUR KILL RD/CHARLESTON DEPOT,ARTHUR KILL RD/CARLYLE GRN,RICHMOND RD/DE KALB ST,ARTHUR KILL RD/SHARROTTS RD,ARTHUR KILL RD/CORRECTIONAL FACILITY RD,RICHMOND RD/ALTOONA AV,ARTHUR KILL RD/VETERANS RD W,BROAD ST/GORDON ST,ARTHUR KILL RD/VETERANS RD E,RICHMOND RD/NEW DORP LA,ROSSVILLE AV/BARRY  ST,TARGEE ST/ROFF ST,ROSSVILLE AV/MASON BL,VAN DUZER ST/BARING PL,RICHMOND RD/SPRUCE ST,ARTHUR KILL RD/COLON AV,RICHMOND RD/ROSE AV,RICHMOND RD/BUEL AV,RICHMOND RD/ROME AV,ARTHUR KILL RD/BROOKFIELD AV,ELTINGVILLE/TRANSIT CENTER,VAN DUZER ST/HILLSIDE AV,ARTHUR KILL RD/CENTER ST,VAN DUZER ST/BEACH ST,BROAD ST/TOMPKINS AV,RICHMOND RD/SEAVER AV,RICHMOND RD/LINCOLN AV,BAY ST/HANNAH ST,ARTHUR KILL RD/1666 ARTHUR KILL RD,RICHMOND RD/STEELE AV,ROSSVILLE AV/WOODROW RD,TARGEE ST/ROME AV,Charleston Depot (CH)
BAY ST/VICTORY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.622 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/DELLWOOD RD,,,0.155 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/BANCROFT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DUZER ST/ROFF ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,
ROSSVILLE AV/CORRELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,
BAY ST/WILLIAM ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/OPP ASPEN KNOLLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/BROAD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/EDGAR PL,,,,,,,,,,0.245 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/GRANT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/WINANT PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/1547 ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.663 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/BURGHER AV,,,0.22 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/NARROWS RD S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/KREISCHER ST,,,,,,,,,,,,,,,,,,,,,,1.541 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 to depot of S74
ST GEORGE FERRY /ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/LIGHTHOUSE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/MCKINLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/RARITAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 ST GEORGE FERRY,,,,,,,,,,,0.516 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/PALMA DR,,,,,,0.224 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/HULL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 ST GEORGE FERRY,,,,,,,
ARTHUR KILL RD/STORER AV,,,,,,,,,,,,,,,0.23 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/PROSPECT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.685 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/FOUR CORNERS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,
ROSSVILLE AV/SELKIRK ST,,,,,,,,,0.283 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/SUMMIT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288 ST GEORGE FERRY,,,,,,,,,,,,,,,,
RICHMOND RD/OLD TOWN RD,,,,,,,,,,,,,,,,,,0.212 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROAD ST/CEDAR ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DUZER ST/VANDERBILT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD /CORRECTIONAL FACILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/ALTAMONT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147 BRICKTOWN MALL via AR KILL RD,,,
ARTHUR KILL RD/ARMSTRONG AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329 ST GEORGE FERRY,,,,,,,,,,,,,,,,,
RICHMOND RD/BEACON AV,,,,,,,,,,,,,,,,,,,,,,,,,0.184 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ST JOHN NEWMANN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DUZER ST/BROAD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/DOCTORS HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANAL ST/WRIGHT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/NICK LAPORTE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSSVILLE AV/VETERANS RD E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.039 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/SLOSSON TER,,,,,,,,,,,,,,0.269 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/BALTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DUZER ST/OAKLAND TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,
RICHMOND RD/ROCKLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/S74 & S84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSSVILLE AV/WOOD CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/LONGVIEW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/NEWVALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/ANDREWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/KRAMER AV,,,,,,,,,,,,,,,,,,,,0.356 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/LOCUST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/LADD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/STEUBEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSSVILLE AV/OPP CORRELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DUZER ST/YOUNG ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ARDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 ST GEORGE FERRY,,,,
ARTHUR KILL RD/ANDROVETTE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
