,LANE AV/BENSON AV,WESTCHESTER AV/COLGATE AV,WESTCHESTER AV/HAVEMEYER AV,WESTCHESTER AV/MORRISON AV,WESTCHESTER AV/ROSEDALE AV,WESTCHESTER AV/ COLGATE AV,E 149 ST/BROOK AV,WESTCHESTER AV/HOME ST,WESTCHESTER AV/WHITLOCK AV,WESTCHESTER AV/E 156 ST,WESTCHESTER AV/INTERVALE AV,WESTCHESTER AV/ST PETERS AV,HUGH GRANT CIR/CROSS BX SVC RD,WESTCHESTER AV/PROSPECT AV,WESTCHESTER AV/THIERIOT AV,WESTCHESTER AV/SIMPSON ST,WESTCHESTER AV/DORIS ST,WESTCHESTER AV/ELDER AV,TREMONT AV/LANE AV,WESTCHESTER AV/ST LAWRENCE AV,WESTCHESTER AV/ FTELEY AV,WESTCHESTER AV/HOE AV,WESTCHESTER AV/BRYANT AV,WESTCHESTER AV/E 163 ST,WESTCHESTER AV/CROSS BX SVC RD,WESTCHESTER AV/JACKSON AV,WESTCHESTER AV/REV J POLITE AV,WESTCHESTER AV/MANOR AV,WESTCHESTER AV/PUGSLEY AV,E 149 ST/ST ANNS AV,WESTCHESTER AV/WHITE PLAINS RD,WESTCHESTER AV/SOUTHERN BL,WESTCHESTER AV/TIFFANY ST,WESTCHESTER AV/ST ANNS AV,BERGEN AV/WESTCHESTER AV,WESTCHESTER AV/ NOBLE AV,WESTCHESTER AV/OLMSTEAD AV,WESTCHESTER AV/CASTLE HILL AV,WESTCHESTER AV/ZEREGA AV,WESTCHESTER AV/TINTON AV,E 149 ST/BERGEN AV,West Farms Depot (WF)
WESTCHESTER AV/CROSS BX SVC RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,,,
WESTCHESTER AV/JACKSON AV,,,,,,,,,,0.298 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,,,,,,,,,,,,,,0.335 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,
WESTCHESTER AV/REV J POLITE AV,,,,,,,,,,,0.235 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/MANOR AV,,,,0.162 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,,,,0.237 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/PUGSLEY AV,,,,,,,,,,,,,0.523 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,0.268 WESTCHTR SQ via WESTCHTR AV,,,,,
E 149 ST/ST ANNS AV,,,,,,,0.184 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/WHITE PLAINS RD,,,,,,,,,,,,,0.21 WESTCHTR SQ via WESTCHTR AV,,0.194 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,0.329 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/TIFFANY ST,,,,,,,,,,,0.179 THE HUB 3 AV via WESTCHESTER AV,,,,,0.199 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/ST ANNS AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 WESTCHTR SQ via WESTCHTR AV,,,,0.215 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,,
BERGEN AV/WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 WESTCHTR SQ via WESTCHTR AV,,,,,,,,
WESTCHESTER AV/ NOBLE AV,,,,,,,,,,,,,,,,,,,,0.248 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/OLMSTEAD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,0.236 WESTCHTR SQ via WESTCHTR AV,,,,
WESTCHESTER AV/CASTLE HILL AV,,,0.285 WESTCHTR SQ via WESTCHTR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 THE HUB 3 AV via WESTCHESTER AV,,,,,
WESTCHESTER AV/ZEREGA AV,,,,,,,,,,,,0.689 WESTCHTR SQ via WESTCHTR AV,,,,,0.24 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/TINTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.325 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,,,,,,
E 149 ST/BERGEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 THE HUB 3 AV via WESTCHESTER AV,,,,,,,
West Farms Depot (WF),,,,,1.4 THE HUB 3 AV via WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
