,MANHATTAN AV/INDIA ST,BROOKLYN AV/CARROLL ST,THROOP AV/LAFAYETTE AV,GRAHAM AV/DRIGGS AV,TOMPKINS AV/MARTIN L KING PL,FLUSHING AV/THROOP AV,TOMPKINS AV/HALSEY ST,BROOKLYN AV/MONTGOMERY ST,TOMPKINS AV/FULTON ST,THROOP AV/GREENE AV,MANHATTAN AV/NASSAU AV,TOMPKINS AV/GATES AV,GRAHAM AV/SEIGEL ST,EMPIRE BL/NEW YORK AV,KINGSTON AV/CARROLL ST,THROOP AV/HART ST,TOMPKINS AV/DEKALB AV,GRAHAM AV/SCHOLES ST,EMPIRE BL/BROOKLYN AV,KINGSTON AV/BERGEN ST,EMPIRE BL/BEDFORD AV,TOMPKINS AV/MYRTLE AV,MANHATTAN AV/DRIGGS AV,KINGSTON AV/PROSPECT PL,KINGSTON AV/MONTGOMERY ST,TOMPKINS AV/ELLERY ST,MANHATTAN AV/GREENPOINT AV,TOMPKINS AV/WILLOUGHBY AV,THROOP AV/HALSEY ST,BROOKLYN AV/EASTERN PY,KINGSTON AV/PACIFIC ST,THORNTON ST/THROOP AV,GRAHAM AV/JOHNSON AV,BOX ST/MANHATTAN AV,MANHATTAN AV/CALYER ST,BROOKLYN AV/UNION ST,TOMPKINS AV/PUTNAM AV,THROOP AV/GATES AV,BROOKLYN AV/ST JOHNS PL,MANHATTAN AV/MESEROLE AV,GRAHAM AV/AINSLIE ST,THROOP AV/JEFFERSON AV,MANHATTAN AV/FREEMAN ST,EMPIRE BL/NOSTRAND AV,MANHATTAN AV/NORMAN AV,GRAHAM AV/GRAND ST,THROOP AV/MADISON ST,KINGSTON AV/ATLANTIC AV,BROOKLYN AV/BERGEN ST,BROOKLYN AV/PARK PL,LINCOLN RD/FLATBUSH AV,THROOP AV/MYRTLE AV,TOMPKINS AV/LAFAYETTE AV,EMPIRE BL/LAMONT CT,GRAHAM AV/COOK ST,GRAHAM AV/MEEKER AV,GRAHAM AV/METROPOLITAN AV,EMPIRE BL/WASHINGTON AV,KINGSTON AV/UNION ST,TOMPKINS AV/GREENE AV,BROOKLYN AV/FULTON ST,GRAHAM AV/RICHARDSON ST,MANHATTAN AV/CLAY ST,MANHATTAN AV/EAGLE ST,KINGSTON AV/FULTON ST,GRAHAM AV/BROADWAY,KINGSTON AV/ST JOHNS PL,THROOP AV/MAC DONOUGH ST,DRIGGS AV/LEONARD ST,THROOP AV/PARK AV,GRAHAM AV/ENGERT AV,GRAHAM AV/BAYARD ST,TOMPKINS AV/FLUSHING AV,WASHINGTON AV/EMPIRE BL,EMPIRE BL/ROGERS AV,THROOP AV/DE KALB AV,THROOP AV/FULTON ST,BROOKLYN AV/ATLANTIC AV,GRAHAM AV/JACKSON ST,Jackie Gleason Depot (JG)
KINGSTON AV/CARROLL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,
THROOP AV/HART ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMPKINS AV/DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAHAM AV/SCHOLES ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,0.32 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPIRE BL/BROOKLYN AV,,,,,,,,,,,,,,0.448 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSTON AV/BERGEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPIRE BL/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351 LEFFERTS GARDENS PROSPECT PK STA,0.286 GREENPOINT BOX ST,,,,,
TOMPKINS AV/MYRTLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/DRIGGS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,
KINGSTON AV/PROSPECT PL,,,,,,,,,,,,,,,,,,,,0.198 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSTON AV/MONTGOMERY ST,,,,,,,,,,,,,,,0.198 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMPKINS AV/ELLERY ST,,,,,0.199 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/GREENPOINT AV,0.26 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMPKINS AV/WILLOUGHBY AV,,,,,,,,,,,,,,,,,0.245 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THROOP AV/HALSEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN AV/EASTERN PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.136 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSTON AV/PACIFIC ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THORNTON ST/THROOP AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,
GRAHAM AV/JOHNSON AV,,,,,,,,,,,,,0.238 LEFFERTS GARDENS PROSPECT PK STA,,,,,0.244 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOX ST/MANHATTAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,
MANHATTAN AV/CALYER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 GREENPOINT BOX ST,,,,,,,,,,,,,0.127 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
