,EASTCHESTER RD/WATERS PL,BOSTON RD/PROSPECT AV,3 AV/E 153 ST,LINCOLN AV/E 138 ST,3 AV/E 149 ST,3 AV/E 152 ST,BRONX STATE/BUS SHELTER,3 AV/E 142 ST,BOSTON RD/SEABURY PL,MORRIS PK AV/ADAMS ST,3 AV/E 163 ST,MORRIS PK AV/HONE AV,3 AV/E 158 ST,MORRIS PK AV/BRONXDALE AV,BOSTON RD/E TREMONT AV F/S,MORRIS PK AV/TAYLOR AV,MORRIS PK AV/BARNES AV,3 AV/E 140 ST,MORRIS PK AV/E 180 ST,EASTCHESTER RD/BASSETT AV,MORRIS PK AV/SEMINOLE AV,BOSTON RD/VYSE AV,3 AV/E 138 ST,BOSTON RD/E 173 ST,BOSTON RD/LOUIS NINE BL,MORRIS PK AV/EASTCHESTER RD,BOSTON RD/E TREMONT AV,MORRIS PK AV/MELVILLE ST,E TREMONT AV/BOSTON RD,BOSTON RD/CROTONA AV,3 AV/E 150 ST,MORRIS PK AV/VAN BUREN ST,E 136 ST/LINCOLN AV,WATERS PL/EASTCHESTER RD,E TREMONT AV/E 177 ST,MORRIS PK AV/WILLIAMSBRIDGE RD,WATERS PL/HUTCHINSON RVR PKWY,MORRIS PK AV/WHITE PLAINS RD,3 AV/E 144 ST,EASTCHESTER RD/IVES ST,BOSTON RD/HOME ST,E TREMONT AV/BRONX PARK AV,BOSTON RD/E 168 ST,BOSTON RD/E 165 ST,MORRIS PK AV/RADCLIFF AV,MORRIS PK AV/AMETHYST ST,MORRIS PK AV/E TREMONT AV,BOSTON RD/SOUTHERN BL,BOSTON RD/E 166 ST,3 AV/E 157 ST,E TREMONT AV/DEVOE AV,WESTCHESTER AV/LANE  AV,MORRIS PK AV/UNIONPORT RD,EASTCHESTER RD/SACKETT AV,WATERS PL/FINK AV,3 AV/E 156 ST,BOSTON RD/UNION AV,3 AV/E 154 ST,3 AV/E 148 ST,3 AV/WESTCHESTER AV,WESTCHESTER AV/BENSON ST,BOSTON RD/E 169 ST,E TREMONT AV/MORRIS PK AV,MORRIS PK AV/DELANCEY PL,West Farms Depot (WF)
MORRIS PK AV/SEMINOLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,1.751 WESTCHESTER SQ,,,,,,,,,,0.885 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/VYSE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,0.344 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,
3 AV/E 138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/E 173 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.36 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/LOUIS NINE BL,,0.614 MOTT HAVEN 136 ST,,,,,,,0.787 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS PK AV/EASTCHESTER RD,,,,,,,,,,,,,,,,,,,,,2.144 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.612 WESTCHESTER SQ,,,,,,,,,,,
BOSTON RD/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS PK AV/MELVILLE ST,,,,,,,,,,,,,,,,,,,0.303 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/BOSTON RD,,,,,,,,,,,,,,,0.006 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/CROTONA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556 MOTT HAVEN 136 ST,,,
3 AV/E 150 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 MOTT HAVEN 136 ST,,,,,,
MORRIS PK AV/VAN BUREN ST,,,,,,,,,,,,,,,,0.229 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 136 ST/LINCOLN AV,,,,0.171 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATERS PL/EASTCHESTER RD,,,,,,,0.513 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/E 177 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,
MORRIS PK AV/WILLIAMSBRIDGE RD,,,,,,,,,,,,0.941 MOTT HAVEN 136 ST,,,,,,,,,0.885 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATERS PL/HUTCHINSON RVR PKWY,,,,,,,1.384 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS PK AV/WHITE PLAINS RD,,,,,,,,,,,,,,,,,0.305 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,
3 AV/E 144 ST,,,,,0.715 WESTCHESTER SQ,,,0.147 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTCHESTER RD/IVES ST,,,,,,,,,,,,,,,,,,,,,,,,,,1.63 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/HOME ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/BRONX PARK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,
BOSTON RD/E 168 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369 MOTT HAVEN 136 ST,,,,,,,,,,,,,0.242 WESTCHESTER SQ,,,
BOSTON RD/E 165 ST,,,,,,,,,,,0.294 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 WESTCHESTER SQ,,,,,,,,,,,,,,,,
MORRIS PK AV/RADCLIFF AV,,,,,,,,,,,,0.238 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301 MOTT HAVEN 136 ST,
MORRIS PK AV/AMETHYST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS PK AV/E TREMONT AV,,,,,,,,,,0.232 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,0.344 WESTCHESTER SQ,,0.298 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/E 166 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 WESTCHESTER SQ,,,0.254 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,
3 AV/E 157 ST,,,,,,,,,,,,,0.087 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/DEVOE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.978 to depot of Bx21
WESTCHESTER AV/LANE  AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.114 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS PK AV/UNIONPORT RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTCHESTER RD/SACKETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.438 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATERS PL/FINK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49 WESTCHESTER SQ,,,,
3 AV/E 156 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 MOTT HAVEN 136 ST,,,,,,,
BOSTON RD/UNION AV,,0.284 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 148 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/WESTCHESTER AV,,,,,,0.182 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/BENSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103 MOTT HAVEN 136 ST,,,,,,,,,,,,,
BOSTON RD/E 169 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.687 MOTT HAVEN 136 ST,,,,,,,,,,,,,,0.094 WESTCHESTER SQ,,,,,,,,
E TREMONT AV/MORRIS PK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 MOTT HAVEN 136 ST,,,,,,,,,,,,,,
MORRIS PK AV/DELANCEY PL,,,,,,,,,,,,,,,,,0.207 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206 MOTT HAVEN 136 ST,,,,,,,,,,,,,,
