,E GUN HILL RD/FISH AV,E GUN HILL RD/BARNES AV,DREISER LOOP/CO-OP CITY BL,BAYCHESTER AV/DONIZETTI PL,BAINBRIDGE AV/E 206 ST,E GUN HILL RD/KINGSLAND AV,BAINBRIDGE AV/E 204 ST,BAINBRIDGE AV/E MOSHOLU PY N,E GUN HILL RD/DEWITT PL,E GUN HILL RD/LACONIA AV,E GUN HILL RD/DECATOUR AV,PAUL AV/BEDFORD PK BL,JEROME AV/E 196 ST,E GUN HILL RD/HERING AV,E KINGSBRIDGE RD/MORRIS AV,E GUN HILL RD/BURKE AV,BAY PZ BL/BARTOW AV,E GUN HILL RD/EASTCHESTER RD,BAYCHESTER AV/750 BAYCHESTER AV,PAUL AV/W MOSHOLU PY S,VALENTINE AV/E 192 ST,CO-OP CITY BL/BARTOW AV,BAINBRIDGE AV/E 210 ST,BAINBRIDGE AV/E GUN HILL RD,E KINGSBRIDGE RD/GRAND CONCOURSE,PAUL AV/W 205 ST,E GUN HILL RD/GIVAN AV,E GUN HILL RD/ARNOW AV,CO-OP CITY BL/CARVER LOOP  #1,BAY PLAZA BL/CO-OP CITY BL,E GUN HILL RD/HULL AV,BARTOW AV/GUNTHER AV,BAYCHESTER AV/ALDRICH ST,CO-OP CITY BL/BELLAMY LOOP S,E GUN HILL RD/WHITE PLAINS RD,BEDFORD PK/JEROME AV,BAINBRIDGE AV/RESERVOIR OVAL E,GRAND CONCOURSE/E MOSHOLU PY S,E GUN HILL RD/BRONXWOOD AV,CO-OP CITY BL/BELLAMY LOOP N,BARTOW AV/ELY AV,CO-OP CITY BL/CARVER LOOP #2,E GUN HILL RD/WEBSTER AV,E GUN HILL RD/PEARSALL AV,W MOSHOLU PKY S/JEROME AV,DREISER LOOP/DEFOE PLACE,BAINBRIDGE AV/VAN CORTLANDT AV E,CO-OP CITY BL/PEARTREE AV,BARTOW AV/EDSON AV,BAY PZ/BARTOW AV,E GUN HILL RD/PAULDING AV,E GUN HILL RD/TRYON AV,E GUN HILL RD/PUTNAM PL,JEROME AV/MORRIS AV,BARTOW AV/BRUNNER AV,E GUN HILL RD/YOUNG AV,DREISER LOOP/DEBS PL,BAY PLAZA BL/APPLEBEE'S,E GUN HILL RD/BOSTON RD,E MOSHOLU PY S/GRAND CONCOURSE,JEROME AV/W KINGSBRIDGE RD,E MOSHOLU PY S/JEROME AV,E GUN HILL RD/KNAPP ST,BAYCHESTER AV/DARROW PL,E GUN HILL RD/OLINVILLE AV,West Farms Depot (WF)
E KINGSBRIDGE RD/MORRIS AV,,,,,,,,,,,,,0.318 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/BURKE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,
BAY PZ BL/BARTOW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.437 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,
E GUN HILL RD/EASTCHESTER RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31 NORWOOD 205 ST STATION via GUNHILL,,,
BAYCHESTER AV/750 BAYCHESTER AV,,,0.986 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAUL AV/W MOSHOLU PY S,,,,,,,,,,,,,,,,,,,,,,,,,,0.541 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,0.208 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,
VALENTINE AV/E 192 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.561 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.294 to depot of Bx38
CO-OP CITY BL/BARTOW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.923 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,
BAINBRIDGE AV/E 210 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294 NORWOOD 205 ST STATION via GUNHILL,,,,,0.358 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,
BAINBRIDGE AV/E GUN HILL RD,,,,,,,,,,,,,,,,,,,,,,,0.189 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E KINGSBRIDGE RD/GRAND CONCOURSE,,,,,1.968 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,0.672 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAUL AV/W 205 ST,,,,,,,,,,,,0.27 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,0.541 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/GIVAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 NORWOOD 205 ST STATION via GUNHILL,,,,,,,
E GUN HILL RD/ARNOW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO-OP CITY BL/CARVER LOOP  #1,,,0.442 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY PLAZA BL/CO-OP CITY BL,,,,,,,,,,,,,,,,,,,,,,0.335 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/HULL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,0.321 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,
BARTOW AV/GUNTHER AV,,,,,,0.166 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,
BAYCHESTER AV/ALDRICH ST,,,,1.265 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.503 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,
CO-OP CITY BL/BELLAMY LOOP S,,,,,,,,,,,,,,,,,0.725 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/WHITE PLAINS RD,,0.43 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,0.5 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD PK/JEROME AV,,,,,,,,,,,,1.519 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.766 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,
BAINBRIDGE AV/RESERVOIR OVAL E,,,,,,,,,,,,,,,,,,,,,,,0.833 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E MOSHOLU PY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 NORWOOD 205 ST STATION via GUNHILL,,,,
E GUN HILL RD/BRONXWOOD AV,,0.142 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,
CO-OP CITY BL/BELLAMY LOOP N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,0.883 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,
BARTOW AV/ELY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,
CO-OP CITY BL/CARVER LOOP #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.903 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/WEBSTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306 CO-OP CITY BAY PLAZA via GUNHILL,
E GUN HILL RD/PEARSALL AV,,,,,,,,,,,,,,,,0.28 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W MOSHOLU PKY S/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.569 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,
DREISER LOOP/DEFOE PLACE,,,0.28 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 CO-OP CITY BAY PLAZA via GUNHILL,,,,,,,,,
BAINBRIDGE AV/VAN CORTLANDT AV E,,,,,0.209 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO-OP CITY BL/PEARTREE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 NORWOOD 205 ST STATION via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
