,HILLSIDE AV/193 ST,FRANCIS LEWIS BL/192 ST,HILLSIDE AV/171 ST,FRANCIS LEWIS BL/73 AV,HILLSIDE AV/187 ST,20 AV/WHITESTONE EXP,HILLSIDE AV/169 ST,FRANCIS LEWIS BL/17 RD,FRANCIS LEWIS BL/86 RD,FRANCIS LEWIS BL/LOCKE AV,HILLSIDE AV/189 ST,FRANCIS LEWIS BL/EPSOM COURSE,FRANCIS LEWIS BL/17 AV,HILLSIDE AV/202 ST,14 AV/PARSONS BL,FRANCIS LEWIS BL/168 ST,14 AV/147 ST,FRANCIS LEWIS BL/STATION RD,20 AV/BABIES R US,FRANCIS LEWIS BL/50 AV,FRANCIS LEWIS BL/45 RD,FRANCIS LEWIS BL/44 AV,FRANCIS LEWIS BL/HORACE HARDING EXP S,FRANCIS LEWIS BL/204 ST,FRANCIS LEWIS BL/32 AV,FRANCIS LEWIS BL/GRAND CENTRAL PY,HILLSIDE AV/175 ST,HILLSIDE AV/178 ST,CROSS ISLAND PY/150 ST,CROSS ISLAND PY/150 PL,FRANCIS LEWIS BL/HORACE HARDING EXP,CROSS ISLAND PY/154 ST,20 AV/OPP SHOPRITE,FRANCIS LEWIS BL/48 AV,FRANCIS LEWIS BL/172 ST,HILLSIDE AV/195 PL,14 AV/146 ST,HILLSIDE AV/182 PL,FRANCIS LEWIS BL/21 AV,FRANCIS LEWIS BL/45 AV,HILLSIDE AV/AVON ST,FRANCIS LEWIS BL/WHITEHALL TERR,PARSONS BL/17 AV,FRANCIS LEWIS BL/58 AV,20 AV/TARGET SUPERMARKET,HILLSIDE AV/179 ST SUBWAY,FRANCIS LEWIS BL/33 AV,CROSS ISLAND PKY/149 ST,FRANCIS LEWIS BL/UNION TP,FRANCIS LEWIS BL/170 ST,HILLSIDE AV/181 ST,FRANCIS LEWIS BL/163 ST,FRANCIS LEWIS BL/NORTHERN BL,HILLSIDE AV/EDGERTON BL,FRANCIS LEWIS BL/56 AV,FRANCIS LEWIS BL/16 AV,FRANCIS LEWIS BL/25 AV,HILLSIDE AV/168 PL,FRANCIS LEWIS BL/24 AV,165 ST TERM/165 ST TERM BAY 3,FRANCIS LEWIS BL/38 AV,FRANCIS LEWIS BL/194 ST,FRANCIS LEWIS BL/32 RD,132 ST/20 AV,FRANCIS LEWIS BL/WILLETS PT BL,FRANCIS LEWIS BL/169 ST,HILLSIDE AV/198 ST,165 ST/HILLSIDE AV,FRANCIS LEWIS BL/34 AV,20 AV/OPP TARGET,FRANCIS LEWIS BL/42 AV,FRANCIS LEWIS BL/47 AV,HILLSIDE AV/184 ST,FRANCIS LEWIS BL/53 AV,FRANCIS LEWIS BL/HILLSIDE AV,165 ST / 165 ST TERM,FRANCIS LEWIS BL/MCLAUGHLIN AV,PARSONS BL/17 RD,HILLSIDE AV/188 ST,20 AV/131 ST,FRANCIS LEWIS BL/18 AV,FRANCIS LEWIS BL/171 ST,PARSONS BL/20 AV,20 AV/WALDBAUMS,HILLSIDE AV/191 ST,FRANCIS LEWIS BL/43 AV,20 AV/POSTAL FACILITY,FRANCIS LEWIS BL/46 AV,131 ST/15 AV,FRANCIS LEWIS BL/HORACE HARDING EXP N,CROSS ISLAND PKY/CLINTONVILLE ST,132 ST /20 AV,PARSONS BL/14 AV,CROSS ISLAND PKY/150 ST,HILLSIDE AV/172 ST,FRANCIS LEWIS BL/35 AV,FRANCIS LEWIS BL/160 ST,HILLSIDE AV/199 ST,FRANCIS LEWIS BL/28 AV,College Point Depot (CP)
FRANCIS LEWIS BL/EPSOM COURSE,,,,,,,,,,,,,,,,,,,,,,,,0.27 JAMAICA 165 ST TERM via FRANCIS LEWIS,,0.12 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/17 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.377 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/202 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,0.259 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 AV/PARSONS BL,,,,,,,,,,,,,,,,,0.268 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/168 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 AV/147 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,0.227 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/STATION RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.527 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,0.889 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 AV/BABIES R US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/50 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/45 RD,,,,,,,,,,,,,,,,,,,,,,0.157 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/44 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,
FRANCIS LEWIS BL/HORACE HARDING EXP S,,,,0.754 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/204 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/32 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/GRAND CENTRAL PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.834 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/178 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS ISLAND PY/150 ST,,,,,,,,,,,,,,,,,15.007 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS ISLAND PY/150 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.452 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/HORACE HARDING EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,0.321 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS ISLAND PY/154 ST,,,,,,,,,,3.094 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 AV/OPP SHOPRITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/48 AV,,,,,,,,,,,,,,,,,,,,0.194 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/172 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595 COLLEGE PT 20 AV via FRANCIS LEWIS,
HILLSIDE AV/195 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365 COLLEGE PT 20 AV via FRANCIS LEWIS,,
14 AV/146 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,
HILLSIDE AV/182 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/21 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.444 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/45 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,
HILLSIDE AV/AVON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/WHITEHALL TERR,,,,,,,,,0.26 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARSONS BL/17 AV,,,,,,,,,,,,,,,0.311 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/58 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,
20 AV/TARGET SUPERMARKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,
HILLSIDE AV/179 ST SUBWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/33 AV,,0.113 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.664 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS ISLAND PKY/149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.397 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,
FRANCIS LEWIS BL/UNION TP,,,,0.599 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.842 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/170 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,
HILLSIDE AV/181 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/163 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.422 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,0.351 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/NORTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/EDGERTON BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,
FRANCIS LEWIS BL/56 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/16 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.618 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,
FRANCIS LEWIS BL/25 AV,,,,,,,,,,,,,,,,0.16 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/168 PL,,,1.282 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/24 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.399 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,0.214 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165 ST TERM/165 ST TERM BAY 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/38 AV,,,,,,,,,,,,,,,,,,1.054 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.144 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,
FRANCIS LEWIS BL/194 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/32 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132 ST/20 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/WILLETS PT BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 COLLEGE PT 20 AV via FRANCIS LEWIS,,,
FRANCIS LEWIS BL/169 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135 JAMAICA 165 ST TERM via FRANCIS LEWIS,,,,,,,0.458 COLLEGE PT 20 AV via FRANCIS LEWIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
