,MYRTLE AV/115 ST,MYRTLE AV/73 PL,MYRTLE AV/66 ST,MYRTLE AV/ONDERDONK AV,MYRTLE AV/FREEDOM DR,MYRTLE AV/68 ST,MYRTLE AV/70 ST,MYRTLE AV/79 PL,MYRTLE AV/82 AV,MYRTLE AV/81 AV,MYRTLE AV/HILLSIDE AV,PALMETTO ST/MYRTLE AV,MYRTLE AV/60 LA,MYRTLE AV/72 ST,MYRTLE AV/66 PL,117 ST/JAMAICA AV,MYRTLE AV/SENECA AV,MYRTLE AV/85 ST,MYRTLE AV/71 PL,MYRTLE AV/111 ST,MYRTLE AV/FRESH POND RD,MYRTLE AV/MADISON ST,MYRTLE AV/108 ST,MYRTLE AV/73 ST,MYRTLE AV/81 ST,MYRTLE AV/67 PL,MYRTLE AV/ST NICHOLAS AV,MYRTLE AV/67 ST,MYRTLE AV/CYPRESS HILLS ST,MYRTLE AV/69 ST,MYRTLE AV/114 ST,MYRTLE AV/PALMETTO AV,MYRTLE AV/88 ST,MYRTLE AV/79 ST,MYRTLE AV/64 ST,MYRTLE AV/WOODHAVEN BL,PALMETTO ST/WYCKOFF AV,MYRTLE AV/PARK LA S,MYRTLE AV/CYPRESS AV,MYRTLE AV/CENTRE ST,MYRTLE AV/CORNELIA ST,MYRTLE AV/FOREST AV,MYRTLE AV/76 ST,MYRTLE AV/62 ST,MYRTLE AV/65 PL,MYRTLE AV/74 ST,MYRTLE AV/60 ST,MYRTLE AV/88 LA,MYRTLE AV/WOODHAVEN BL F,MYRTLE AV/WOODHAVEN BL N,MYRTLE AV/83 ST,MYRTLE AV/SUMMERFIELD ST,MYRTLE AV/85 AV,College Point Depot (CP)
MYRTLE AV/73 ST,,,,,,,,,,,,,,,,,,,0.235 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/81 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,0.136 RICHMOND HILL JAMAICA AV via MYRTLE,,,
MYRTLE AV/67 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/ST NICHOLAS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/67 ST,,,0.158 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/CYPRESS HILLS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,0.17 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,
MYRTLE AV/69 ST,,,,,,0.12 RIDGEWOOD TERM via MYRTLE,0.155 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/114 ST,0.091 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31 RIDGEWOOD TERM via MYRTLE,
MYRTLE AV/PALMETTO AV,,,,,,,,,,,,0.09 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/88 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,
MYRTLE AV/79 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,
MYRTLE AV/64 ST,,,,,,,,,,,,,,,,,,,,,0.189 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/WOODHAVEN BL,,,,,,,,,0.273 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,
PALMETTO ST/WYCKOFF AV,,,,,,,,,,,,,,,,,,,,,,0.24 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/PARK LA S,,,,,0.756 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/CYPRESS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/CENTRE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,
MYRTLE AV/CORNELIA ST,,,,,,,,,,,,,,,,,0.167 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/FOREST AV,,,,0.098 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 RICHMOND HILL JAMAICA AV via MYRTLE,,
MYRTLE AV/76 ST,,,,,,,,0.233 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 RIDGEWOOD TERM via MYRTLE,,,,,,,,
MYRTLE AV/62 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/65 PL,,,,,,,,,,,,,,,0.126 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/74 ST,,,,,,,,,,,,,,,,,,,,,,,,0.164 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/60 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,
MYRTLE AV/88 LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091 RICHMOND HILL JAMAICA AV via MYRTLE,,,,
MYRTLE AV/WOODHAVEN BL F,,,,,0.377 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/WOODHAVEN BL N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,
MYRTLE AV/83 ST,,,,,,,,,,,,,,,,,,0.157 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,0.136 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/SUMMERFIELD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,
MYRTLE AV/85 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,,,,,,,,9.653 RICHMOND HILL JAMAICA AV via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
