,BAYCHESTER AV/N.E. THRUWAY EXIT,BRUCKNER BL/HAVEMEYER AV,BRUCKNER BL/MIDDLETOWN RD,STORY AV/SOUNDVIEW AV,PARKING RAMP/ACCESS RD,BRUCKNER BL/BUHRE AV,BRUCKNER BL/LOGAN AV,STORY AV/BOYNTON AV,WHITE PLAINS RD/STORY AV,"BRUCKNER BL/ST JOSEPH""S WAY",TURNBULL AV/ PUGSLEY AV,STORY AV/NOBLE AV,STORY AV/BRONX RIVER AV,BAY PLAZA BL/CO-OP CITY BL,CASTLE HILL AV/HERMANY AV,CASTLE HILL AV/TURNBULL AV,BRUCKNER BL/GIFFORD AV,STORY AV/METCALF AV,LAFAYETTE AV/OLMSTEAD AV,SOUTHERN BL/WESTCHESTER AV,BRUCKNER BL/KEARNEY AV,STORY AV/THIERIOT AV,CASTLE HILL AV/QUIMBY AV,SOUTHERN BL/ALDUS ST,MACDONOUGH PL/COUNTRY CLUB RD,BRUCKNER BL/WILKINSON AV,BRUCKNER BL/CASTLE HILL AV,CASTLE HILL AV/BRUCKNER BL,HUNTS POINT AV/SOUTHERN BL,BRONX RIVER AV/BRUCKNER BL,WESTCHESTER AV/BRUCKNER BL,BRUCKNER BL/ROBERTS AV,BRUCKNER BL/CODDINGTON AV,BRUCKNER BL/BAISLEY AV,STORY AV/ROSEDALE AV,EDSON AV/BARTOW AV,STORY AV/FTELEY AV,BRUCKNER BL/E TREMONT AV,STORY AV/COLGATE AV,BRUCKNER BL/ZEREGA AV,BRUCKNER BL/CROSBY AV,BRUCKNER BL/HUNTINGTON AV,BRUCKNER BL/JARVIS AV,STORY AV/MORRISON AV,E 163 ST/SOUTHERN BL,WHITE PLAINS RD/LAFAYETTE AV,STORY AV/ELDER AV,LAFAYETTE AV/WHITE PLAINS RD,LAFAYETTE AV/PUGSLEY AV,STORY AV/UNDERHILL AV,CHARLES CRIMI RD/SUBWAY OVERPASS,STORY AV/BOLTON AV,BRUCKNER BL/WILLOW LA,STORY AV/TAYLOR AV,STORY AV/EVERGREEN AV,West Farms Depot (WF)
LAFAYETTE AV/OLMSTEAD AV,,,,,,,,,,,0.341 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,0.357 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,0.142 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.275 to depot of Bx5
BRUCKNER BL/KEARNEY AV,,,,,,,,,,,,,,,,,,,,,,,,,0.376 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STORY AV/THIERIOT AV,,,,,,,,,0.324 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLE HILL AV/QUIMBY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/ALDUS ST,,,,,,,,,,,,,,,,,,,,0.523 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,0.804 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACDONOUGH PL/COUNTRY CLUB RD,,,3.647 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUCKNER BL/WILKINSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 BAY PLAZA via STORY AV via BRUCKNER BL,,0.78 WEST FARMS RD SOUTHRN BL via BRCKNR,,,
BRUCKNER BL/CASTLE HILL AV,,0.056 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLE HILL AV/BRUCKNER BL,,,,,,,,,,,,,,,0.277 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
