,VICTORY BL/3485 VICTORY BL,VICTORY BL/SILVER MT CEM,VICTORY BL/PERRY AV,VICTORY BL/ALBERT ST,VICTORY BL/CRYSTAL AV,VICTORY BL/MANOR RD,VICTORY BL/FELDMEYERS LA,VICTORY BL/VAN DUZER ST,BAY ST/CENTRAL AV,VICTORY BL/AUSTIN PL,VICTORY BL/LITTLE CLOVE RD,VICTORY BL/SHENANDOAH AV,VICTORY BL/GLEN ST,COLLEGE OF SI/ROADWAY ENT,VICTORY BL/JEWETT AV,VICTORY BL/WILLOWBROOK RD,VICTORY BL/WILD AV,BAY ST/BOROUGH PL,VICTORY BL/CHESHIRE PL,VICTORY BL/DINSMORE ST,VICTORY BL/BRYSON AV,VICTORY BL/THERESA PL,VICTORY BL/BROOK ST,VICTORY BL/RENWICK AV,VICTORY BL / BAY ST,VICTORY BL/MELROSE AV,VICTORY BL/INGRAM AV,BAY ST/NICK LAPORTE PL,VICTORY BL/HIGHLAND AV,VICTORY BL/WILLOW RD,VICTORY BL/MONTGOMERY AV,VICTORY BL/RICHMOND AV,VICTORY BL/CLOVE RD,VICTORY BL/LABAU AV,VICTORY BL/WESTCOTT BL,VICTORY BL/BURKE AV,VICTORY BL/MOUNTAINVIEW AV,VICTORY BL/MARTIN AV,VICTORY BL/CEBRA AV,VICTORY BL/CANNON AV,VICTORY BL/TODT HILL RD,VICTORY BL/WILLOWBROOK PK,VICTORY BL/OCONNOR AV,VICTORY BL/SHERADEN AV,VICTORY BL/SIGNS RD,VICTORY BL/SIMMONS LA,VICTORY BL/SILVER LAKE APTS,BAY ST/SLOSSON TE,VICTORY BL/LESTER ST,VICTORY BL/LEROY ST,VICTORY BL/HODGES PL,VICTORY BL/3599 VICTORY BL,VICTORY BL/DECATUR AV,VICTORY BL/JERSEY ST,VICTORY BL/GOLLER PL,VICTORY BL/FOREST AV,VICTORY BL/ BROOK ST,VICTORY BL/BARON BL,VICTORY BL/ARLENE ST,VICTORY BL/CYPRESS AV,VICTORY BL/WOODSTOCK AV,VICTORY BL/MANN AV,VICTORY BL/CON EDISON,VICTORY BL/OPP CON EDISON,ST GEORGE FERRY/ST GEORGE FERRY,VICTORY BL/S GREENLEAF AV,VICTORY BL/ALBERTA AV,VICTORY BL/SLOSSON AV,VICTORY BL/ONTARIO AV,VICTORY BL/FIELDMEYERS LA,VICTORY BL/GRAND AV,VICTORY BL/TRAVIS AV,VICTORY BL/NEPTUNE PL,VICTORY BL/LIVERMORE AV,VICTORY BL/SPARKS LA,VICTORY BL/EDDY ST,VICTORY BL/RIDGEWAY AV,VICTORY BL/MORANI ST,VICTORY BL/N GANNON AV,VICTORY BL/LISA PL,VICTORY BL/TRAVIS AV 2,VICTORY BL/GOLF COURSE ENT,VICTORY BL/GRAHAM AV,ST GEORGE FERRY/S62 & S92,Yukon Depot (YU)
VICTORY BL/TODT HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,
VICTORY BL/WILLOWBROOK PK,,,,,,,,,,,,,,1.945 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322 TRAVIS via VICTORY,,,,,,,
VICTORY BL/OCONNOR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 TRAVIS via VICTORY,,,,,,,,,,,
VICTORY BL/SHERADEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/SIGNS RD,0.176 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,0.283 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/SIMMONS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 ST GEORGE FERRY via VICTORY,,,,,,,,
VICTORY BL/SILVER LAKE APTS,,0.349 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,0.227 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/SLOSSON TE,,,,,,,,,,,,,,,,,,0.124 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/LESTER ST,,,,,,0.192 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/LEROY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/HODGES PL,,,,,,0.236 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/3599 VICTORY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 TRAVIS via VICTORY,,,,,,,,,,,,,
VICTORY BL/DECATUR AV,,,,,0.169 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/JERSEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,0.331 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/GOLLER PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.411 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.036 ST GEORGE FERRY via VICTORY,,,,,,,
VICTORY BL/FOREST AV,,,,,,,,,,0.3 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446 TRAVIS via VICTORY,,,,,,,,,
VICTORY BL/ BROOK ST,,,,,,,,0.253 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/BARON BL,,,,,,,,,,,,0.177 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/ARLENE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.626 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354 TRAVIS via VICTORY,,
VICTORY BL/CYPRESS AV,,,,0.228 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/WOODSTOCK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/MANN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/CON EDISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 TRAVIS via VICTORY,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/OPP CON EDISON,,,,,,,,,,,,,,,,,1.102 ST GEORGE FERRY via VICTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
