,BEDFORD PK BL/BRIGGS AV,ALLERTON AV/BOSTON RD,ALLERTON AV/MATTHEWS AV,ALLERTON AV/WILLIAMSBRIDGE RD,ALLERTON AV/WHITE PLAINS RD,BARTOW AV/ELY AV,BEDFORD PK BL/BAINBRIDGE AV,LODOVICK AV/ALLERTON AV,ALLERTON AV/WOODHULL AV,ALLERTON AV/HERING AV,ALLERTON AV/WESTERVELT AV,BEDFORD PK BL/GRAND CONCOURSE,HUNTER AV/EARHART LA,ALLERTON AV/HOLLAND AV,KAZIMIROFF BL/BOTANICAL GARDENS,ALLERTON AV/HONE AV,ASCH LOOP/CO-OP CITY BL,ALLERTON AV/MORGAN AV,ALLERTON AV/LACONIA AV,BARTOW AV/EDSON AV,BEDFORD PK/PAUL AV,PAUL AV/BEDFORD PK BL,BARTOW AV/CO-OP CITY BL,HUTCHINSON RVR PKY/EINSTEIN LOOP N,ALLERTON AV/PEARSALL AV,EARHART LA/ERSKINE PL,BARTOW AV/BRUNNER AV,ALLERTON AV/WILSON AV,BEDFORD PK BL/MARION AV,ASCH LOOP/BARTOW AV,HUTCHINSON RVR PY E/EINSTEIN LOOP N,BARTOW AV/GUNTHER AV,ALLERTON AV/BRONXWOOD AV,ALLERTON AV/LODOVICK AV,BEDFORD PK/JEROME AV,W 205 ST/PAUL AV,HUTCHINSON RVR PKY/EINSTEIN LOOP S,ASCH LOOP/ALCOTT PL,GUNTHER AV/BARTOW AV,ALLERTON AV/FISH AV,ALLERTON AV/BARKER AV,BARTOW AV/REAR OF PATHMARK,BEDFORD PK BL/WEBSTER AV,ALLERTON AV/EASTCHESTER RD,HUNTER AV/BOLLER AV,ALLERTON AV/BARNES AV,ERSKINE PL/EARHART LA,ALLERTON AV/BRONX PK E,HUTCHINSON RVR PY E/EINSTEIN LOOP S,HUTCHINSON RVR PY E/BOLLER AV,KAZIMIROFF/BOTANICAL GARDENS E,GOULDEN AV/BEDFORD PK BL,West Farms Depot (WF)
ALLERTON AV/LACONIA AV,,,,,,,,,,0.186 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,0.167 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARTOW AV/EDSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,1.557 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,0.26 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD PK/PAUL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 BEDFORD PK LEHMAN COLL via ALLERTON AV,
PAUL AV/BEDFORD PK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.519 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,
BARTOW AV/CO-OP CITY BL,,,,,,,,,,,,,,,,,3.087 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,0.204 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,
HUTCHINSON RVR PKY/EINSTEIN LOOP N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,
ALLERTON AV/PEARSALL AV,,,,,,,,,,0.166 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,0.247 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,
EARHART LA/ERSKINE PL,,,,,,,,,,,,,0.246 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARTOW AV/BRUNNER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,
ALLERTON AV/WILSON AV,,,,,,,,,,,,,,,,,,,,,,,,,0.248 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,0.175 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,
BEDFORD PK BL/MARION AV,0.255 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,
ASCH LOOP/BARTOW AV,,,,,,,,,,,,,,,,,,,,0.256 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,0.267 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,
HUTCHINSON RVR PY E/EINSTEIN LOOP N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.772 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,
BARTOW AV/GUNTHER AV,,,,,,0.238 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERTON AV/BRONXWOOD AV,,,,0.161 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERTON AV/LODOVICK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,
BEDFORD PK/JEROME AV,,,,,,,,,,,,1.744 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,1.523 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 205 ST/PAUL AV,,,,,,,,,,,,,,,,,,,,,,0.309 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUTCHINSON RVR PKY/EINSTEIN LOOP S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,
ASCH LOOP/ALCOTT PL,,,,,,,,,,,,,,,,,0.385 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,0.267 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,
GUNTHER AV/BARTOW AV,,,,,,,,0.449 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERTON AV/FISH AV,,,,,,,,,,,,,,,,,,0.171 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,0.161 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERTON AV/BARKER AV,,,,,,,,,,,,,,,1.249 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARTOW AV/REAR OF PATHMARK,,,,,,,,,,,,,,,,,,,,,,,2.831 BEDFORD PK LEHMAN COLL via ALLERTON AV,0.614 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD PK BL/WEBSTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,0.309 CO-OP CITY EARHART LANE via ALLERTON AV,,
ALLERTON AV/EASTCHESTER RD,,,,,,,,,0.15 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,0.173 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER AV/BOLLER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,
ALLERTON AV/BARNES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,
ERSKINE PL/EARHART LA,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERTON AV/BRONX PK E,,,,,0.263 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUTCHINSON RVR PY E/EINSTEIN LOOP S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,
HUTCHINSON RVR PY E/BOLLER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.765 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,
KAZIMIROFF/BOTANICAL GARDENS E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.173 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,
GOULDEN AV/BEDFORD PK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.571 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,
West Farms Depot (WF),,4.664 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
