,GREENPOINT AV/LEONARD ST,METROPOLITAN AV/UNION AV,QUEENS MIDTOWN EXP/48 ST,GREENPOINT AV/MANHATTAN AV,GREENPOINT AV/44 ST,GREENPOINT AV/FRANKLIN ST,KINGSLAND AV/MASPETH AV,48 ST/BKLYN-QUEENS EXPWY,GREENPOINT AV/38TH ST,MEEKER AV/HAUSMAN ST,GREENPOINT AV/GALE AV,GREENPOINT AV/JEWEL ST,KINGSLAND AV/LOMBARDY ST,GREENPOINT AV/N HENRY ST,GREENPOINT AV/MC GUINESS BL,RODNEY ST/GRAND ST,GREENPOINT AV/42 ST,GREENPOINT AV/BRADLEY AV,48 ST/50 AV,METROPOLITAN AV/GRAHAM AV,GREENPOINT AV/39 PL,WOODPOINT RD\CONSELYEA ST,GREENPOINT AV/46 ST,GREENPOINT AV/47 ST,GREENPOINT AV/STARR AV,CHERRY ST/VANDERVOORT AV,BROADWAY/MARCY AV,WEST ST/KENT ST,GREENPOINT AV/43 ST,GREENPOINT AV/KINGSLAND AV,GREENPOINT AV/REVIEW AV,GREENPOINT AV/48 AV,MEEKER AV/MORGAN AV,GREENPOINT AV/BORDEN AV,48 ST/47 ST,47 AV/48 ST,RODNEY ST/S 3 ST,GREENPOINT AV/39TH ST,48 ST/48 AV,GREENPOINT AV/HUNTERS PT AV,GREENPOINT AV/HUMBOLDT ST,GREENPOINT AV/PROVOST ST,MARCY AV/S 2 ST,VAN DAM ST/REVIEW AV,KINGSLAND AV/RICHARDSON ST,MEEKER AV/KINGSLAND AV,RODNEY ST/S 5 ST,GREENPOINT AV/40TH ST,BKLYN-QUEENS EXPWY/48TH ST,WASHINGTON PL/LANE 6,47 ST/GREENPOINT AV,48 ST/47 AV,RODNEY ST/AINSLIE ST,METROPOLITAN AV/MACRI SQ,BKLYN-QUEENS EXPWY/45TH ST,KINGSLAND AV/SKILLMAN AV,KINGSLAND AV/HERBERT ST,METROPOLITAN AV/LEONARD ST,MARCY AV/METROPOLITAN AV,KINGSLAND AV/WITHERS ST,METROPOLITAN AV/LORIMER ST,Jackie Gleason Depot (JG)
METROPOLITAN AV/GRAHAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.827 GREENPOINT WEST ST,,0.309 WILLIAMSBURG BRIDGE PLZ,,,,
GREENPOINT AV/39 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODPOINT RD\CONSELYEA ST,,,,,,,,,,,,,,,,,,,,0.246 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/46 ST,,,,,,,,,,,,,,,,,,,,,,,,0.094 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,
GREENPOINT AV/STARR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,
CHERRY ST/VANDERVOORT AV,,,2.05 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/MARCY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 GREENPOINT WEST ST,,,0.174 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,
WEST ST/KENT ST,,,,,,0.232 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/43 ST,,,,,,,,,,,,,,,,,,,,,,,0.297 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/KINGSLAND AV,,,,,,,,,,,,,,0.168 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/REVIEW AV,,,,,,,,,,,,,,,,,,0.305 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/48 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEEKER AV/MORGAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.734 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/BORDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,
48 ST/47 ST,,,,,,,,3.284 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47 AV/48 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 GREENPOINT WEST ST,,,,,,,,,,,
RODNEY ST/S 3 ST,,,,,,,,,,,,,,,,0.225 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/39TH ST,,,,,,,,,0.094 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 ST/48 AV,,,,,,,,,,,,,,,,,,,0.208 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,0.243 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,
