,CLAY AV/E 171 ST,E 170 ST/MORRIS AV,E 170 ST/CLAY AV,JENNINGS ST/LONGFELLOW AV,CLAREMONT PKY/BOSTON RD,JENNINGS ST/HOE AV,E 172 ST/LONGFELLOW AV,CLAREMONT PKY/3 AV,EDWARD L GRANT HY/UNIVERSITY AV,W FARMS RD/BRYANT AV,OGDEN AV/UNIVERSITY AV,E 170 ST/GRAND CONCOURSE,E 170 ST/WALTON AV,W 170 ST/SHAKESPEARE AV,W 181 ST/AMSTERDAM AV,OGDEN AV/W 171 ST,W 170 ST/JEROME AV,CLAREMONT PKY/WEBSTER AV,OGDEN AV/W 168 ST,WADSWORTH AV/W 181 ST,E 172 ST/VYSE AV,W FARMS RD/BOONE AV,WEST FARMS RD/HOE AV,E 170 ST/JEROME AV,PLIMPTON AV/W 170 ST,W 181 ST/ST NICHOLAS AV,W FARMS RD/WESTCHESTER AV,W 169 ST/OGDEN AV,E 172 ST/SOUTHERN BL,LOUIS NINE BL/E 170 ST,W 170 ST/EDWARD L. GRANT HY,JENNINGS ST/SOUTHERN BL,PLIMPTON AV/EDWARD L. GRANT HY,LOUIS NINE BL/BOSTON RD,BROADWAY/W 178 ST,W 168 ST/WOODYCREST AV,WOODYCREST AV/W 168 ST,W FARMS RD/LONGFELLOW AV,CLAREMONT PKY/WASHINGTON AV,W FARMS RD/E 167 ST,CLAREMONT PKY/CROTONA PARK E,SHAKESPEARE AV/W 169 ST,OGDEN AV/W 169 ST,CLAREMONT PKY/CROTONA AV,E 170 ST/COLLEGE AV,WEST FARMS RD/VYSE AV,E 170 ST/FINDLAY AV,E 170 ST/TELLER AV,W 168 ST/NELSON AV,E 170 ST/SHERIDAN AV,W 181 ST/WADSWORTH AV,W 170 ST/EDWARD L GRANT HY,W 179 ST/BROADWAY,West Farms Depot (WF)
WEST FARMS RD/HOE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 170 ST/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,
PLIMPTON AV/W 170 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,
W 181 ST/ST NICHOLAS AV,,,,,,,,,,,,,,,0.486 WEST FARMS RD SOUTHERN BL,,,,,0.229 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W FARMS RD/WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,
W 169 ST/OGDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,0.175 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 172 ST/SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.783 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,7.359 to depot of Bx11
LOUIS NINE BL/E 170 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323 WEST FARMS RD SOUTHERN BL,,0.288 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,
W 170 ST/EDWARD L. GRANT HY,,,,,,,,,,,,,,0.109 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JENNINGS ST/SOUTHERN BL,,,,,,0.135 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLIMPTON AV/EDWARD L. GRANT HY,,,,,,,,,0.45 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOUIS NINE BL/BOSTON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,
BROADWAY/W 178 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 WEST FARMS RD SOUTHERN BL,,,
W 168 ST/WOODYCREST AV,,,,,,,,,,,,,,,,,,,0.212 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODYCREST AV/W 168 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,
W FARMS RD/LONGFELLOW AV,,,,,,,0.46 WASHINGTON HEIGHTS G W BRIDGE,,,0.136 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAREMONT PKY/WASHINGTON AV,,,,,,,,0.141 WEST FARMS RD SOUTHERN BL,,,,,,,,,,0.248 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W FARMS RD/E 167 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,
CLAREMONT PKY/CROTONA PARK E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,
SHAKESPEARE AV/W 169 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,0.237 WEST FARMS RD SOUTHERN BL,,
OGDEN AV/W 169 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309 WEST FARMS RD SOUTHERN BL,,,,,
CLAREMONT PKY/CROTONA AV,,,,,0.385 WEST FARMS RD SOUTHERN BL,,,0.379 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 170 ST/COLLEGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 WASHINGTON HEIGHTS G W BRIDGE,,,,
WEST FARMS RD/VYSE AV,,,,,,,,,,,,,,,,,,,,,,,0.16 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 170 ST/FINDLAY AV,,,0.146 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 170 ST/TELLER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,
W 168 ST/NELSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,
E 170 ST/SHERIDAN AV,,,,,,,,,,,,1.109 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 181 ST/WADSWORTH AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.388 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 170 ST/EDWARD L GRANT HY,,,,,,,,,,,,,,,,,0.322 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 179 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.362 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.517 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,
