,5 AV/26 ST,ATLANTIC AV/BOND ST,5 AV/56 ST,5 AV/3 ST,5 AV/83 ST,5 AV/12 ST,ATLANTIC AV/4 AV,5 AV/47 ST,ATLANTIC AV/SMITH ST,5 AV/BAY RIDGE PY,BROOKLYN BRIDGE PK RD/JORALEMON ST,5 AV/92 ST,ATLANTIC AV/HICKS ST,5 AV/GARFIELD PL,ATLANTIC AV/NEVINS ST,5 AV/54 ST,5 AV/SENATOR ST,ATLANTIC AV/HOYT ST,5 AV/7 ST,5 AV/57 ST,5 AV/44 ST,5 AV/48 ST,5 AV/77 ST,5 AV/72 ST,SHORE RD/3 AV,ATLANTIC AV/3 AV,5 AV/18 ST,5 AV/33 ST,5 AV/14 ST,ATLANTIC AV/HENRY ST,5 AV/11 ST,5 AV/53 ST,4 AV/94 ST,5 AV/WARREN ST,5 AV/36 ST,4 AV/97 ST,5 AV/66 ST,5 AV/DOUGLASS ST,5 AV/5 ST,5 AV/PROSPECT AV,5 AV/21 ST,5 AV/41 ST,5 AV/86 ST,5 AV/60 ST,5 AV/89 ST,5 AV/81 ST,5 AV/34 ST,5 AV/DEAN ST,ATLANTIC AV/COURT ST,4 AV/100 ST,5 AV/ST JOHNS PL,5 AV/30 ST,5 AV/95 ST,ATLANTIC AV/CLINTON ST,5 AV/52 ST,5 AV/UNION ST,5 AV/42 ST,ATLANTIC AV/BOERUM PL,5 AV/9 ST,5 AV/BERGEN ST,5 AV/24 ST,5 AV/BAY RIDGE AV,5 AV/39 ST,5 AV/45 ST,5 AV/50 ST,BROOKLYN BRIDGE PARK RD/JORALEMON ST,5 AV/63 ST,5 AV/58 ST,3 AV/99 ST,3 AV/SHORE RD,5 AV/78 ST,4 AV/MARINE AV,5 AV/15 ST,5 AV/80 ST,5 AV/84 ST,5 AV/PROSPECT PL,Jackie Gleason Depot (JG)
5 AV/SENATOR ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.626 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.16 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,
ATLANTIC AV/HOYT ST,,0.206 BAY RIDGE SHORE RD via 5 AV,,,,,,,0.207 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/7 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.058 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,0.118 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,
5 AV/57 ST,,,,,,,,,,,,,,,,21.061 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/44 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.541 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/48 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,
5 AV/77 ST,,,,,,,,,,0.11 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/72 ST,,,,,,,,,,0.287 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,
SHORE RD/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/3 AV,,,,,,,0.18 BAY RIDGE SHORE RD via 5 AV,,,,,,,,0.184 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/18 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 PIER 6 BKLYN BRIDGE PARK via 5 AV,0.239 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/33 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.873 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.909 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/HENRY ST,,,,,,,,,,,,,0.124 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,
5 AV/11 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.193 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,
5 AV/53 ST,,,20.806 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 AV/94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/WARREN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/36 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,11.419 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,5.73 to depot of B63
4 AV/97 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.524 BAY RIDGE SHORE RD via 5 AV,,,,,,,,
5 AV/66 ST,,,,,,,,,,,,,,,,,21.527 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.514 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,
5 AV/DOUGLASS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.156 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,
5 AV/5 ST,,,,2.799 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,16.767 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/PROSPECT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 BAY RIDGE SHORE RD via 5 AV,,0.284 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/21 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.993 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,
5 AV/41 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.791 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,
5 AV/86 ST,,,,,27.088 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/60 ST,,,,,,,,,,,,,,,,,,,,0.307 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,
5 AV/89 ST,,,,,,,,,,,,0.213 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/81 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 BAY RIDGE SHORE RD via 5 AV,,
5 AV/34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/DEAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/COURT ST,,,,,,,,,0.292 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,
4 AV/100 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,
5 AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005 PIER 6 BKLYN BRIDGE PARK via 5 AV,
5 AV/30 ST,0.354 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,15.926 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/95 ST,,,,,,,,,,,,26.173 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/CLINTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,0.181 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/52 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.891 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,
5 AV/UNION ST,,,,,,,,,,,,,,8.086 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.305 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/42 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,
ATLANTIC AV/BOERUM PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/9 ST,,,,,,0.311 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,0.118 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/BERGEN ST,,,,,,,0.556 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/24 ST,10.599 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.006 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/BAY RIDGE AV,,,,,,,,,,,,,,,,,0.16 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,0.205 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/39 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.336 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,12.326 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,
5 AV/45 ST,,,,,,,,,,,,,,,,,,,,,,0.272 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/50 ST,,,,,,,,0.238 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,18.531 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN BRIDGE PARK RD/JORALEMON ST,,,,,,,,,,,,,0.364 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/63 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.633 BAY RIDGE SHORE RD via 5 AV,,,,,,,0.175 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/58 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/99 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 BAY RIDGE SHORE RD via 5 AV,,,,,,,
3 AV/SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,0.022 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/78 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 AV/MARINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.064 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/15 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/80 ST,,,,,,,,,,,,,,,,,,,,,,,0.259 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/84 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/PROSPECT PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
