,DEAN ST/UTICA AV,BERGEN ST/GRAND AV,DEAN ST/4 AV,ATLANTIC AV/HOYT ST,DEAN ST/CLASSON AV,BERGEN ST/FLATBUSH AV,BERGEN ST/KINGSTON AV,BUFFALO AV/ST JOHNS PL,DEAN ST/VANDERBILT AV,BERGEN ST/UTICA AV,DEAN ST/FRANKLIN AV,DEAN ST/NEW YORK AV,SMITH ST/FULTON ST,BERGEN ST/WASHINGTON AV,ROCHESTER AV/BERGEN ST,RALPH AV/STERLING PL,ST MARKS AV/RALPH AV,BUFFALO AV/ST MARKS AV,DEAN ST/TROY AV,ST MARKS AV/BUFFALO AV,DEAN ST/ROCHESTER AV,DEAN ST/5 AV,BERGEN ST/VANDERBILT AV,DEAN ST/BROOKLYN AV,BERGEN ST/TROY AV,BERGEN ST/NEVINS ST,SMITH ST/ATLANTIC AV,BERGEN ST/3 AV,SMITH ST/LIVINGSTON ST,DEAN ST/BEDFORD AV,BERGEN ST/ALBANY AV,ST MARKS AV/ROCHESTER AV,DEAN ST/SCHENECTADY AV,BERGEN ST/BROOKLYN AV,BERGEN ST/BUFFALO AV,RALPH AV/ST JOHNS PL,BERGEN ST/CARLTON AV,ATLANTIC AV/NEVINS ST,DEAN ST/FLATBUSH AV,BERGEN ST/4 AV,DEAN ST/KINGSTON AV,DEAN ST/ALBANY AV,BERGEN ST/BEDFORD AV,ST JOHN'S PL/RALPH AV,DEAN ST/CARLTON AV,DEAN ST/GRAND AV,BOERUM PL/JORALEMON ST,BERGEN ST/SCHENECTADY AV,BUFFALO AV/PROSPECT PL,BERGEN ST/ROCHESTER AV,ATLANTIC AV/3 AV,BERGEN ST/NOSTRAND AV,DEAN ST/NOSTRAND AV,BERGEN ST/FRANKLIN AV,BERGEN ST/5 AV,BERGEN ST/HOYT ST,SMITH ST/BERGEN ST,ATLANTIC AV/BOND ST,ATLANTIC AV/SMITH ST,DEAN ST/WASHINGTON AV,BERGEN ST/NEW YORK AV,BERGEN ST/CLASSON AV,BERGEN ST/BOND ST,DEAN ST/3 AV,Jackie Gleason Depot (JG)
ATLANTIC AV/NEVINS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,
DEAN ST/FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.415 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,
BERGEN ST/4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/KINGSTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/ALBANY AV,,,,,,,,,,,,,,,,,,,0.234 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,
ST JOHN'S PL/RALPH AV,,,,,,,,0.248 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/CARLTON AV,,,,,,,,,0.276 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/GRAND AV,,,,,0.272 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOERUM PL/JORALEMON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506 CROWN HEIGHTS RALPH AV,,,,,,
BERGEN ST/SCHENECTADY AV,,,,,,,,,,,,,,,,,,,,,,,,,0.234 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUFFALO AV/PROSPECT PL,,,,,,,,,,,,,,,,,,0.1 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/ROCHESTER AV,,,,,,,,,,0.235 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 CROWN HEIGHTS RALPH AV,
BERGEN ST/NOSTRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/NOSTRAND AV,,,,,,,,,,,,0.234 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/FRANKLIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296 DOWNTOWN BKLYN FULTON MALL,,,
BERGEN ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/HOYT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 DOWNTOWN BKLYN FULTON MALL,,,,,,,,
SMITH ST/BERGEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/BOND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/SMITH ST,,,,0.207 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/WASHINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,
BERGEN ST/NEW YORK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,
BERGEN ST/CLASSON AV,,0.271 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/BOND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,
DEAN ST/3 AV,,,0.234 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,4.121 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
