,DEAN ST/UTICA AV,BERGEN ST/GRAND AV,DEAN ST/4 AV,ATLANTIC AV/HOYT ST,DEAN ST/CLASSON AV,BERGEN ST/FLATBUSH AV,BERGEN ST/KINGSTON AV,BUFFALO AV/ST JOHNS PL,DEAN ST/VANDERBILT AV,BERGEN ST/UTICA AV,DEAN ST/FRANKLIN AV,DEAN ST/NEW YORK AV,SMITH ST/FULTON ST,BERGEN ST/WASHINGTON AV,ROCHESTER AV/BERGEN ST,RALPH AV/STERLING PL,ST MARKS AV/RALPH AV,BUFFALO AV/ST MARKS AV,DEAN ST/TROY AV,ST MARKS AV/BUFFALO AV,DEAN ST/ROCHESTER AV,DEAN ST/5 AV,BERGEN ST/VANDERBILT AV,DEAN ST/BROOKLYN AV,BERGEN ST/TROY AV,BERGEN ST/NEVINS ST,SMITH ST/ATLANTIC AV,BERGEN ST/3 AV,SMITH ST/LIVINGSTON ST,DEAN ST/BEDFORD AV,BERGEN ST/ALBANY AV,ST MARKS AV/ROCHESTER AV,DEAN ST/SCHENECTADY AV,BERGEN ST/BROOKLYN AV,BERGEN ST/BUFFALO AV,RALPH AV/ST JOHNS PL,BERGEN ST/CARLTON AV,ATLANTIC AV/NEVINS ST,DEAN ST/FLATBUSH AV,BERGEN ST/4 AV,DEAN ST/KINGSTON AV,DEAN ST/ALBANY AV,BERGEN ST/BEDFORD AV,ST JOHN'S PL/RALPH AV,DEAN ST/CARLTON AV,DEAN ST/GRAND AV,BOERUM PL/JORALEMON ST,BERGEN ST/SCHENECTADY AV,BUFFALO AV/PROSPECT PL,BERGEN ST/ROCHESTER AV,ATLANTIC AV/3 AV,BERGEN ST/NOSTRAND AV,DEAN ST/NOSTRAND AV,BERGEN ST/FRANKLIN AV,BERGEN ST/5 AV,BERGEN ST/HOYT ST,SMITH ST/BERGEN ST,ATLANTIC AV/BOND ST,ATLANTIC AV/SMITH ST,DEAN ST/WASHINGTON AV,BERGEN ST/NEW YORK AV,BERGEN ST/CLASSON AV,BERGEN ST/BOND ST,DEAN ST/3 AV,Jackie Gleason Depot (JG)
DEAN ST/ROCHESTER AV,,,,,,,,,,,,,,,0.086 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/VANDERBILT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/BROOKLYN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/TROY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/NEVINS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 DOWNTOWN BKLYN FULTON MALL,,
SMITH ST/ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITH ST/LIVINGSTON ST,,,,,,,,,,,,,0.119 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,
BERGEN ST/ALBANY AV,,,,,,,0.233 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST MARKS AV/ROCHESTER AV,,,,,,,,,,,,,,,,,,,,0.235 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/SCHENECTADY AV,0.235 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/BROOKLYN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 DOWNTOWN BKLYN FULTON MALL,,,,
BERGEN ST/BUFFALO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,
RALPH AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/CARLTON AV,,,,,,0.325 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
