,LIVINGSTON ST/NEVINS ST,FLATBUSH AV/E 46 ST,FLATBUSH AV/STERLING PL,FLATBUSH AV/AV K,FLATBUSH AV/ALBEMARLE RD,FLATBUSH AV/8 AV,FLATBUSH AV/PROSPECT PARK ENT,FLATBUSH AV/DORCHESTER RD,FLATBUSH AV/E 35 ST,VETERANS AV/E 71 ST,FLATBUSH AV/ST MARKS AV,AV N/E 55 ST,FLATBUSH AV/AV D,GRAND ARMY PLZ/FLATBUSH AV,AV N/E 53 ST,AV N/E 45 ST,AV N/SCHENECTADY AV,AV N/E 48 ST,AV N/E 56 ST,FLATBUSH AV/DITMAS AV,AV N/E 54 ST,FLATBUSH AV/KINGS PLAZA,FLATBUSH AV/UTICA AV,FLATBUSH AV/HAWTHORNE ST,FLATBUSH AV/CATON AV,FLATBUSH AV/LINCOLN RD,VETERANS AV/AV T,FLATBUSH AV/CHESTER CT,FLATBUSH AV/TILDEN AV,AV N/E 58 ST,FLATBUSH AV/CORTELYOU RD,CADMAN PLAZA WEST/JOHNSON ST,FLATBUSH AV/NOSTRAND AV,VETERANS AV/RALPH AV,FLATBUSH AV/CLARKSON AV,FLATBUSH AV/GRAND ARMY PZ,FLATBUSH AV/AV S,FLATBUSH AV/GRAND ARMY PLZ,AV N/E 52 ST,AV N/RALPH AV,FLATBUSH AV/FOSTER AV,FLATBUSH AV/PARK PL,FLATBUSH AV/TROY AV,FLATBUSH AV/PARK ENTRANCE,FLATBUSH AV/PACIFIC ST,FLATBUSH AV/FARRAGUT RD,FLATBUSH AV/KINGS HWY,LIVINGSTON ST/SMITH ST,FLATBUSH AV/PLAZA ST E,AV N/E 57 ST,FLATBUSH AV/AV T,JORALEMON ST/COURT ST,FLATBUSH AV/PARKSIDE AV,LIVINGSTON ST/HOYT ST,FLATBUSH AV/DEAN ST,VETERANS AV/E 66 ST,FLATBUSH AV/ROGERS AV,FLATBUSH AV/AV P,FLATBUSH AV/CHURCH AV,LIVINGSTON ST/BOND ST,VETERANS AV/E 64 ST,VETERANS AV/E 69 ST,ADAMS ST/BKLYN SUPREME CRT,FLATBUSH AV/BROOKLYN AV,FLATBUSH AV/AURELIA CT,FLATBUSH AV/KINGS HY,FLATBUSH AV/GLENWOOD RD,FLATBUSH AV/CLARENDON RD,FLATBUSH AV/BERGEN ST,FLATBUSH AV/OCEAN AV,FLATBUSH AV/BEVERLY RD,FLATBUSH AV/ATLANTIC AV,FLATBUSH AV/E 48 ST,FLATBUSH AV/AV U,FLATBUSH AV/EMPIRE BL,CADMAN PLZ W/MONTAGUE ST,CADMAN PZ W/JOHNSON ST,VETERANS AV/E 65 ST,AV N/UTICA AV,FLATBUSH AV/FILLMORE AV,FLATBUSH AV/AV I,FLATBUSH AV/E 29 ST,FLATBUSH AV/MIDWOOD ST,E 70 ST/VETERANS AV,AV N/E 46 ST,FLATBUSH AV/QUENTIN RD,FLATBUSH AV/AV R,FLATBUSH AV/FLATLANDS AV,Jackie Gleason Depot (JG)
AV N/E 55 ST,,,,,,,,,,,,,,,,,,,,,,,39.411 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/AV D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.569 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,
GRAND ARMY PLZ/FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV N/E 53 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,
AV N/E 45 ST,,,,,,,,,,,,,,,,,39.297 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV N/SCHENECTADY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 KINGS PLAZA via FLATBUSH,,,,,,,,,,
AV N/E 48 ST,,0.372 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV N/E 56 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.349 KINGS PLAZA via FLATBUSH,,
FLATBUSH AV/DITMAS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.617 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV N/E 54 ST,,,,,,,,,,,,,,,,,,,38.673 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/KINGS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/UTICA AV,,,,,,,,,,,,,,,0.928 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/HAWTHORNE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,
FLATBUSH AV/CATON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.008 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,0.828 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.976 to depot of B41
FLATBUSH AV/LINCOLN RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VETERANS AV/AV T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,0.129 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/CHESTER CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/TILDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.496 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV N/E 58 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.418 KINGS PLAZA via FLATBUSH,,,,,,,,,
FLATBUSH AV/CORTELYOU RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADMAN PLAZA WEST/JOHNSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.682 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/NOSTRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.384 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,0.173 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,
VETERANS AV/RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.691 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/CLARKSON AV,,,,,,,,,,,,,,,,,,,,,,,,0.924 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/GRAND ARMY PZ,,,,,,,0.938 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/AV S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.793 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/GRAND ARMY PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV N/E 52 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.771 KINGS PLAZA via FLATBUSH,,,
AV N/RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.606 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/FOSTER AV,,,,,,,,,,,,,0.307 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.519 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/PARK PL,,,,,,0.225 KINGS PLAZA via FLATBUSH,,,,,0.281 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/TROY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,
FLATBUSH AV/PARK ENTRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.228 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/PACIFIC ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,
FLATBUSH AV/FARRAGUT RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.245 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 KINGS PLAZA via FLATBUSH,
LIVINGSTON ST/SMITH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.435 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,0.204 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/PLAZA ST E,,,0.123 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV N/E 57 ST,,,,,,,,,,,,0.528 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/AV T,,,,,,,,,,,,,,,,,,,,,,,,,,,1.484 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,39.204 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JORALEMON ST/COURT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.646 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,
FLATBUSH AV/PARKSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,0.314 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVINGSTON ST/HOYT ST,0.414 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/DEAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,
VETERANS AV/E 66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.964 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,
FLATBUSH AV/ROGERS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.499 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/AV P,,,,,,,,,,,,,,,,22.71 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/CHURCH AV,,,,,1.424 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,0.234 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVINGSTON ST/BOND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VETERANS AV/E 64 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VETERANS AV/E 69 ST,,,,,,,,,,0.158 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMS ST/BKLYN SUPREME CRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/BROOKLYN AV,,,,,,,,,0.16 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/AURELIA CT,,,,,,,,,0.316 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/KINGS HY,,,,0.441 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/GLENWOOD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/CLARENDON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/BERGEN ST,,,,,,,,,,,0.139 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.436 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/BEVERLY RD,,,,,,,,0.24 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/ATLANTIC AV,0.577 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/E 48 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.665 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,
FLATBUSH AV/AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.756 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,
FLATBUSH AV/EMPIRE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.667 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADMAN PLZ W/MONTAGUE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,
CADMAN PZ W/JOHNSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.492 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VETERANS AV/E 65 ST,,,,,,,,,,,,,,,,,,,,,,4.121 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
