,RICHMOND AV/ARMAND ST,PORT RICHMOND AV/ORANGE AV,RICHMOND AV/VICTORY BL,ELTINGVILLE/TRANSIT CENTER,RICHMOND AV/SYCAMORE ST,AMBOY RD/FINLEY ST,HYLAN BL/KENNY RD,RICHMOND TER/PARK AV #3,HYLAN BL/YETMAN AV,RICHMOND AV/BARTLETT AV,RICHMOND AV/ETON PL,HYLAN BL/POILLON AV,PORT RICHMOND AV/BENNETT ST,HYLAN BL/DOLE ST,RICHMOND AV/BARON HIRSCH CEM,RICHMOND AV/SIGNS RD,PORT RICHMOND AV/BEEKMAN ST,HYLAN BL/WENDY DR,PORT RICHMOND AV/BLACKFORD AV,HYLAN BL/BAY VIEW AV,HYLAN BL/CRAIG AV,HYLAN BL/RICHMOND AV (LOT),RICHMOND AV/BARLOW AV,HYLAN BL/JOLINE AV,RICHMOND AV/CARNEGIE AV,RING RD/SEARS PLATINUM AV,FOREST AV/WILLOW RD W,HYLAN BL/HUGUENOT AV,RICHMOND AV/TRAVIS AV,HYLAN BL/ARDEN AV,RICHMOND AV/AUGUSTA AV,HYLAN BL/BARCLAY AV,RICHMOND AV/KING ST,PORT RICHMOND AV/SMITH PL,RICHMOND AV/DRUMGOOLE RD E,HYLAN BL/WOODS OF ARDEN RD,HYLAN BL/CORNELIA AV,YUKON AV/KMART DWY,YUKON AV/WATCHMANS OFFICE,HYLAN BL/CARTERET ST,PORT RICHMOND AV/ALBION PL,RICHMOND AV/LEVERETT AV,FOREST AV/WILLOWBROOK RD,HYLAN BL/CONNECTICUT AV,RICHMOND AV/KOCH BL,RICHMOND AV/FOREST HILL RD,PORT RICHMOND AV/CATHERINE ST,HYLAN BL/CHELSEA ST,RICHMOND AV/MEMPHIS AV,RICHMOND AV/GENESEE AV,YUKON AV/RICHMOND AV,RICHMOND AV/MONSEY PL,HYLAN BL/PAGE AV,RICHMOND AV/MORANI ST,RICHMOND AV/ROCKLAND AV,FOREST AV/RICHMOND AV,RICHMOND AV/W CASWELL AV,RICHMOND AV/LAMBERTS LA,PORT RICHMOND AV/DIXON AV,HYLAN BL/BAYVIEW AV,RICHMOND AV/DRAPER PL S,PORT RICHMOND AV/HOMESTEAD AV,PORT RICHMOND AV/HOOKER PL,RICHMOND AV/CHRISTOPHER LA,PORT RICHMOND AV/HATFIELD PL,RICHMOND AV/OAKDALE ST,RICHMOND AV/FOREST ST,RICHMOND AV/MERRILL AV,HYLAN BL/LIPSETT AV,RICHMOND AV/SERRELL AV,HYLAN BL/SPRAGUE AV,RICHMOND AV/AMSTERDAM PL,CRAIG AV/AMBOY RD,RING RD/MACYS PLATINUM AV,HYLAN BL/CUNNINGHAM RD,RICHMOND AV/YONA AV,RICHMOND AV/GURLEY AV,HYLAN BL/SHARROTT AV,FOREST AV/WILLOW RD E,HYLAN BL/SEGUINE AV,RICHMOND AV/MARC ST,RICHMOND AV/LANDER AV,RICHMOND AV/HYLAN BL,RICHMOND AV/JULES DR,HYLAN BL/RICHARD AV,RICHMOND AV/WILSON AV,MAIN ST/AMBOY RD,RICHMOND AV/RIVINGTON AV,HYLAN BL/LUTEN AV,PORT RICHMOND AV/CLINTON PL,HYLAN BL/WOODVALE AV,RICHMOND AV/ELTINGVILLE BL,PORT RICHMOND AV/ANN ST,HYLAN BL/HALES AV,HYLAN BL/BRIGHTON ST,RICHMOND AV/VEDDER AV,PORT RICHMOND AV/CHARLES AV,HYLAN BL/BEDELL AV,HYLAN BL/RICHMOND AV,RICHMOND AV/SHIRLEY AV,PORT RICHMOND AV/HARRISON AV,HYLAN BL/ARBUTUS AV,RICHMOND AV/RICHMOND HILL RD,HYLAN BL/INEZ ST,RICHMOND AV/AMBOY RD,HYLAN BL/HOLDRIDGE AV,RICHMOND AV/KATAN AV,RICHMOND AV/NOME AV,MAIN ST/HYLAN BL,RICHMOND AV/GOETHALS RD N,Yukon Depot (YU)
PORT RICHMOND AV/CATHERINE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CHELSEA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MEMPHIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 PORT RICHMOND,,,,
RICHMOND AV/GENESEE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUKON AV/RICHMOND AV,,,,,,,,,,,,,,,,,,,,,,,,,,1.198 PORT RICHMOND,,,,,,,,,,,,0.307 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MONSEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 HYLAN BL,,,,,,,,,,,,,,,
HYLAN BL/PAGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.774 PORT RICHMOND,,,,,,,,,,,,,0.292 HYLAN BL,,,,,,,,,,,,,
RICHMOND AV/MORANI ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/ROCKLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/RICHMOND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/W CASWELL AV,0.737 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/LAMBERTS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/DIXON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BAYVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.397 HYLAN BL,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/DRAPER PL S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.047 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/HOMESTEAD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/HOOKER PL,,0.252 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/CHRISTOPHER LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.149 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/HATFIELD PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/OAKDALE ST,,,,,0.228 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366 PORT RICHMOND,,,,,,,,,,,,,,,,,,,
RICHMOND AV/FOREST ST,,,,,,,,,,,,,,,,,,,,,,,,,0.175 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MERRILL AV,,,0.825 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/LIPSETT AV,,,,,,,,,,,,1.31 HYLAN BL,,,,,,,,,,,,,,,,,,,,0.167 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/SERRELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SPRAGUE AV,,,,,,,,,0.306 HYLAN BL,,,,,,,,,,,,,,,0.285 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/AMSTERDAM PL,,,,,,,,,,,,,,,,0.662 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,
CRAIG AV/AMBOY RD,,,,,,0.209 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RING RD/MACYS PLATINUM AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.567 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714 PORT RICHMOND,,,,,,,,
HYLAN BL/CUNNINGHAM RD,,,,,,,0.198 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/YONA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/GURLEY AV,,,,0.389 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SHARROTT AV,,,,,,,2.978 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.695 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,
FOREST AV/WILLOW RD E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SEGUINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.856 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.982 HYLAN BL,,,,,,,
RICHMOND AV/MARC ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.623 PORT RICHMOND,,,,,,,,,,,,,,,
RICHMOND AV/LANDER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.383 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/JULES DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.222 HYLAN BL,
HYLAN BL/RICHARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,1.596 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/WILSON AV,,,,,,,,,,0.949 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 HYLAN BL,,,,,,,,,,,,,,,,,,,
MAIN ST/AMBOY RD,,,,,,,,,,,,,,,,,,,,,,9.269 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.557 PORT RICHMOND,,
RICHMOND AV/RIVINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.615 HYLAN BL,,,,,,,,,,,,,,,,,1.036 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26 PORT RICHMOND,,,,,,,,,0.144 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/CLINTON PL,,,,,,,,,,,,,,,,,,,0.077 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/WOODVALE AV,,,,,,,,,,,,,,,,,,,,0.402 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.444 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/ELTINGVILLE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 PORT RICHMOND,,,,,,,,,,,,,,,,,,,0.113 HYLAN BL,,,,,,
PORT RICHMOND AV/ANN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 HYLAN BL,,,,,,,,,,
HYLAN BL/HALES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.346 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BRIGHTON ST,,,,,,,,,0.16 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/VEDDER AV,,,,,,,,,,,,,,,0.688 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/CHARLES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334 HYLAN BL,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BEDELL AV,,,,,,,,,,,,,,,,,,,,,,,,0.183 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/RICHMOND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 HYLAN BL,,,,,,,,,,,,,,,,,
RICHMOND AV/SHIRLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 HYLAN BL,,,,,,,,,,,,0.166 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/HARRISON AV,,,,,,,,,,,,,0.188 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 HYLAN BL,,,,,,,,,,,,,,
HYLAN BL/ARBUTUS AV,,,,,,,,,,,,,,,,,,0.192 PORT RICHMOND,,,,,,,,,,1.137 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/RICHMOND HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.608 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.238 PORT RICHMOND,,,
HYLAN BL/INEZ ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.275 HYLAN BL,,,,,,,,,,,,,,,,,,,,0.264 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/HOLDRIDGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 PORT RICHMOND,,0.244 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/KATAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 HYLAN BL,0.245 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/NOME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 HYLAN BL,,,,,,,,
MAIN ST/HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 PORT RICHMOND,,,,,,,,,,,,,,,,
RICHMOND AV/GOETHALS RD N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.769 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukon Depot (YU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
