,BROADWAY/MADISON ST,ATLANTIC AV/SCHENCK AV,JAMAICA AV/PARSONS BL,ATLANTIC AV/77 ST,BROADWAY/GATES AV,ATLANTIC AV/VAN SICLEN AV,ARCHER AV/GUY R BREWER BL,BROADWAY/ABERDEEN ST,ATLANTIC AV/LINWOOD ST,BROADWAY/EASTERN PY,ATLANTIC AV/108 ST,ATLANTIC AV/CLEVELAND ST,VAN SINDEREN AV/FULTON ST,ATLANTIC AV/BRADFORD ST,ATLANTIC AV/GRANT AV,ATLANTIC AV/121 ST,BROADWAY/QUINCY ST,ATLANTIC AV/WOODHAVEN BL,ATLANTIC AV/74 PL,BROADWAY/HULL ST,ATLANTIC AV/75 ST,BROADWAY/MAC DONOUGH ST,ATLANTIC AV/MILFORD ST,JAMAICA AV/BROADWAY,ATLANTIC AV/92 ST,ATLANTIC AV/124 ST,ATLANTIC AV/CHESTNUT ST,ATLANTIC AV/LOGAN ST,ATLANTIC AV/PENNSYLVANIA AV,ATLANTIC AV/78 ST,VAN WYCK EP SR W/89 AV,ATLANTIC AV/82 PL,ATLANTIC AV/132 ST,JAMAICA AV/162 ST,ATLANTIC AV/SHERIDAN AV,ATLANTIC AV/88 ST,BROADWAY/ROCKAWAY AV,ATLANTIC AV/117 ST,ATLANTIC AV/133 ST,VAN SINDEREN AV/BROADWAY,JAMAICA AV/SUTPHIN BL,ATLANTIC AV/84 ST,ATLANTIC AV/82 ST,ATLANTIC AV/104 ST,ARCHER AV/VAN WYCK EP SR E,JAMAICA AV/150 ST,ATLANTIC AV/130 ST,ATLANTIC AV/106 ST,ATLANTIC AV/LEFFERTS BL,ATLANTIC AV/85 ST,BROADWAY/GRANITE ST,ATLANTIC AV/VERMONT ST,ATLANTIC AV/80 ST,ATLANTIC AV/HENDRIX ST,ATLANTIC AV/VAN WYCK EXP W,VAN WYCK EP SR W/91 AV,BROADWAY/VAN SIDEREN AV,ATLANTIC AV/134 ST,ARCHER AV/PARSONS BL,ATLANTIC AV/SHEPHERD AV,BROADWAY/ELDERT ST,JAMAICA AV/FANCHON PL,ARCHER AV/158 ST,ATLANTIC AV/EUCLID AV,ATLANTIC AV/ELTON ST,BROADWAY/HALSEY ST,ATLANTIC AV/WARWICK ST,BROADWAY/SCHAEFFER ST,ARCHER AV/143 ST,JAMAICA AV/165 ST,ATLANTIC AV/114 ST,BROADWAY/GROVE ST,ATLANTIC AV/NEW JERSEY AV,ATLANTIC AV/111 ST,ARCHER AV/149 ST,ARCHER AV/MERRICK BL,ATLANTIC AV/96 ST,JAMAICA AV/GEORGIA AV,BROADWAY/COOPER ST,ATLANTIC AV/HALE AV,ATLANTIC AV/102 ST,ATLANTIC AV/BERRIMAN ST,ATLANTIC AV/WYONA ST,ATLANTIC AV/100 ST,BROADWAY/CHAUNCEY ST,ATLANTIC AV/127 ST,ATLANTIC AV/ESSEX ST,BROADWAY/JEFFERSON AV,ATLANTIC AV/CRESCENT ST,BROADWAY/GREENE AV,ATLANTIC AV/LINCOLN AV,JAMAICA AV/144 ST,PATCHEN AV/LAFAYETTE AV,ATLANTIC AV/86 ST,ATLANTIC AV/BARBEY ST,VAN WYCK EP SR W/JAMAICA AV,ARCHER AV/SUTPHIN BL,BROADWAY/LAFAYETTE AV,ATLANTIC AV/90 ST,ATLANTIC AV/AUTUMN AV,JAMAICA AVE / QUEENS BLVD,ATLANTIC AV/ELDERT LA,ATLANTIC AV/MILLER AV,ATLANTIC AV/76 ST,College Point Depot (CP)
ATLANTIC AV/CLEVELAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN SINDEREN AV/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/BRADFORD ST,,,,,,0.155 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/GRANT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.187 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,
ATLANTIC AV/121 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,0.766 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/QUINCY ST,0.354 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/WOODHAVEN BL,,,,,,,,,,,,,,,,,,,,,,,,,0.733 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.031 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/74 PL,,,,,,,,,,,,,,,1.271 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/HULL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/75 ST,,,,0.159 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/MAC DONOUGH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/MILFORD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.139 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/92 ST,,,,,,,,,,,,,,,,,,0.737 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.685 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,
ATLANTIC AV/124 ST,,,,,,,,,,,,,,,,0.2 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/CHESTNUT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/LOGAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/PENNSYLVANIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.764 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/78 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,
VAN WYCK EP SR W/89 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/82 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/132 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/162 ST,,,0.198 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/SHERIDAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177 JAMAICA 168 ST via ATLANTIC,,,
ATLANTIC AV/88 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.819 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 JAMAICA 168 ST via ATLANTIC,,,,,,
BROADWAY/ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/117 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,0.559 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/133 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN SINDEREN AV/BROADWAY,,,,,,,,,,29.859 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/SUTPHIN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,
ATLANTIC AV/84 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.819 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,
ATLANTIC AV/82 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/104 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/VAN WYCK EP SR E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.087 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.363 to depot of Q24
JAMAICA AV/150 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/130 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.405 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/106 ST,,,,,,,,,,,0.177 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/LEFFERTS BL,,,,,,,,,,,,,,,,0.223 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,0.549 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/85 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.609 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/GRANITE ST,,,,,,,,,,,,,,,,,,,,0.308 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/VERMONT ST,,,,,,,,,,,,,,0.158 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/80 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.362 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,0.186 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/HENDRIX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,
ATLANTIC AV/VAN WYCK EXP W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN WYCK EP SR W/91 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.336 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/VAN SIDEREN AV,,,,,,,,,,,,,0.087 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/134 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.031 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/PARSONS BL,,,,,,,0.602 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/SHEPHERD AV,,,,,,,,,0.978 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/ELDERT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/FANCHON PL,,,,,,,,,,,,,,,,,,,,,,,,0.194 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/158 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.336 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/EUCLID AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.525 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,
ATLANTIC AV/ELTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,
BROADWAY/HALSEY ST,,,,,,,,,,,,,,,,,,,,,,0.235 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,,,,,,,,
ATLANTIC AV/WARWICK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 JAMAICA 168 ST via ATLANTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.609 LAFAYETTE AV PATCHEN AV via ATLANTIC AV,,,,,,,,,,
