,E GUN HILL RD/LACONIA AV,HUTCHINSON RVR PY E/BOLLER AV,BAYCHESTER AV/750 BAYCHESTER AV,BOSTON RD/DYRE AV,E GUN HILL RD/DECATOUR AV,E GUN HILL RD/HULL AV,PEARTREE AV/GIVAN AV,E GUN HILL RD/TRYON AV,DREISER LOOP/CO-OP CITY BL,BARTOW AV/CO-OP CITY BL,E GUN HILL RD/PAULDING AV,BAYCHESTER AV/DARROW PL,ASCH LOOP/ALCOTT PL,CO-OP CITY BL/PEARTREE AV,E GUN HILL RD/BRONXWOOD AV,E GUN HILL RD/WEBSTER AV,VAN CORTLANDT AV E/ROCHAMBEAU AV,E GUN HILL RD/WHITE PLAINS RD,BARTOW AV/REAR OF PATHMARK,EARHART LA/ERSKINE PL,BOSTON RD/STEENWICK AV,BOSTON RD/CONNER ST,HUTCHINSON RVR PY E/EINSTEIN LOOP N,BOSTON RD/WILSON AV,DREISER LOOP/DEFOE PLACE,PEARTREE AV/CONNER  ST,BOSTON RD/BAYCHESTER AV,BAINBRIDGE AV/E 210 ST,ASCH LOOP/CO-OP CITY BL,HUTCHINSON RVR PY E/EINSTEIN LOOP S,BOSTON RD/GRACE AV,BOSTON RD/BRUNER AV,BAINBRIDGE AV/E GUN HILL RD,HUNTER AV/BOLLER AV,BOSTON RD/PROVOST AV,E MOSHOLU PY N/VAN CORTLANDT AV E,BOSTON RD/E GUN HILL RD,CO-OP CITY BL/CARVER LOOP  #1,HUNTER AV/EARHART LA,BOSTON RD/EASTCHESTER RD,BAYCHESTER AV/ALDRICH ST,BOSTON RD/PALMER AV,BOSTON RD/KINGSLAND AV,BOSTON RD/BIVONA ST,E GUN HILL RD/OLINVILLE AV,BOSTON RD/SEYMOUR AV,DREISER LOOP/DEBS PL,BOSTON RD/WICKHAM AV,E GUN HILL RD/BARNES AV,HUTCHINSON RVR PKY/EINSTEIN LOOP N,BAYCHESTER AV/DONIZETTI PL,E GUN HILL RD/PUTNAM PL,BOSTON RD/ELY AV,BAINBRIDGE AV/RESERVOIR OVAL E,E 206 ST/ROCHAMBEAU AV,ERSKINE PL/EARHART LA,CO-OP CITY BL/CARVER LOOP #2,BAINBRIDGE AV/VAN CORTLANDT AV E,ASCH LOOP/BARTOW AV,E GUN HILL RD/BOSTON RD,BOSTON RD/BOLLER AV,HUTCHINSON RVR PKY/EINSTEIN LOOP S,BOSTON RD/TIEMANN AV,West Farms Depot (WF)
E GUN HILL RD/WHITE PLAINS RD,,,,,0.5 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43 CO-OP CITY EARHART LANE,,,,,,,,,,,,,,,
BARTOW AV/REAR OF PATHMARK,,,,,,,,,,2.831 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.614 CO-OP CITY EARHART LANE,,,,,,,,,,,,,,
EARHART LA/ERSKINE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/STEENWICK AV,,,,,,,,,,,,,,,,,,,,,,0.333 CO-OP CITY EARHART LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/CONNER ST,,,,,,,0.626 CO-OP CITY EARHART LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUTCHINSON RVR PY E/EINSTEIN LOOP N,,,,,,,,,,,,,,,,,,,0.772 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/WILSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 CO-OP CITY EARHART LANE,,,,,,,,,,,,,,0.367 NORWOOD 205 ST STATION,,,,
DREISER LOOP/DEFOE PLACE,,,,,,,,,0.28 CO-OP CITY EARHART LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,
PEARTREE AV/CONNER  ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.571 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/BAYCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 CO-OP CITY EARHART LANE,,,
BAINBRIDGE AV/E 210 ST,,,,,,,,0.358 CO-OP CITY EARHART LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294 NORWOOD 205 ST STATION,,,,,,
ASCH LOOP/CO-OP CITY BL,,,,,,,,,,0.18 CO-OP CITY EARHART LANE,,,0.385 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUTCHINSON RVR PY E/EINSTEIN LOOP S,,,,,,,,,,,,,,,,,,,,,,,0.0 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/GRACE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/BRUNER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 NORWOOD 205 ST STATION,
BAINBRIDGE AV/E GUN HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER AV/BOLLER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 CO-OP CITY EARHART LANE,,,,,,,,
BOSTON RD/PROVOST AV,,,,0.335 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E MOSHOLU PY N/VAN CORTLANDT AV E,,,,,,,,,,,,,,,,,0.703 CO-OP CITY EARHART LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/E GUN HILL RD,,,,,,,,,,,,,,,,,,,,,,,,0.348 CO-OP CITY EARHART LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO-OP CITY BL/CARVER LOOP  #1,,,,,,,,,0.442 CO-OP CITY EARHART LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER AV/EARHART LA,,0.696 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/EASTCHESTER RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 CO-OP CITY EARHART LANE,,,0.244 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,
BAYCHESTER AV/ALDRICH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.265 NORWOOD 205 ST STATION,,,,,,,,0.247 CO-OP CITY EARHART LANE,,,,,
BOSTON RD/PALMER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 NORWOOD 205 ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
