,77 ST/3 AV,EMMONS AV/NOSTRAND AV,NEPTUNE AV/E 12 ST,STILLWELL AV/AV T,BAY RIDGE PY/15 AV,BAY RIDGE PY/18 AV,BAY RIDGE PY/5 AV,86 ST/AV U,OCEAN PY/SHORE PY,SHORE PKY/COYLE ST,BAY RIDGE PY/7 AV,SHORE PKY NS/SHEEPSHEAD BAY RD,AV Z/OCEAN AV,SHELL RD/AV Y,BAY RIDGE PY/19 AV,BAY RIDGE PY/6 AV,78 ST/3 AV,SHORE PY/BEDFORD AV,EMMONS AV/E 14 ST,SHEEPSHEAD BAY RD/SHORE PKY,86 ST/W 8 ST,BAY RIDGE PY/20 AV,77 ST/RIDGE BL,SHORE PY/E 28 ST,STILLWELL AV/80 ST,AV Z/E 19 ST,OCEAN PY/WEST AV,BAY RIDGE PY/BAY PY,BAY RIDGE PY/FT HAMILTON PY,BAY RIDGE PY/13 AV,NEPTUNE AV/BRIGHTON 4 ST,EMMONS AV/DOOLEY ST,86 ST/AV V,SHELL RD/AV X,STILLWELL AV/QUENTIN RD,SHORE PY/OCEAN AV,KNAPP ST/SHORE PKY,NEPTUNE AV/BRIGHTON 6 ST,AV Z/E 18 ST,BAY RIDGE PY/10 AV,SHELL RD/BOUCK CT,78 ST/4 AV,AV Z/W 2 ST,NEPTUNE AV/OCEAN PY,EMMONS AV/FORD ST,VOORHIES AV/KNAPP ST,EMMONS AV/BROWN ST,86 ST/STILLWELL AV,BAY RIDGE PY/4 AV,STILLWELL AV/BAY PY,86 ST/W 7 ST,SHORE PKY/BRIGHAM ST,EMMONS AV/BRIGHAM ST,OCEAN AV/VOORHIES AV,BAY RIDGE PY/14 AV,4 AV/BAY RIDGE PY,STILLWELL AV/23 AV,KNAPP ST/HARKNESS AV,EMMONS AV/E 26 ST,SHORE PKY/BRAGG ST,77 ST/COLONIAL RD,EMMONS AV/E 16 ST,OCEAN AV/SHORE PY,78 ST/RIDGE BL,VOORHIES AV/E 14 ST,AV Z/WEST ST,86 ST/VAN SICKLEN ST,STILLWELL AV/AV S,AV Z/SHELL RD,STILLWELL AV/KINGS HY,BAY RIDGE PY/NEW UTRECHT AV,AV Z/E 15 ST,AV Z/OCEAN PY,86 ST/W 9 ST,OCEAN PKY/SHORE PKY,78 ST/COLONIAL RD,AV Z/W 3 ST,BAY RIDGE PY/12 AV,STILLWELL AV/85 ST,SHORE PKY/NOSTRAND AV,NEPTUNE AV/BRIGHTON 10 ST,NEPTUNE AV/SHORE BL,STILLWELL AV/HIGHLAWN AV,SHORE PKY/BROWN ST,BAY RIDGE PY/21 AV,86 ST/AV W,86 ST/W 11 ST,BAY RIDGE PY/17 AV,E 16 ST/SHEEPSHEAD BAY RD,STILLWELL AV/KINGS HWY,NEPTUNE AV/CONEY ISLAND AV,BAY RIDGE PY/11 AV,STILLWELL AV/82 ST,STILLWELL AV/25 AV,NARROWS AV/77 ST,SHEEPSHEAD BAY RD/VOORHIES AV,EMMONS AV/E 28 ST,E 14 ST/SHEEPSHEAD BAY RD,SHEEPSHEAD BAY RD/EMMONS AV,4 AV/77 ST,Jackie Gleason Depot (JG)
SHORE PKY NS/SHEEPSHEAD BAY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV Z/OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL RD/AV Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE PY/19 AV,,,,,,0.374 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,0.237 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE PY/6 AV,,,,,,,0.292 BAY RIDGE NARROWS AV,,,,0.222 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.486 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE PY/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,,,32.85 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMONS AV/E 14 ST,,,0.292 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHEEPSHEAD BAY RD/SHORE PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106 BAY RIDGE NARROWS AV,,
86 ST/W 8 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,
BAY RIDGE PY/20 AV,,,,,,,,,,,,,,,0.237 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,
77 ST/RIDGE BL,22.26 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE PY/E 28 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.775 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,
STILLWELL AV/80 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 SHEEPSHEAD BAY KNAPP ST,,,,,,,,
AV Z/E 19 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN PY/WEST AV,,,,,,,,,0.434 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE PY/BAY PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.583 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,
BAY RIDGE PY/FT HAMILTON PY,,,,,,,,,,,0.813 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.955 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE PY/13 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,0.237 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,
NEPTUNE AV/BRIGHTON 4 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.549 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMONS AV/DOOLEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.258 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/AV V,,,,,,,,,,,,,,,,,,,,,0.134 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHELL RD/AV X,,,,,,,,,,,,,,0.233 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STILLWELL AV/QUENTIN RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE PY/OCEAN AV,,,,,,,,,,,,,,,,,,2.582 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNAPP ST/SHORE PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEPTUNE AV/BRIGHTON 6 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,
AV Z/E 18 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 BAY RIDGE NARROWS AV,,,,,,,,,,,,
BAY RIDGE PY/10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,
SHELL RD/BOUCK CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.952 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78 ST/4 AV,,,,,,,,,,,,,,,,,22.317 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV Z/W 2 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEPTUNE AV/OCEAN PY,,,,,,,,,,,,,,,,,,,,,,,,,,,0.793 BAY RIDGE NARROWS AV,,,,,,,,,,,0.4 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMONS AV/FORD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOORHIES AV/KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMONS AV/BROWN ST,,0.154 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/STILLWELL AV,,,,0.133 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE PY/4 AV,,,,,,,0.304 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STILLWELL AV/BAY PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,
86 ST/W 7 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE PKY/BRIGHAM ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.138 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMONS AV/BRIGHAM ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/VOORHIES AV,,,,,,,,,,,,,0.308 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,2.275 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE PY/14 AV,,,,,0.211 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,0.262 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 AV/BAY RIDGE PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416 BAY RIDGE NARROWS AV,4.019 to depot of B4
STILLWELL AV/23 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.26 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNAPP ST/HARKNESS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.653 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMONS AV/E 26 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.394 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE PKY/BRAGG ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.503 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77 ST/COLONIAL RD,,,,,,,,,,,,,,,,,,,,,,,0.203 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMONS AV/E 16 ST,,,,,,,,,,,,,,,,,,,0.159 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/SHORE PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.364 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78 ST/RIDGE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,
VOORHIES AV/E 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 SHEEPSHEAD BAY KNAPP ST,,,
AV Z/WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.392 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.512 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/VAN SICKLEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.372 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STILLWELL AV/AV S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,
AV Z/SHELL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,
STILLWELL AV/KINGS HY,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.725 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE PY/NEW UTRECHT AV,,,,,0.357 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,
AV Z/E 15 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV Z/OCEAN PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.969 BAY RIDGE NARROWS AV,,,,,,,,,0.794 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/W 9 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,
OCEAN PKY/SHORE PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
