,HILLSIDE AV/171 ST,HILLSIDE AV/212 ST,HILLSIDE AV/211 ST,HILLSIDE AV/207 ST,SUTPHIN BL/89 AV,HILLSIDE AV/175 ST,HILLSIDE AV/191 ST,HILLSIDE AV/248 ST,HILLSIDE AV/161 ST,HILLSIDE AV/205 ST,HILLSIDE AV/239 ST,HILLSIDE AV/202 ST,HILLSIDE AV/SPRINGFIELD BL,HILLSIDE AV/FRANCIS LEWIS BL,HILLSIDE AV/198 ST,SUTPHIN BL/JAMAICA AV,HILLSIDE AV/268 ST,HILLSIDE AV/165 ST,HILLSIDE AV/258 ST,HILLSIDE AV/172 ST,HILLSIDE AV/CREEDMOORE HOSPITAL,SUTPHIN BL/90 AV,HILLSIDE AV/193 ST,HILLSIDE AV/EDGERTON BL,HILLSIDE AV/261 ST,HILLSIDE AV/266 ST,HILLSIDE AV/162 ST,HILLSIDE AV/164 ST,HILLSIDE AV/168 ST,HILLSIDE AV/88 AV,HILLSIDE AV/150 ST,HILLSIDE AV/264 ST,HILLSIDE AV/PARSONS BL,ARCHER AV/SUTPHIN BL,HILLSIDE AV/169 ST,HILLSIDE AV/243 ST,HILLSIDE AV/214 ST,HILLSIDE AV/187 ST,HILLSIDE AV/267 ST,HILLSIDE AV/199 ST,HILLSIDE AV/RANGE ST,HILLSIDE AV/MANOR RD,HILLSIDE AV/163 ST,HILLSIDE AV/CROSS ISLAND PY,HILLSIDE AV/184 ST,HILLSIDE AV/180 ST,HILLSIDE AV/231 ST,HILLSIDE AV/251 ST,HILLSIDE AV/179 ST SUBWAY,ARCHER AV/SUTPHIN PL,HILLSIDE AV/259 ST,HILLSIDE AV/188 ST,HILLSIDE AV/241 ST,HILLSIDE AV/CREEDMORE HOSPITAL,HILLSIDE AV/210 ST,HILLSIDE AV/189 ST,HILLSIDE AV/WINCHESTER BL,SUTPHIN BL/HILLSIDE AV,HILLSIDE AV/182 PL,HILLSIDE AV/215 PL,HILLSIDE AV/COMMONWEALTH BL,HILLSIDE AV/240 ST,HILLSIDE AV/209 ST,HILLSIDE AV/256 ST,HILLSIDE AV/AVON ST,HILLSIDE AV/195 PL,HILLSIDE AV/166 ST,HILLSIDE AV/229 ST,HILLSIDE AV/218 ST,HILLSIDE AV/LITTLE NECK PY,College Point Depot (CP)
HILLSIDE AV/268 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/165 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/258 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.582 JAMAICA LIRR STATION via HILLSIDE,
HILLSIDE AV/172 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/CREEDMOORE HOSPITAL,,,,,,,,,,,0.339 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTPHIN BL/90 AV,,,,,,,,,,,,,,,,0.152 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/193 ST,,,,,,,0.186 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 FLORAL PARK 268 ST via HILLSIDE,,,,,
HILLSIDE AV/EDGERTON BL,,,,,,,,,,,,,,,,,,,,0.406 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/261 ST,,,,,,,,,,,,,,,,,,,0.211 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,0.277 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/266 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/162 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/164 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/168 ST,0.506 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/88 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/150 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.591 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,0.688 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,
HILLSIDE AV/264 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.277 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,0.29 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/PARSONS BL,,,,,,,,,0.43 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,1.053 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/SUTPHIN BL,,,,,,,,,,,,,,,,0.279 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/169 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 JAMAICA LIRR STATION via HILLSIDE,,,,
HILLSIDE AV/243 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,
HILLSIDE AV/214 ST,,0.849 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,
HILLSIDE AV/187 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,0.468 JAMAICA LIRR STATION via HILLSIDE,,,,,,
HILLSIDE AV/267 ST,,,,,,,,,,,,,,,,,0.0 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/199 ST,,,,,,,,,,,,0.172 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
