,UNION AV/NORTHERN BL,NORTHERN BL/157 ST,FRANCIS LEWIS BL/32 AV,32 AV/CORPORAL KENNEDY ST,CORPORAL KENNEDY ST/32 AV,CROCHERON AV/192 ST,FRANCIS LEWIS BL/34 AV,NORTHERN BL/154 ST,NORTHERN BL/ROOSEVELT AV,213 PL/BAY TER CT,23 AV/BELL BL,32 AV/204 ST,23 AV /BELL BL,CROCHERON AV/164 ST,NORTHERN BL/PARSONS BL,CROCHERON AV/169 ST,32 AV/200 ST,CROCHERON AV/166 ST,32 AV/208 ST,23 AV/212 ST,NORTHERN BL/147 ST,32 AV/CLEARVIEW EP SR W,CROCHERON AV/168 ST,CORPORAL KENNEDY ST/26 AV,NORTHERN BL/BOWNE ST,NORTHERN BL/150 ST,FRANCIS LEWIS BL/32 RD,CORPORAL KENNEDY ST/23 AV,32 AV/205 ST,CROCHERON AV/UTOPIA PY,CROCHERON AV/171 ST,18 AV/CORPORAL KENNEDY ST,FRANCIS LEWIS BL/33 AV,CROCHERON AV/162 ST,NORTHERN BL/161 ST,211 ST/18 AV,NORTHERN BL/149 ST,39 AV/138 ST,FRANCIS LEWIS BL/35 AV,NORTHERN BL/146 ST,211 ST/23 AV,NORTHERN BL/159 ST,UNION ST/NORTHERN BL,32 AV/202 ST,CORPORAL KENNEDY ST/28 AV,FRANCIS LEWIS BL/192 ST,32 AV/JORDAN ST,CORPORAL KENNEDY ST/28 RD,18 AV/211 ST,32 AV/CLEARVIEW EP SR E,32 AV/201 ST,NORTHERN BL/MURRAY ST,39 AV /138 ST,College Point Depot (CP)
NORTHERN BL/150 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,0.189 BAY TERRACE BELL BL,,
FRANCIS LEWIS BL/32 RD,,,,,,,,,,,,,,,,,0.309 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORPORAL KENNEDY ST/23 AV,,,,,,,,,,,,,,,,,,,,,,,,0.246 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,0.412 BAY TERRACE BELL BL,,,,,
32 AV/205 ST,,,,,,,,,,,,,,,,,,,0.268 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROCHERON AV/UTOPIA PY,,,,,,0.262 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,0.16 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,
CROCHERON AV/171 ST,,,,,,,,,,,,,,,,0.163 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,0.16 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/CORPORAL KENNEDY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.389 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/33 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.664 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,0.113 FLUSHING MAIN ST STATION,,,,,,,,
CROCHERON AV/162 ST,,,,,,,,,,,,,,0.162 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/161 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.383 FLUSHING MAIN ST STATION,,,,,,,,,,,,
211 ST/18 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309 FLUSHING MAIN ST STATION,,,,,,,,,0.279 BAY TERRACE BELL BL,,,,,,,,,,,,,
NORTHERN BL/149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 BAY TERRACE BELL BL,,,,,,,,,,,,,,0.291 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,
39 AV/138 ST,0.344 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/35 AV,,,,,,0.204 FLUSHING MAIN ST STATION,0.366 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BL/146 ST,,,,,,,,,,,,,,,1.373 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211 ST/23 AV,,,,,,,,,,,,,,,,,,,,0.264 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,0.279 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,
NORTHERN BL/159 ST,,0.165 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,
UNION ST/NORTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.878 FLUSHING MAIN ST STATION,
32 AV/202 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,
CORPORAL KENNEDY ST/28 AV,,,,,0.338 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,
32 AV/JORDAN ST,,,0.162 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORPORAL KENNEDY ST/28 RD,,,,,,,,,,,,,,,,,,,,,,,,0.24 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/211 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,
32 AV/CLEARVIEW EP SR E,,,,,,,,,,,,,,,,,,,,,,0.0 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 AV/201 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 FLUSHING MAIN ST STATION,,,,,,,
NORTHERN BL/MURRAY ST,,,,,,,,0.271 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,0.189 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 AV /138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,
College Point Depot (CP),1.922 BAY TERRACE BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
