,HENRY HUDSON PKY E/W 239 ST,BROADWAY/W 192 ST,BROADWAY/EXTERIOR ST,BROADWAY/W 170 ST,BROADWAY/W 196 ST,BROADWAY/ISHAM ST-W 211 ST,ST NICHOLAS AV/W 167 ST,RIVERDALE AV/GREYSTONE AV,HENRY HUDSON PKY W/W 252 ST,HENRY HUDSON PKY E/W 252 ST,W 231 ST/CORLEAR AV,W 231 ST/TIBBETT AV,BROADWAY/RIVERSIDE DR,BROADWAY/W 173 ST,BROADWAY/DONGAN PL,HENRY HUDSON PKY W/W 246 ST,BROADWAY/W 185 ST,BROADWAY/W 189 ST,BROADWAY/W 218 ST,BROADWAY/W 213 ST,BROADWAY/W 220 ST,BROADWAY/W 225 ST,HENRY HUDSON PKY W/W 249 ST,BROADWAY/W 175 ST,BROADWAY/W 228 ST,W 239 ST/RIVERDALE AV,BROADWAY/FAIRVIEW AV,RIVERDALE AV/W 256 ST,BROADWAY/W 204 ST,BROADWAY/ARDEN ST,RIVERDALE AV/W 254 ST,RIVERDALE AV/W 261 ST,RIVERDALE AV/W 236 ST,BROADWAY/ISHAM ST,BROADWAY/W 187 ST,W 231 ST/BROADWAY,BROADWAY/W 215 ST,W 231 ST/KINGSBRIDGE AV,BROADWAY/W 190 ST,BROADWAY/W 176 ST,BROADWAY/W 171 ST,BROADWAY/W 183 ST,BROADWAY/DYCKMAN ST,BROADWAY/W 193 ST,RIVERDALE AV/W 238 ST,BROADWAY/SHERMAN AV,BROADWAY/W 174 ST,W 230 ST/BROADWAY,BROADWAY/W 168 ST,BROADWAY/BENNETT AV,BROADWAY/W 181 ST,HENRY HUDSON PKY E/W 246 ST,BROADWAY/W 207 ST,BROADWAY/W 178 ST,HENRY HUDSON PKY E/W 250 ST,RIVERDALE AV/W 260 ST,KINGSBRIDGE AV/W 230 ST,RIVERDALE AV/W 259 ST,BROADWAY/W 172 ST,RIVERDALE AV/W 263 ST,W 231 ST/RIVERDALE AV,BROADWAY/ACADEMY ST,Kingsbridge Depot (KB)
BROADWAY/W 220 ST,,,,,,,,,,,,,,,,,,,0.205 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,1.604 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 225 ST,,,,,,,,,,,,,,,,,,,,,0.315 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,1.715 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 249 ST,,,,,,,,,,,,,,,,0.423 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337 RIVERDALE 263 ST,,,,,,,,,
BROADWAY/W 228 ST,,,1.462 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,0.18 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 239 ST/RIVERDALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,
BROADWAY/FAIRVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/W 256 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 RIVERDALE 263 ST,,,,,
BROADWAY/W 204 ST,,,,,,0.336 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 WASHINGTON HEIGHTS 168 ST via BROADWAY,
BROADWAY/ARDEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/W 254 ST,,,,,,,,,0.31 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,0.255 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/W 261 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,0.237 RIVERDALE 263 ST,,,
RIVERDALE AV/W 236 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 RIVERDALE 263 ST,,,,,,,,,,,,,,,,0.595 WASHINGTON HEIGHTS 168 ST via BROADWAY,,
BROADWAY/ISHAM ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,
BROADWAY/W 187 ST,,,,,,,,,,,,,,,,,0.171 WASHINGTON HEIGHTS 168 ST via BROADWAY,0.105 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 215 ST,,,,,,,,,,,,,,,,,,,0.701 RIVERDALE 263 ST,0.112 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.075 to depot of Bx7
W 231 ST/KINGSBRIDGE AV,,,,,,,,,,,,0.19 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 190 ST,,,,,,,,,,,,,,,,,,0.13 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 176 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,
BROADWAY/W 171 ST,,,,,,,,,,,,,,0.138 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
