,BAY ST/CLINTON ST,VANDERBILT AV/PARK HILL LA,RICHMOND RD/BANCROFT AV,RICHMOND RD/SEAVER AV,NEW DORP LA/2 ST,NEW DORP LA/CEDAR GROVE AV,RICHMOND RD/DELLWOOD RD,NEW DORP LA/FINLEY AV,NEW DORP LA/ROMA AV,NEW DORP LA/NEW DORP PZ,RICHMOND RD/GREELEY AV,EBBITTS ST/CUBA AV,MILL RD/PROMENADE AV,NEW DORP LA/EDISON ST,NEW DORP LA/HYLAN BL,EBBITTS ST/FINLEY AV,TARGEE ST/SOBEL CT,CEDAR GROVE AV/CEDAR GROVE CT,VANDERBILT AV/VAN DUZER ST,MILL RD/TYSENS LA,VANDERBILT AV/OSGOOD AV,RICHMOND RD/SPRING ST,MILL RD/ISERNIA AV,NEW DORP LA/MILL RD,NEW DORP LA/10 ST,MILL RD/ISABELLA AV,BAY ST/WAVE ST,CEDAR GROVE AV/GARIBALDI AV,BAY ST/SANDS ST,BAY ST/BAYLEY SETON HOSPITAL,NEW DORP LA/CUBA AV,VANDERBILT AV/PLEASANT PL,TARGEE ST/ROME AV,RICHMOND RD/STEELE AV,RICHMOND RD/BURGHER AV,ST GEORGE FERRY/S 76 & S86,RICHMOND RD/ROME AV,VANDERBILT AV/ROFF ST,EBBITTS ST/MANILA PL,MILL RD/PETER AV,RICHMOND RD/DOUGLAS RD,RICHMOND RD/NORDEN ST,BAY ST/VAN DUZER EXT,RICHMOND RD/SEAVIEW AV,RICHMOND RD/HUNTON ST,CEDAR GROVE AV/NEW DORP LA,TARGEE ST/CLOVE RD,MILL RD/AVISTON ST,VANDERBILT AV/ERRINGTON PL,BAY ST/VICTORY BL,RICHMOND RD/DONGAN HILLS AV,VANDERBILT AV/IRVING PL,ST GEORGE FERRY/ST GEORGE FERRY,EBBITTS ST/CEDAR GROVE AV,RICHMOND RD/OLD TOWN RD,TARGEE ST/PALMA DR,VANDERBILT AV/HILLSIDE AV,BAY ST/THOMPSON ST,MILL RD/GUYON AV,CEDAR GROVE AV/MAPLE TER,RICHMOND RD/ALTAMONT ST,RICHMOND RD/FOUR CORNERS RD,TARGEE ST/VANDERBILT AV,VANDERBILT AV/TOMPKINS AV,BAY ST/VANDERBILT AV,BAY ST/HANNAH ST,TARGEE ST/DE KALB ST,RICHMOND RD/DE KALB ST,RICHMOND RD/RARITAN AV,CEDAR GROVE AV/TOPPING ST,MILL RD/DEWITT AV,EBBITTS ST/WINHAM AV,BAY ST/WATER ST,MILL RD/STONEHAM ST,MILL RD/ROBERTS DR,NEW DORP LA/WINHAM AV,TARGEE ST/DOCTORS HOSPITAL,BAY ST/CENTRAL AV,MILL RD/FOX LA,RICHMOND RD/NEW DORP LA,EBBITTS ST/ROMA AV,RICHMOND RD/MARK ST,RICHMOND RD/LINCOLN AV,RICHMOND RD/LONGVIEW RD,BAY ST/BROAD ST,BAY ST/NICK LAPORTE PL,TARGEE ST/W FINGERBOARD RD,TARGEE ST/STEUBEN ST,BAY ST/BOROUGH PL,MILL RD/TARLTON ST,RICHMOND RD/HUNTER AV,BAY ST/GRANT ST,CEDAR GROVE AV/EBBITTS ST,RICHMOND RD/BARTON AV,BAY ST/PROSPECT ST,RICHMOND RD/LOCUST AV,CEDER GROVE AV/WAVE CREST AV,RICHMOND RD/HULL AV,RICHMOND RD/NARROWS RD S,TARGEE ST/BALTIC AV,NEW DORP LA/CLAWSON ST,RICHMOND RD/EDGAR PL,RICHMOND RD/MIDLAND AV,RICHMOND RD/TODT HILL RD,NEW DORP LA/3 ST,VANDERBILT AV/BAYLEY SETON HOSPITAL,RICHMOND RD/TARGEE ST,NEW DORP LA/WINHAM ST,MILL RD/EBBITTS ST,BAY ST/SLOSSON TE,RICHMOND RD/BUEL AV,BAY ST/WILLIAM ST,Yukon Depot (YU)
MILL RD/PROMENADE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW DORP LA/EDISON ST,,,,,,,,,,0.284 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW DORP LA/HYLAN BL,,,,,,,,,,,,,,,,,,,,,,,,0.908 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.448 ST GEORGE FERRY,,,,,,,,,,,,
EBBITTS ST/FINLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 OAKWOOD MILL RD,,,,,,,,,0.152 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/SOBEL CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDAR GROVE AV/CEDAR GROVE CT,,,,,,,,,,,,,,,,,,0.0 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANDERBILT AV/VAN DUZER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILL RD/TYSENS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364 ST GEORGE FERRY,,,,
VANDERBILT AV/OSGOOD AV,,0.249 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/SPRING ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILL RD/ISERNIA AV,,,,,,,,,,,,,,,,,,,,0.137 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW DORP LA/MILL RD,,,,,,,,,,,,,,,1.61 ST GEORGE FERRY,,,,,,,,,,,,,,,,0.902 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW DORP LA/10 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 OAKWOOD MILL RD,,,,,,,,,,,,
MILL RD/ISABELLA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/WAVE ST,0.276 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDAR GROVE AV/GARIBALDI AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,
BAY ST/SANDS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,
BAY ST/BAYLEY SETON HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 OAKWOOD MILL RD,,,,,,,
NEW DORP LA/CUBA AV,,,,,,,,,,,,,,,,,,,,,,,,0.158 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANDERBILT AV/PLEASANT PL,,,,,,,,,,,,,,,,,,,,,0.19 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/ROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/STEELE AV,,,,,0.224 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147 ST GEORGE FERRY,,,,,,,,,,,,,,,,,
RICHMOND RD/BURGHER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 OAKWOOD MILL RD,,,,,,,,,,,,,0.22 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/S 76 & S86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/ROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315 OAKWOOD MILL RD,,,,,,
VANDERBILT AV/ROFF ST,,,,,,,,,,,,,,,,,,,,,0.261 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBBITTS ST/MANILA PL,,,,,,,,,,,,,,,,0.139 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILL RD/PETER AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/DOUGLAS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.005 OAKWOOD MILL RD,,,,,,,,,,,
RICHMOND RD/NORDEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327 OAKWOOD MILL RD,,,,,,,0.188 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/VAN DUZER EXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/HUNTON ST,,,,,,,0.212 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDAR GROVE AV/NEW DORP LA,,,,,,,,,0.269 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/CLOVE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILL RD/AVISTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,
VANDERBILT AV/ERRINGTON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/VICTORY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373 ST GEORGE FERRY,,,
RICHMOND RD/DONGAN HILLS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANDERBILT AV/IRVING PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBBITTS ST/CEDAR GROVE AV,,,,,,,,,,,,,,,,,,0.138 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/OLD TOWN RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/PALMA DR,,,,,,,,,,,,,,,,,0.224 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANDERBILT AV/HILLSIDE AV,,,,,,,,,,,,,,,,,,,0.281 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/THOMPSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILL RD/GUYON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDAR GROVE AV/MAPLE TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/ALTAMONT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/FOUR CORNERS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 OAKWOOD MILL RD,,
TARGEE ST/VANDERBILT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANDERBILT AV/TOMPKINS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 OAKWOOD MILL RD,,,,,,,,,,,,,,,,,0.319 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/VANDERBILT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/HANNAH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/DE KALB ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,
