,W 42 ST/8 AV,VETERANS RD E/ARTHUR KILL RD,HYLAN BL/WOODVALE AV,5 AV/W 46 ST,ARTHUR KILL RD/VETERANS RD W,HYLAN BL/CHELSEA ST,HYLAN BL/BEDELL AV,E 57 ST/MADISON AV,ROSSVILLE AV/OPP CORRELL AV,HYLAN BL/BAY VIEW AV,ROSSVILLE AV/POND ST,E 57 ST/ LEXINGTON AV,ROSSVILLE AV/CORRELL AV,E 57 ST/LEXINGTON AV,ROSSVILLE AV/WOODROW RD,ROSSVILLE AV/BARRY  ST,CRAIG AV/HYLAN BL,ROSSVILLE AV/VETERANS RD W,5 AV/W 54 ST,ARTHUR KILL RD/WEST SERVICE RD,HYLAN BL/SPRAGUE AV,MADISON AV/E 55  ST,HYLAN BL/BAYVIEW AV,WEST SHORE EXP/VICTORY BL,W 42 ST/AV OF THE AMERICAS,SEGUINE AV/DIRENZO CT,W 42 ST/6 AV,HYLAN BL/BRIGHTON ST,MADISON AV/E 48 ST,FOSTER RD/ALBOURNE AV,GLEN ST/VICTORY BL,W 42 ST/5 AV,SEGUINE AV/WATERBURY AV,W 42 ST/7 AV,FOSTER RD/RAMONA AV,FOSTER RD/RATBURN AV,HYLAN BL/CRAIG AV,Charleston Depot (CH)
MADISON AV/E 48 ST,,,,,,,,,,,,,,,,,,,,,,0.524 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,
FOSTER RD/ALBOURNE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505 TOTTENVILLE via ROSSVILLE AV via FOSTER,,0.802 MIDTOWN via 42 ST via MADISON AV,,,
GLEN ST/VICTORY BL,37.371 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 42 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.311 TOTTENVILLE via ROSSVILLE AV via FOSTER,,,,0.84 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,
SEGUINE AV/WATERBURY AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.616 TOTTENVILLE via ROSSVILLE AV via FOSTER,,,,0.505 MIDTOWN via 42 ST via MADISON AV,,,,,,,,
W 42 ST/7 AV,0.274 TOTTENVILLE via ROSSVILLE AV via FOSTER,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,
FOSTER RD/RAMONA AV,,,,,,,,,,,,,,,1.117 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,
FOSTER RD/RATBURN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88 TOTTENVILLE via ROSSVILLE AV via FOSTER,,,,,,,,
HYLAN BL/CRAIG AV,,,,,,,,,,,,,,,,,0.019 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,
Charleston Depot (CH),,,,,,,3.551 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
