,3 AV/44 ST,3 AV/94 ST,3 AV/54 ST,3 AV/DE GRAW ST,3 AV/BAY RIDGE PY,3 AV/25 ST,3 AV/42 ST,3 AV/BALTIC ST,3 AV/29 ST,3 AV/90 ST,ATLANTIC AV/4 AV,3 AV/WARREN ST,3 AV/58 ST,3 AV/78 ST,3 AV/8 ST,4 AV/99 ST,3 AV/86 ST,3 AV/47 ST,3 AV/52 ST,3 AV/61 ST,3 AV/77 ST,3 AV/65 ST,3 AV/80 ST,3 AV/82 ST,3 AV/3 ST,3 AV/30 ST,3 AV/92 ST,3 AV/95 ST,3 AV/21 ST,3 AV/33 ST,3 AV/56 ST,3 AV/39 ST,4 AV/DEAN ST,3 AV/97 ST,3 AV/88 ST,SHORE RD/4 AV,3 AV/72 ST,3 AV/CARROLL ST,3 AV/60 ST,3 AV/46 ST,3 AV/26 ST,3 AV/34 ST,3 AV/BUTLER ST,4 AV/100 ST,3 AV/14 ST,3 AV/6 ST,3 AV/53 ST,3 AV/BERGEN ST,3 AV/23 ST,3 AV/DOUGLASS ST,3 AV/BAY RIDGE AV,3 AV/43 ST,3 AV/37 ST,3 AV/49 ST,3 AV/89 ST,3 AV/20 ST,3 AV/12 ST,3 AV/41 ST,3 AV/50 ST,3 AV/10 ST,3 AV/MARINE AV,3 AV/SENATOR ST,3 AV/15 ST,3 AV/83 ST,3 AV/UNION ST,Jackie Gleason Depot (JG)
4 AV/DEAN ST,,,,,,,,,,,,0.509 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/97 ST,,0.27 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,0.322 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/88 ST,,,,,,,,,,,,,,,,,0.118 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE RD/4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,
3 AV/72 ST,,,,,0.258 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,
3 AV/CARROLL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 ATLANTIC AV BARCLAYS CENTER via 3 AV,
3 AV/60 ST,,,,,,,,,,,,,6.907 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/46 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,
3 AV/26 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,
3 AV/34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.346 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.645 to depot of B37
3 AV/BUTLER ST,,,,0.083 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 AV/100 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.574 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/6 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.248 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 BAY RIDGE SHORE RD via 3 AV,,,,,,
3 AV/53 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,
3 AV/BERGEN ST,,,,,,,,,,,0.35 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/23 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,
3 AV/DOUGLASS ST,,,,,,,,0.165 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/BAY RIDGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.195 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,
3 AV/43 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.428 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,16.337 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/49 ST,,,,,,,,,,,,,,,,,,,0.236 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/20 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,
3 AV/12 ST,,,,,,,,,,,,,,,0.271 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,
3 AV/41 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,
3 AV/50 ST,,,,,,,,,,,,,,,,,,0.227 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/10 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,
3 AV/MARINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/SENATOR ST,,,,,,,,,,,,,,,,,,,,,,0.249 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,
3 AV/15 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,
3 AV/83 ST,,,,,,,,,,,,,,,,,0.299 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/UNION ST,,,,,,,,,,,,,,,,,,,,,,,,,0.52 BAY RIDGE SHORE RD via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.234 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.634 ATLANTIC AV BARCLAYS CENTER via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,
