,HALSEY ST/HOWARD AV,FULTON ST/ADELPHI ST,CADMAN PLZ W/MONTAGUE ST,JAY ST/TILLARY ST,JORALEMON ST/COURT ST,FULTON ST/GREENE AV,FULTON ST/S ELLIOTT PL,FULTON ST/CLINTON AV,FULTON ST/WASHINGTON AV,WYCKOFF AV / PALMETTO ST,WYCKOFF AV/MADISON ST,HALSEY ST/KNICKERBOCKER AV,HALSEY ST/EVERGREEN AV,WYCKOFF ST/PALMETTO ST,HALSEY ST/IRVING AV,HALSEY ST/THROOP AV,FULTON ST/JAY ST,HALSEY ST/RALPH AV,FULTON ST/LAFAYETTE AV,FULTON ST/VANDERBILT AV,HALSEY ST/SARATOGA AV,FULTON ST/HOYT ST,FULTON ST/ROCKWELL PL,HALSEY ST/BEDFORD AV,TILLARY ST/ADAMS ST,FULTON ST/CLERMONT AV,FULTON ST/CARLTON AV,PUTNAM AV/NOSTRAND AV,WYCKOFF AV/WEIRFIELD ST,PUTNAM AV/FRANKLIN AV,PUTNAM AV/CLASSON AV,FULTON ST/HUDSON AV,FULTON ST/GRAND  AV,PUTNAM AV/BEDFORD AV,HALSEY ST/MALCOLM X BL,FULTON ST/DUFFIELD ST,FULTON ST/GRAND AV,FULTON ST/FT GREENE PL,HALSEY ST/PATCHEN AV,WYCKOFF AV/JEFFERSON AV,HALSEY ST/STUYVESANT AV,JAY ST/WILLOUGHBY ST,FULTON ST/BOND ST,HALSEY ST/MARCUS GARVEY BL,HALSEY ST/TOMPKINS AV,FULTON ST/ST JAMES PL,HALSEY ST/MARCY AV,FULTON ST/S PORTLAND AV,HALSEY ST/WYCKOFF AV,HALSEY ST/LEWIS AV,HALSEY ST/WILSON AV,HALSEY ST/CENTRAL AV,CADMAN PZ W/TILLARY ST,HALSEY ST/NOSTRAND AV,HALSEY ST/BROADWAY,HALSEY ST/BUSHWICK AV,Jackie Gleason Depot (JG)
FULTON ST/BOND ST,,,,,,,,,,,,,,,,,,,,,,,0.576 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,1.209 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,
HALSEY ST/MARCUS GARVEY BL,,,,,,,,,,,,,,,,0.255 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 RIDGEWOOD TERM via HALSEY,,,,,,,
HALSEY ST/TOMPKINS AV,,,,,,,,,,,,,,,,0.241 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,
FULTON ST/ST JAMES PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,
HALSEY ST/MARCY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 RIDGEWOOD TERM via HALSEY,,,,,,,,,0.28 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,
FULTON ST/S PORTLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALSEY ST/WYCKOFF AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALSEY ST/LEWIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 RIDGEWOOD TERM via HALSEY,,,0.4 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,
HALSEY ST/WILSON AV,,,,,,,,,,,,0.204 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,
HALSEY ST/CENTRAL AV,,,,,,,,,,,,,0.205 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 RIDGEWOOD TERM via HALSEY,,,,,,
CADMAN PZ W/TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,0.211 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALSEY ST/NOSTRAND AV,,,,,,,,,,,,,,,,,,,,,,,,0.312 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,0.28 RIDGEWOOD TERM via HALSEY,,,,,,,,,,
HALSEY ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,0.21 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 RIDGEWOOD TERM via HALSEY,
HALSEY ST/BUSHWICK AV,,,,,,,,,,,,,0.204 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 DOWNTOWN BKLYN TILLARY ST via HALSEY,,
Jackie Gleason Depot (JG),,,,,,,4.989 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
