,WOODROW RD/HOLCOMB AV,5 AV/W 48 ST,W 42 ST/8 AV,WOODROW RD/BERRY AV W,MADISON AV/E 47 ST,RICHMOND AV/YUKON AV,RICHMOND AV/MERRILL AV,RICHMOND HILL RD/VASSAR ST,RICHMOND AV/ETON PL,RICHMOND AV/YONA AV,W 42 ST/7 AV,W 42 ST/6 AV,RICHMOND AV/CHRISTOPHER LA,RICHMOND AV/SIGNS RD,5 AV/E 55 ST,LAMBERTS LA/RICHMOND AV,LAMBERTS LA/MAY AV,RICHMOND AV/LANDER AV,RICHMOND AV/CARNEGIE AV,W 42 ST/AV OF THE AMERICAS,RICHMOND AV/RIVINGTON AV,ELTINGVILLE/TRANSIT CENTER,MARSH AV/RING RD,MADISON AV/E 54 ST,WOODROW RD/CANTON AV,MARSH AV/WESTPORT ST,E 57 ST/ LEXINGTON AV,RICHMOND AV/DRAPER PL S,E 57 ST/MADISON AV,WOODROW RD/VINELAND AV,RICHMOND AV/FOREST HILL RD,GOETHALS RD N/LAMBERT ST,W 42 ST/5 AV,WOODROW RD/SHOTWELL AV,RICHMOND AV/VICTORY BL,RICHMOND AV/MORANI ST,WOODROW RD/CARLTON BL,WOODROW RD/OAK LA,E 57 ST/LEXINGTON AV,RICHMOND AV/NOME AV,WOODROW RD/BOULDER ST,RICHMOND AV/TRAVIS AV,MARSH AV/WINDHAM LOOP,GOETHALS RD N/SOUTH AV,RICHMOND AV/ROCKLAND AV,MARSH AV/ELMWOOD PK DR,Charleston Depot (CH)
MARSH AV/WESTPORT ST,,,,,,,,0.312 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 57 ST/ LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,
RICHMOND AV/DRAPER PL S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.047 MIDTOWN via 42 ST via MADISON AV,,
E 57 ST/MADISON AV,,,,,,,,,,,,,,,0.613 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,0.312 MIDTOWN via 42 ST via MADISON AV,,,,,,,,
WOODROW RD/VINELAND AV,0.662 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/FOREST HILL RD,,,,,,1.238 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,1.532 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,
GOETHALS RD N/LAMBERT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833 MIDTOWN via 42 ST via MADISON AV,,,
W 42 ST/5 AV,,,,,0.796 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,0.311 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/SHOTWELL AV,,,,0.474 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,
RICHMOND AV/VICTORY BL,,,,,,,,,,,,,,,,,,,0.606 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,0.319 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,
RICHMOND AV/MORANI ST,,,,,,,,,,0.311 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/CARLTON BL,,,,,,,,,,,,,,,,,,,,,,,,,0.565 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,0.586 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,
WOODROW RD/OAK LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,
E 57 ST/LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/NOME AV,,,,,,,,0.826 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,0.335 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,
WOODROW RD/BOULDER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,11.232 to depot of SIM8
RICHMOND AV/TRAVIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,
MARSH AV/WINDHAM LOOP,,,,,,0.921 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398 MIDTOWN via 42 ST via MADISON AV,
GOETHALS RD N/SOUTH AV,,,33.991 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/ROCKLAND AV,,,,,,,,,,,,,,,,,,,,,9.279 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,0.257 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,
MARSH AV/ELMWOOD PK DR,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 MIDTOWN via 42 ST via MADISON AV,,,,,,,,,,,,,,,,,0.858 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,
Charleston Depot (CH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.256 ARDEN HTS via RICHMOND AV via WOODROW RD,,,,,,
