,MC DONALD AV/CORTELYOU RD,7 AV/LINCOLN PL,MC DONALD AV/ALBEMARLE RD,VANDERBILT AV/ATLANTIC AV,7 AV/15 ST,7 AV/6 ST,VANDERBILT AV/DEAN ST,FLATBUSH AV/PARK PL,7 AV/PROSPECT AV,FLATBUSH AV/8 AV,7 AV/19 ST,10 AV/20 ST,20 ST/10 AV,FLUSHING AV/VANDERBILT AV,MC DONALD AV/GREENWOOD AV,FLUSHING AV/NAVY ST,MC DONALD AV/VANDERBILT ST,NAVY ST/SANDS ST,SANDS ST/JAY ST,FLUSHING AV / CLERMONT AV,VANDERBILT AV/DE KALB AV,7 AV/9 ST,FLUSHING AV/N PORTLAND AV,VANDERBILT AV/BERGEN ST,NASSAU ST/GOLD ST,20 ST/8 AV,VANDERBILT AV/MYRTLE AV,VANDERBILT AV/PARK AV,19 ST/8 AV,VANDERBILT AV/PACIFIC ST,7 AV/GARFIELD PL,7 AV/UNION ST,7 AV/13 ST,VANDERBILT AV/WILLOUGHBY AV,VANDERBILT AV/LAFAYETTE AV,7 AV/3 ST,7 AV/STERLING PL,SANDS ST/GOLD ST,SANDS ST/PEARL ST,VANDERBILT AV/PLAZA ST E,MC DONALD AV/CHURCH AV,7 AV/BERKELEY PL,MC DONALD AV/VANDERBILT AV,MC DONALD AV/AV C,MC DONALD AV/CATON AV,7 AV/11 ST,VANDERBILT AV/STERLING PL,VANDERBILT AV/ST MARKS AV,FLUSHING AV/CUMBERLAND ST,VANDERBILT AV/FULTON ST,MC DONALD AV/FT HAMILTON PY,VANDERBILT AV/PROSPECT PL,7 AV/FLATBUSH AV,7 AV/18 ST,19 ST/PROSPECT PK W,FLATBUSH AV/PLAZA ST E,VANDERBILT AV/GREENE AV,FLATBUSH AV/STERLING PL,VANDERBILT AV/PARK PL,MC DONALD AV/TERRACE PL,20 ST/PROSPECT PK W,Jackie Gleason Depot (JG)
FLUSHING AV / CLERMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANDERBILT AV/DE KALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396 DOWNTOWN BKLYN SANDS ST via VANDERBILT,0.357 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/9 ST,,,,,,0.234 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.107 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,
FLUSHING AV/N PORTLAND AV,,,,,,,,,,,,,,,,,,0.49 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,
VANDERBILT AV/BERGEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASSAU ST/GOLD ST,,,,,,,,,,,,,,,,0.247 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 ST/8 AV,,,,,,,,,,,11.36 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANDERBILT AV/MYRTLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,0.176 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANDERBILT AV/PARK AV,,,,,,,,,,,,,,0.226 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,0.3 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 ST/8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.159 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,
VANDERBILT AV/PACIFIC ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,
7 AV/GARFIELD PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.736 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,0.243 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/UNION ST,,0.215 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/13 ST,,,,,1.208 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.244 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,
VANDERBILT AV/WILLOUGHBY AV,,,,,,,,,,,,,,,,,,,,,0.25 KENSINGTON CORTELYOU RD via 7 AV,,,,,,0.176 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANDERBILT AV/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,0.192 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 KENSINGTON CORTELYOU RD via 7 AV,,,,,
7 AV/3 ST,,,,,,1.182 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.248 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/STERLING PL,,,,,,,,0.129 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,
SANDS ST/GOLD ST,,,,,,,,,,,,,,,,,,,0.343 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,0.159 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDS ST/PEARL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,
VANDERBILT AV/PLAZA ST E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,0.151 KENSINGTON CORTELYOU RD via 7 AV,,,,,,
MC DONALD AV/CHURCH AV,,,0.27 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,
