,HEATH AV/ALBANY CRES,GRAND CONCOURSE/CROSS BX EXP OVERPASS,GRAND CONCOURSE/FIELD PL,GRAND CONCOURSE/E 206 ST,GRAND CONCOURSE/E 192 ST,GRAND CONCOURSE/MORRIS AV,SEDGWICK AV/VAN CORTLANDT AV W,GRAND CONCOURSE/E 167 ST,GRAND CONCOURSE/E 204 ST,W MOSHOLU PKY S/JEROME AV,GRAND CONCOURSE/E 203 ST,GRAND CONCOURSE/E MT EDEN AV,W MOSHOLU PY S/PAUL AV,GRAND CONCOURSE/E CLARKE PL,GRAND CONCOURSE/E 149 ST,GRAND CONCOURSE/BEDFORD PK BL,E 149 ST/MORRIS AV,SEDGWICK AV/HILLMAN AV,ALBANY CR/BAILEY AV,GRAND CONCOURSE/E 187 ST,W 231 ST/KINGSBRIDGE AV,GRAND CONCOURSE/VAN CORTLANDT AV E,GRAND CONCOURSE/E 170 ST,W MOSHOLU PKY S/PAUL AV,GRAND CONCOURSE/E 174 ST,W 231 ST/BROADWAY,GRAND CONCOURSE/E 158 ST,GRAND CONCOURSE/E 179 ST,GRAND CONCOURSE/E 196 ST,W 231 ST/BAILEY AV,GRAND CONCOURSE/E 161 ST,GRAND CONCOURSE/E 182 ST,HEATH AV/SUMMIT PL,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE/E KINGSBRIDGE RD,3 AV/E 138 ST,GRAND CONCOURSE/E 180 ST,E 136 ST/LINCOLN AV,SEDGWICK AV/STEVENSON PL 1,RIVERDALE AV/W 231 ST,GRAND CONCOURSE/E 172 ST,GRAND CONCOURSE/E 198 ST,E MOSHOLU PKY S/JEROME AV,W 231 ST/CORLEAR AV,GRAND CONCOURSE/E 181 ST,GRAND CONCOURSE/E 169 ST,GRAND CONCOURSE/E 177 ST,LINCOLN AV/E 137 ST,GRAND CONCOURSE/E 153 ST,3 AV/E 144 ST,GRAND CONCOURSE/E 175 ST,GRAND CONCOURSE/E TREMONT AV,W 231 ST/TIBBETT AV,SEDGWICK AV/FT INDEPENDENCE ST,GRAND CONCOURSE/MINERVA PL,GRAND CONCOURSE/E 165 ST,GRAND CONCOURSE/E FORDHAM RD,GRAND CONCOURSE/E MOSHOLU PY S,SEDGWICK AV/STEVENSON PL 2,E 149 ST/GRAND CONCOURSE,SEDGWICK AV/DICKINSON AV,3 AV/E 140 ST,E 149 ST/MELROSE AV,GRAND CONCOURSE/MC CLELLAN ST,E 149 ST/COURTLANDT AV,GRAND CONCOURSE/MT EDEN AV,GRAND CONCOURSE/E 156 ST,SEDGWICK AV/STEVENSON PL,3 AV/E 142 ST,GRAND CONCOURSE/E 163 ST,SEDGWICK AV/GILES PL,Kingsbridge Depot (KB)
RIVERDALE AV/W 231 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 172 ST,,,,,,,,,,,,,,,,,,,,,,,0.984 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,
GRAND CONCOURSE/E 198 ST,,,,,,,,,,,,,,,,0.344 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E MOSHOLU PKY S/JEROME AV,,,,,,,,,,,,,0.159 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/CORLEAR AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 181 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.019 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 169 ST,,,,,,,,,,,,,,,,,,,,,,,0.491 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 177 ST,,,,,,0.254 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN AV/E 137 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,
GRAND CONCOURSE/E 153 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.122 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,0.754 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,
3 AV/E 144 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,0.166 MOTT HAVEN 138 ST via CONCOURSE,,,
GRAND CONCOURSE/E 175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.909 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/TIBBETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/FT INDEPENDENCE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 MOTT HAVEN 138 ST via CONCOURSE,
GRAND CONCOURSE/MINERVA PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 165 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,0.918 MOTT HAVEN 138 ST via CONCOURSE,,
GRAND CONCOURSE/E FORDHAM RD,,,,,,,,,,,,,,,,,,,,0.52 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,0.835 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E MOSHOLU PY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/STEVENSON PL 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,
E 149 ST/GRAND CONCOURSE,,,,,,,,,,,,,,,,,0.599 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/DICKINSON AV,,,,,,,,,,,,,,,,,,0.252 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,0.4 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
