,260 ST/74 AV,UNION TP/271 ST,UNION TP/PARSONS BL,UNION TP/COMMONWEALTH BL,UNION TP/197 ST,UNION TP/164 ST,UNION TP/235 ST,UNION TP/166 ST,UNION TP/UTOPIA PY,LAKEVILLE RD/ HEWLETT ST,UNION TP/236 ST,LIJ MEDICAL CTR/271 ST,UNION TP/211 ST,260 ST/75 AV,UNION TP/263 ST,UNION TP/258 ST,UNION TP/BELL BL,UNION TP/185 ST,UNION TPKE/260 ST,UNION TP/WINCHESTER BL,260 ST/LITTLE NECK PY,UNION TP/251 ST,LAKEVILLE RD/LIJ MEDICAL RDWY,UNION TP/234 ST,UNION TP/175 ST,UNION TP/CROSS ISLAND PY,UNION TP/168 ST,UNION TP/193 ST,UNION TP/153 ST,UNION TP/226 ST,UNION TP/267 ST,UNION TP/174 ST,UNION TP/141 ST,QUEENS BL/78 AV,UNION TP/179 ST,LAKEVILLE RD/HEWLETT ST,UNION TP/198 ST,QUEENS BL/78 CR,UNION TP/270 ST,UNION TPK/HEWLETT ST,260 ST/UNION TP,UNION TP/KENT ST,UNION TP/190 ST,UNION TP/CLOVERDALE BL,UNION TP/265 ST,UNION TP/FRANCIS LEWIS BL,UNION TP/135 ST,UNION TP/160 ST,UNION TP/171 ST,UNION TP/STEWART RD,UNION TP/222 ST,UNION TP/170 ST,UNION TP/255 ST,UNION TP/256 ST,UNION TP/HOLLIS HILLS TER,UNION TP/VLEIGH PL,260 ST/73 AV,UNION TP/220 PL,UNION TP/CHEVY CHASE ST,UNION TP/188 ST,UNION TP/LITTLE NECK PY,L.I.J.MEDICAL RDWY/271 ST,UNION TP/147 ST,UNION TP/173 ST,UNION TP/183 ST,UNION TP/248 ST,UNION TP/260 ST,UNION TP/150 ST,UNION TP/QUEENS BL,UNION TP/SURREY PL,LITTLE NECK PKY/260 ST,UNION TP/196 ST,LAKEVILLE RD/UNION TPK,UNION TP/SPRINGFIELD BL,UNION TP/165 ST,UNION TP/232 ST,UNION TP/252 ST,UNION TP/MAIN ST,UNION TP/GRAND CENTRAL PY,UNION TP/268 ST,College Point Depot (CP)
UNION TP/258 ST,,,,,,,,,,,,,,,,,,,0.398 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.546 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/BELL BL,,,,,,,,,,,,,0.695 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/185 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,
UNION TPKE/260 ST,,,,,,,,,,,,,,,0.222 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/WINCHESTER BL,,,,,,,1.982 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,0.884 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260 ST/LITTLE NECK PY,,,,,,,,,,,,1.489 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/251 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.687 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,
LAKEVILLE RD/LIJ MEDICAL RDWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/234 ST,,,,,,,,,,,0.17 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/175 ST,,,,,,,,,0.222 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/CROSS ISLAND PY,,,,1.855 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,0.705 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/168 ST,,,,,,,,0.17 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/193 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.936 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,
UNION TP/153 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,
UNION TP/226 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756 KEW GARDENS QUEENS BL via UNION,,,,,24.73 LAKE SUCCESS LIJ HOSPITAL via UNION,,
UNION TP/267 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/141 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 LAKE SUCCESS LIJ HOSPITAL via UNION,,,
QUEENS BL/78 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.348 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,
UNION TP/179 ST,,,,,,,,,1.028 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKEVILLE RD/HEWLETT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/198 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUEENS BL/78 CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.173 to depot of Q46
UNION TP/270 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.582 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,
UNION TPK/HEWLETT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.937 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,
260 ST/UNION TP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.684 LAKE SUCCESS LIJ HOSPITAL via UNION,
UNION TP/KENT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,
UNION TP/190 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.492 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,
UNION TP/CLOVERDALE BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.004 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/265 ST,1.085 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/FRANCIS LEWIS BL,,,,,0.258 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.192 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/160 ST,,,0.191 KEW GARDENS QUEENS BL via UNION,,,0.888 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/171 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/STEWART RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.109 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/222 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,0.67 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,
UNION TP/170 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.732 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,
UNION TP/255 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,
UNION TP/256 ST,,,,,,,,,,,,,,,,0.916 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/HOLLIS HILLS TER,,,,,,,,,,,,,0.305 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.866 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/VLEIGH PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.918 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260 ST/73 AV,,,,,,,,,,,,,,,,,,,,,0.011 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,1.302 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/220 PL,,,,,,,,,,,,,,,,,0.385 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/CHEVY CHASE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,
UNION TP/188 ST,,,,,,,,,,,,,,,,,,0.259 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,0.171 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/LITTLE NECK PY,,,,,,,,,,,,,,,,,,,,,,0.868 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.I.J.MEDICAL RDWY/271 ST,,,,,,,,,,,,,,,,,,,,,,,0.304 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/147 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,0.401 KEW GARDENS QUEENS BL via UNION,,,
UNION TP/173 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.794 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/183 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/248 ST,,,,0.241 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.152 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,
UNION TP/260 ST,,,,,,,,,,,,,,,,0.342 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/150 ST,,,0.292 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.101 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,
UNION TP/QUEENS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.469 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/SURREY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PKY/260 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/196 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.499 KEW GARDENS QUEENS BL via UNION,,,,,,,,,0.231 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKEVILLE RD/UNION TPK,,,,,,,,,,0.152 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/SPRINGFIELD BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,0.192 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/165 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/232 ST,,,,,,,,,,,,,,,,,,,,,,,,0.634 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/252 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.383 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION TP/MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408 KEW GARDENS QUEENS BL via UNION,,,,,,,0.582 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,
UNION TP/GRAND CENTRAL PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.789 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.859 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,
UNION TP/268 ST,,,,,,,,,,,,,,0.927 LAKE SUCCESS LIJ HOSPITAL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.521 KEW GARDENS QUEENS BL via UNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
