,HORACE HARDING EXP/186 ST,HORACE HARDING EXP/164 ST,HILLSIDE AV/187 ST,KISSENA BL/58 AV,HILLSIDE AV/AVON ST,KISSENA BL/CHERRY AV,HORACE HARDING EXP/168 ST,KISSENA BL/ELDER AV,HORACE HARDING EXP/PARSONS BL,KISSENA BL/MAPLE AV,HORACE HARDING EXP/188 ST,HILLSIDE AV/179 ST SUBWAY,MERRICK BL/JAMAICA AVE,188 ST/GRAND CENTRAL PY,168 ST/89 AV,188 ST/186 LA #1,KISSENA BL/POPLAR AV,HORACE HARDING EXP/175 PL,HORACE HARDING EXP/172 ST,HORACE HARDING EXP/185 ST,KISSENA BL/MULBERRY AV,HORACE HARDING EXP/UTOPIA PY,HILLSIDE AV/178 ST,HORACE HARDING EXP/160 ST,188 ST/WEXFORD TER,188 ST/64 AV,HORACE HARDING EXP/156 ST,KISSENA BL/ASH AV,HILLSIDE AV/175 ST,188 ST/87 DR,HORACE HARDING EXP/162 ST,188 ST/HENLEY RD,188 ST/PERTH RD,188 ST/MIDLAND PY,HILLSIDE AV/EDGERTON BL,KISSENA BL/NEGUNDO AV,KISSENA BL/45 AV,KISSENA BL/OAK AV,168 ST/HILLSIDE AV,KISSENA BL/BOOTH MEMORIAL,188 ST/MCLAUGHLIN AV,188 ST/SOHO DR,188 ST/81 AV,HILLSIDE AV/184 ST,MAIN ST/ROOSEVELT AV,HORACE HARDING EXP/170 ST,HORACE HARDING EXP/183 ST,HILLSIDE AV/182 PL,188 ST/73 AV,MERRICK BL/90 AV,168 ST/JAMAICA AV,HILLSIDE AV/171 ST,KISSENA BL/MAIN ST,138 ST/37 AV,188 ST/HORACE HARDING EXP,188 ST/80 RD,HILLSIDE AV/172 ST,188 ST/186 LA #2,188 ST/UNION TP,HORACE HARDING EXP/166 ST,188 ST/69 AV,HORACE HARDING EXP/FRESH MEADOW LA,188 ST/AVON RD,KISSENA BL/BEECH AV,MERRICK BL/JAMAICA AV,KISSENA BL/FRANKLIN AV,188 ST/ABERDEEN RD,HORACE HARDING EXP/64 AV,KISSENA BL/HORACE HARDING EP,KISSENA BL/HOLLY AV,KISSENA BL/SANFORD AV,39 AV/MAIN ST,KISSENA BL/ROSE AV,188 ST/HORACE HARDING EP,KISSENA BL/60 AV,188 ST/75 AV,HILLSIDE AV/169 ST,HORACE HARDING EXP/KISSENA BL,College Point Depot (CP)
HORACE HARDING EXP/175 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/172 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 JAMAICA MERRICK BL,,,,,,,,,,,
HORACE HARDING EXP/185 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.099 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISSENA BL/MULBERRY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/UTOPIA PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.662 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/178 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.488 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/160 ST,,,,,,,,,0.0 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,0.0 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/WEXFORD TER,,,0.479 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/64 AV,,,,,,,,,,,,,,,,1.466 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.223 FLUSHING MAIN ST STATION,,,,,
HORACE HARDING EXP/156 ST,,,,,,,,,2.78 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.376 FLUSHING MAIN ST STATION,,,,,,,,,,
KISSENA BL/ASH AV,,,,,,,,,,0.185 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/175 ST,,,,,,,,,,,,,,,,,,,,,,,0.219 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/87 DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/162 ST,,0.033 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,0.0 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/HENLEY RD,,,,,,,,,,,,,,,,,,,,,,,,,0.267 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,0.158 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/PERTH RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/MIDLAND PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,
HILLSIDE AV/EDGERTON BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,
KISSENA BL/NEGUNDO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302 FLUSHING MAIN ST STATION,,,,,,,,,
KISSENA BL/45 AV,,,,,,0.28 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 JAMAICA MERRICK BL,,,,,,,,,
KISSENA BL/OAK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 JAMAICA MERRICK BL,,,,,,
168 ST/HILLSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 FLUSHING MAIN ST STATION,,
KISSENA BL/BOOTH MEMORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315 JAMAICA MERRICK BL,,,,
188 ST/MCLAUGHLIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,
188 ST/SOHO DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/81 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/184 ST,,,0.241 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN ST/ROOSEVELT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.009 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/170 ST,,,,,,,1.859 FLUSHING MAIN ST STATION,,,,,,,,,,,,0.775 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/183 ST,0.555 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,1.207 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/182 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/73 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,0.226 JAMAICA MERRICK BL,,,
MERRICK BL/90 AV,,,,,,,,,,,,,0.16 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168 ST/JAMAICA AV,,,,,,,,,,,,,,,0.265 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/171 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491 FLUSHING MAIN ST STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KISSENA BL/MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.171 JAMAICA MERRICK BL,,,,,,,,
138 ST/37 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/HORACE HARDING EXP,,,,,,,,,,,,,,,,,,,,,,,,,,0.346 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/80 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 JAMAICA MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
