,BAY ST/SLOSSON TE,WEST SHORE PLAZA/CHELSEA ST,CASTLETON AV/CONYINGHAM AV,CASTLETON AV/RANDALL AV,NICHOLAS AV/CHARLES AV,BAY ST/NICK LAPORTE PL,CASTLETON AV/KISSEL AV,VICTORY BL/BROOK ST,BAY ST/BOROUGH PL,CASTLETON AV/BARD AV,DE RUYTER PL/VAN PELT AV,SOUTH AV/CABLE WAY,UNION AV/BRABANT ST,CASTLETON AV/JEWETT AV,CASTLETON AV/SHARPE AV,WALKER ST/VAN PELT AV,CASTLETON AV/OAKLAND AV,VICTORY BL/JERSEY ST,CASTLETON AV/CLOVE RD,INNIS ST/JOHN ST,CASTLETON AV/CEBRA AV,MORNINGSTAR RD/INNIS ST,CASTLETON AV/CAROLINE ST,SOUTH AV/GOETHALS RD N,CASTLETON AV/ELIZABETH ST,MORNINGSTAR RD/KALVER PL,WALLOON ST/MAPLE PY,CASTLETON AV/HAVENWOOD RD,NICHOLAS AV/CASTLETON AV,BRABANT ST/LOCKMAN AV,CASTLETON AV/BARKER ST,SOUTH AV/TRAVIS AV,TELEPORT DR/SOUTH AV #1,GRANDVIEW AV/BRABANT ST,VICTORY BL/VAN DUZER ST,MAPLE PY/WALLOON ST,CASTLETON AV/BEMENT AV,CASTLETON AV/DAVIS AV,WALKER ST/SIMONSON AV,WALKER ST/PULASKI AV,BRABANT ST/GRANDVIEW AV,WALKER ST/VAN NAME AV,CASTLETON AV/TAYLOR ST,VICTORY BL / BAY ST,SOUTH AV/HILTON HOTEL,CASTLETON AV/WEBSTER AV,SOUTH AV/OPP 1000 SOUTH AV,SOUTH AV/1000 SOUTH AV,VICTORY BL/FREMONT ST,ST GEORGE FERRY/S46 & S96,BAY ST/CENTRAL AV,TELEPORT DR/SOUTH AV #2,INNIS ST/EATON PL,CASTLETON AV/GLEN AV,BRABANT ST/UNION AV,SOUTH AV/AMADOR ST,ST GEORGE FERRY/ST GEORGE FERRY,CASTLETON AV/BRIGHTON AV,CASTLETON AV/HAVEN ESPLANADE,VICTORY BL/MONTGOMERY AV,CASTLETON AV/PORT RICHMOND AV,LINDEN AV/VAN PELT AV,SOUTH AV/TELEPORT DR,CASTLETON AV/TREADWELL AV,INNIS ST/NICHOLAS AV,GRANDVIEW AV/CONTINENTAL PL,CASTLETON AV/HEBERTON AV,GRANDVIEW AV/FOREST AV,CASTLETON AV/N BURGHER AV,TELEPORT DR/CORP COMMONS BLDG,CASTLETON AV/HARBOR VIEW CT,WALKER ST/MORNINGSTAR RD,VICTORY BL/ BROOK ST,SOUTH AV/FOREST AV,CASTLETON AV/N RANDALL AV,CASTLETON AV/WOODSTOCK AV,SOUTH AV/1200 SOUTH AV,VICTORY BL/CEBRA AV,INNIS ST/ST JOSEPH AV,CASTLETON AV/HUNTER PL,CASTLETON AV/NICHOLAS AV,CASTLETON AV/BROADWAY,Yukon Depot (YU)
CASTLETON AV/JEWETT AV,,,,,,,,,,,,,,,,,,,0.299 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,
CASTLETON AV/SHARPE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 WEST SHORE PLZ via CASTLETON,,
WALKER ST/VAN PELT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/OAKLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/JERSEY ST,,,,,,,,,,,,,,,,,,,,,0.362 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331 ST GEORGE FERRY via CASTLETON,,,,,,,,,,
CASTLETON AV/CLOVE RD,,,,,,,,,,,,,,0.299 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INNIS ST/JOHN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,
CASTLETON AV/CEBRA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORNINGSTAR RD/INNIS ST,,,,,,,,,,,,,,,,,,,,0.151 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/CAROLINE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 ST GEORGE FERRY via CASTLETON,
SOUTH AV/GOETHALS RD N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.775 WEST SHORE PLZ via CASTLETON,,,,,,,,1.722 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/ELIZABETH ST,,,,,,,,,,,,,,,,,,,,,,,0.102 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORNINGSTAR RD/KALVER PL,,,,,,,,,,,,,,,,,,,,,,0.212 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,0.253 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLOON ST/MAPLE PY,,,,,,,,,,,0.245 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/HAVENWOOD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 WEST SHORE PLZ via CASTLETON,0.305 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,
