,WALLABOUT ST/WYTHE AV,FRANKLIN AV/ST JOHNS PL,LORIMER ST/METROPOLITAN AV,LORIMER ST/TEN EYCK ST,CLASSON AV/ST JOHNS PL,LORIMER ST/DEVOE ST,CLASSON AV/GATES AV,LORIMER ST/AINSLIE ST,WALLABOUT ST/BEDFORD AV,LYNCH ST/BEDFORD AV,CLASSON AV/LAFAYETTE AV,FRANKLIN AV/PARK AV,WALLABOUT ST/FRANKLIN AV,LORIMER ST/FROST ST,CLASSON AV/EASTERN PY,LORIMER ST/JACKSON ST,CLASSON AV/DE KALB AV,LORIMER ST/MARCY AV,LORIMER ST/BOERUM ST,FRANKLIN AV/WILLOUGHBY AV,NASSAU AV/MORGAN ST,CLASSON AV/FULTON ST,CLASSON AV/STERLING PL,LORIMER ST/GRAND ST,WASHINGTON AV/MONTGOMERY ST,NASSAU AV/MC GUINNESS BL,LORIMER ST/LEE AV,LORIMER ST/DRIGGS AV,LINCOLN RD/FLATBUSH AV,NASSAU AV/VARICK ST,LORIMER ST/MEEKER AV,CLASSON AV/PRESIDENT ST,FRANKLIN AV/BERGEN ST,SULLIVAN PL/WASHINGTON AV,NASSAU AV/NEWEL ST,NASSAU AV/ECKFORD ST,EMPIRE BL/FLATBUSH AV,FRANKLIN AV/FLUSHING AV,NASSAU AV/HUMBOLDT ST,FRANKLIN AV/MYRTLE AV,NASSAU AV/HAUSMAN ST,FRANKLIN AV/MADISON ST,CLASSON AV/WILLOUGHBY AV,FRANKLIN AV/UNION ST,FRANKLIN AV/EASTERN PY,FRANKLIN AV/DE KALB AV,FRANKLIN AV/FULTON ST,LORIMER ST/BAYARD ST,MANHATTAN AV/DRIGGS AV,FRANKLIN AV/PROSPECT PL,LORIMER ST/STAGG ST,FRANKLIN AV/GATES AV,LORIMER ST/NASSAU AV,CLASSON AV/ATLANTIC AV,CLASSON AV/BERGEN ST,LORIMER ST/HARRISON AV,CLASSON AV/PROSPECT PL,CLASSON AV/PUTNAM AV,NASSAU AV/MANHATTAN AV,WASHINGTON AV/SULLIVAN PL,FRANKLIN AV/CARROLL ST,CLASSON AV/FLUSHING AV,FRANKLIN AV/GREENE AV,CLASSON AV/PARK AV,LORIMER ST/MONTROSE AV,WASHINGTON AV/EMPIRE BL,NASSAU AV/VAN DAM ST,LORIMER ST/BROADWAY,MEEKER AV/STEWART AV,FRANKLIN AV/LAFAYETTE AV,FRANKLIN AV/MONTGOMERY ST,LORIMER ST/CONSELYEA ST,LORIMER ST/MESEROLE ST,FRANKLIN AV/PUTNAM AV,LORIMER ST/SKILLMAN AV,CLASSON AV/GREENE AV,CLASSON AV/MYRTLE AV,LORIMER ST/POWERS ST,FRANKLIN AV/STERLING PL,NASSAU AV/KINGSLAND AV,NASSAU AV/MONITOR ST,Jackie Gleason Depot (JG)
CLASSON AV/EASTERN PY,,,,,0.238 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORIMER ST/JACKSON ST,,,,,,,,,,,,,,0.158 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSON AV/DE KALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORIMER ST/MARCY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORIMER ST/BOERUM ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 GREENPOINT MEEKER AV,,,,,,,,,
FRANKLIN AV/WILLOUGHBY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASSAU AV/MORGAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,
CLASSON AV/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,
CLASSON AV/STERLING PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,
LORIMER ST/GRAND ST,,,,0.163 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081 GREENPOINT MEEKER AV,,,,
WASHINGTON AV/MONTGOMERY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASSAU AV/MC GUINNESS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORIMER ST/LEE AV,,,,,,,,,0.283 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.431 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,
LORIMER ST/DRIGGS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN RD/FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.023 to depot of B48
NASSAU AV/VARICK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORIMER ST/MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,
CLASSON AV/PRESIDENT ST,,,,,,,,,,,,,,,0.167 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKLIN AV/BERGEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SULLIVAN PL/WASHINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,
NASSAU AV/NEWEL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASSAU AV/ECKFORD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,
EMPIRE BL/FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,
FRANKLIN AV/FLUSHING AV,,,,,,,,,,,,0.238 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
