,BROADWAY/W 240 ST,E KINGSBRIDGE RD/E 192 ST,BROADWAY/MOSHOLU AV,BROADWAY/EXTERIOR ST,W KINGSBRIDGE RD/KINGSBRIDGE TER,E 180 ST/CROTONA PY,BROADWAY/W 228 ST,E FORDHAM RD/CAMBERLENG AV,E FORDHAM RD/HOFFMAN ST,BROADWAY/W 242 ST,W 225 ST/BROADWAY,BROADWAY/W 234 ST,W KINGSBRIDGE RD/SEDGWICK AV,BROADWAY/W 231 ST,W KINGSBRIDGE RD/JEROME AV,BROADWAY/W 251 ST,SOUTHERN BL/BRONX PK S,BROADWAY/W 238 ST,BROADWAY/W 260 ST,E 180 ST/BOSTON RD,BROADWAY/W 246 ST,E FORDHAM RD/CAMBRELENG AV,E TREMONT AV/E 177 ST,E FORDHAM RD/3 AV,BROADWAY/TIM HENDRICK PL,W KINGSBRIDGE RD/HEATH AV,W KINGSBRIDGE RD/UNIVERSITY AV,BROADWAY/VAN CORTLANDT PK S,E KINGSBRIDGE RD/E192 ST,E KINGSBRIDGE RD/E FORDHAM RD,SOUTHERN BL/E FORDHAM RD,SOUTHERN BL/E 182 ST,E FORDHAM RD/DECATUR AV,BROADWAY/W 236 ST,W KINGSBRIDGE RD/BAILEY AV,BROADWAY/LAKE VIEW PL,BROADWAY/W 254 ST,SOUTHERN BL/E 189 ST,E FORDHAM RD/BATHGATE AV,SOUTHERN BL/E 183 ST,SOUTHERN BL/E 187 ST,DEVOE AV/LEBANON ST,BROADWAY/KIMBERLY PL,E 180 ST/MOHEGAN AV,E KINGSBRIDGE RD/GRAND CONCOURSE,E 180 ST/DALY AV,BOSTON RD/E 178 ST,BROADWAY/W 262 ST,BOSTON RD/E 180 ST,Kingsbridge Depot (KB)
W KINGSBRIDGE RD/HEATH AV,,,,,0.265 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W KINGSBRIDGE RD/UNIVERSITY AV,,,,,,,,,,,,,0.282 RIVERDALE 262 ST,,0.323 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/VAN CORTLANDT PK S,,,,,,,,,,0.42 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E KINGSBRIDGE RD/E192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 WEST FARMS,,,,,,,,,,,,,,,,,,,,
E KINGSBRIDGE RD/E FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,0.662 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414 WEST FARMS,,,,,,,,,
SOUTHERN BL/E 182 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378 WEST FARMS,,,,,,
E FORDHAM RD/DECATUR AV,,0.328 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 236 ST,,,,,,,,,,,,1.121 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W KINGSBRIDGE RD/BAILEY AV,,,,,,,,,,,0.348 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/LAKE VIEW PL,,,,,,,,,,,,,,,,0.317 WEST FARMS,,,,,,,,,,,,,,,,,,,,,0.882 RIVERDALE 262 ST,,,,,,,,,,,,,
BROADWAY/W 254 ST,,,0.576 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 WEST FARMS,,,,,,,,,,,,,,
SOUTHERN BL/E 189 ST,,,,,,,,1.059 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
