,VAN SICLEN AV/COZINE AV,PENNSYLVANIA AV/SUTTER AV,PENNSYLVANIA AV/HORNELL LOOP,VANDALIA AV/VAN SICLEN AV,SEAVIEW AV/PENNSYLVANIA AV,JAMAICA AV/GEORGIA AV,NEW LOTS AV/PENNSYLVANIA AV,JAMAICA AV/HERKIMER ST,VANDALIA AV/BETHEL LOOP,ERSKINE ST/GATEWAY DR,PENNSYLVANIA AV/VANDALIA AV,VAN SICLEN AV/STANLEY AV,PENNSYLVANIA AV/PITKIN AV,PENNSYLVANIA AV/ATLANTIC AV,NEW LOTS AV/WYONA ST,PENNSYLVANIA AV/BELMONT AV,VAN SINDEREN AVFULTON ST,VAN SINDEREN AV/FULTON ST,NEW LOTS AV/VERMONT ST,PENNSYLVANIA AV/NEW LOTS AV,PENNSYLVANIA AV/LIVONIA AV,PENNSYLVANIA AV/SCHROEDERS AV,VAN SICLEN AV/FLATLANDS AV,NEW LOTS AV/BRADFORD ST,PENNSYLVANIA AV/SEAVIEW AV,VAN SICLEN AV/HEGEMAN AV,VANDALIA AV/ARDSLEY LOOP,PENNSYLVANIA AV/BLAKE AV,VAN SICLEN AV/LINDEN BL,NEW LOTS AV/MILLER AV,VAN SICLEN AV/WORTMAN AV,PENNSYLVANIA AV/GENEVA LOOP,JAMAICA AV/FANCHON PL,PENNSYLVANIA AV/RIVERDALE AV,PENNSYLVANIA AV/DELMAR LOOP N,PENNSYLVANIA AV/DUMONT AV,GATEWAY DR/ERSKINE ST,PENNSYLVANIA AV/LIBERTY AV,GATEWAY CTR TERM/GATEWAY DR,Jackie Gleason Depot (JG)
VAN SICLEN AV/HEGEMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 SPRING CREEK GATEWAY MALL,0.321 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,
VANDALIA AV/ARDSLEY LOOP,,,,,,,,,,,0.221 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA AV/BLAKE AV,,0.175 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 SPRING CREEK GATEWAY MALL,,,,
VAN SICLEN AV/LINDEN BL,,,,,,,,,,,,0.239 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,0.146 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,,,
NEW LOTS AV/MILLER AV,,,,,,,,,,,,,,,0.167 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,0.314 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,
VAN SICLEN AV/WORTMAN AV,0.192 SPRING CREEK GATEWAY MALL,,,,,,,,,,,0.208 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA AV/GENEVA LOOP,,,,,,,,,,,,,,,,,,,,,,0.621 BROADWAY JCT VAN SINDEREN AV,,,0.311 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,
JAMAICA AV/FANCHON PL,,,,,,,,0.234 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA AV/RIVERDALE AV,,,,,,,0.164 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,0.174 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA AV/DELMAR LOOP N,,,,,,,,,0.447 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA AV/DUMONT AV,,,,,,,,,,,,,,,,,,,,,0.175 SPRING CREEK GATEWAY MALL,,,,,,,0.174 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,
GATEWAY DR/ERSKINE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.218 SPRING CREEK GATEWAY MALL,
PENNSYLVANIA AV/LIBERTY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.925 BROADWAY JCT VAN SINDEREN AV,,,,,,,
GATEWAY CTR TERM/GATEWAY DR,,,,,2.053 SPRING CREEK GATEWAY MALL,,,,,1.438 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,10.633 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,,,,,,,,,,,,
