,LINDEN BL/SHEPHERD AV,PENNSYLVANIA AV/NEW LOTS AV,BROADWAY/COOPER ST,COVERT ST/WYCKOFF AV,SUMMERFIELD ST/CYPRESS AV,SCHAEFER ST/WILSON AV,POSTAL FACILITY RD/IN FRONT OF FACILITY,PENNSYLVANIA AV/PITKIN AV,FRESH POND RD/MYRTLE AV,PUTNAM AV/FOREST AV,SUMMERFIELD ST/MYRTLE AV,BROADWAY/ROCKAWAY AV,WORTMAN AV/VERMONT ST,JAMAICA AV/FANCHON PL,LINDEN BL/EUCLID AV,ASHFORD ST/LINDEN BL,JAMAICA AV/BROADWAY,DECATUR ST/CENTRAL AV,LINDEN BL/AUTUMN AV,BROADWAY/CHAUNCEY ST,DECATUR ST/MYRTLE AV,SCHAEFER ST/CENTRAL AV,BROADWAY/GRANITE ST,WORTMAN AV/SCHENCK AV,SCHAEFER ST/KNICKERBOCKER AV,PENNSYLVANIA AV/HEGEMAN AV,PENNSYLVANIA AV/ATLANTIC AV,DECATUR ST/BUSHWICK AV,PENNSYLVANIA AV/LIBERTY AV,LINDEN BL/CRESCENT ST,WORTMAN AV/PENNSYLVANIA AV,SUMMERFIELD ST/SENECA AV,PENNSYLVANIA AV/LIVONIA AV,ELDERT LA/LINDEN BL,STANLEY AV/ELDERT LA,LINDEN BL/ATKINS AV,WORTMAN AV/BARBEY ST,BROADWAY/ABERDEEN ST,SUMMERFIELD ST/WYCKOFF AV,DECATUR ST/IRVING AV,VAN SINDEREN AV/BROADWAY,PUTNAM AV/FRESH POND RD,LINDEN BL/SHERIDAN AV,SCHAEFER ST/BUSHWICK AV,DECATUR ST/CYPRESS AV,VAN SINDEREN AV/FULTON ST,PENNSYLVANIA AV/WORTMAN AV,DECATUR ST/FOREST AV,PENNSYLVANIA AV/BELMONT AV,PENNSYLVANIA AV/STANLEY AV,WORTMAN AV/VAN SICLEN AV,SUMMERFIELD ST/FOREST AV,BROADWAY/HULL ST,DECATUR ST/SENECA AV,STANLEY AV/SHERIDAN AV,DECATUR ST/KNICKERBOCKER AV,FULTON ST/SHEFFIELD AV,LINDEN BL/ESSEX ST,DECATUR ST/WYCKOFF AV,PENNSYLVANIA AV/LINDEN BL,PENNSYLVANIA AV/RIVERDALE AV,IRVING AV/COVERT ST,67 AV/FRESH POND RD,ASHFORD ST/WORTMAN AV,DECATUR ST/WILSON AV,ELDERT LA/LORING AV,FRESH POND RD/70 AV,ASHFORD ST/STANLEY AV,PUTNAM AV/FAIRVIEW AV,FULTON ST/ALABAMA AV,PENNSYLVANIA AV/BLAKE AV,67 AV/60 ST,PENNSYLVANIA AV/SUTTER AV,SCHAEFER ST/BROADWAY,LINDEN BL/ELDERT LA,WORTMAN AV/JEROME ST,DECATUR ST/EVERGREEN AV,PENNSYLVANIA AV/DUMONT AV,BROADWAY/EASTERN PY,FRESH POND RD/68 AV,SCHAEFER ST/EVERGREEN AV,LINDEN BL/LOGAN ST,FRESH POND RD/CATALPA AV,Jackie Gleason Depot (JG)
PENNSYLVANIA AV/HEGEMAN AV,,0.244 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.553 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA AV/ATLANTIC AV,,,,,,,,0.437 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECATUR ST/BUSHWICK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 RIDGEWOOD FOREST AV,,,,,,,
PENNSYLVANIA AV/LIBERTY AV,,,,,,,,,,,,,,0.925 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,0.0 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/CRESCENT ST,,,,,,,,,,,,,,,0.223 RIDGEWOOD FOREST AV,,,,0.169 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORTMAN AV/PENNSYLVANIA AV,,,,,,,,,,,,,0.151 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMMERFIELD ST/SENECA AV,,,,,0.158 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA AV/LIVONIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,0.175 RIDGEWOOD FOREST AV,,,,,,
ELDERT LA/LINDEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,0.0 RIDGEWOOD FOREST AV,,,,,,,,,
STANLEY AV/ELDERT LA,,,,,,,0.313 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/ATKINS AV,0.827 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 SPRING CREEK STANLEY AV POSTAL FAC,,
WORTMAN AV/BARBEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/ABERDEEN ST,,,,,,,,,,,,,,,,,,,,,,,0.157 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.815 to depot of B20
SUMMERFIELD ST/WYCKOFF AV,,,,0.106 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECATUR ST/IRVING AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,
VAN SINDEREN AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.859 RIDGEWOOD FOREST AV,,,,,
PUTNAM AV/FRESH POND RD,,,,,,,,,,0.496 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/SHERIDAN AV,,,,,,,,,,,,,,,,,,,1.166 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHAEFER ST/BUSHWICK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,
DECATUR ST/CYPRESS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN SINDEREN AV/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,
PENNSYLVANIA AV/WORTMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECATUR ST/FOREST AV,,,,,,,,,,,,,,,,,,,,,0.25 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA AV/BELMONT AV,,,,,,,,0.15 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,
PENNSYLVANIA AV/STANLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 RIDGEWOOD FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,
