,RIVERDALE AV/W 254 ST,HENRY HUDSON PKY/2735 HENRY HUDSON PKY,VAN CORTLANDT AV W/ORLOFF AV,SEDGWICK AV/STEVENSON PL 2,HENRY HUDSON PKY W/W 239 ST,BAINBRIDGE AV/RESERVOIR OVAL E,BAINBRIDGE AV/E 206 ST,HENRY HUDSON PKY W/W 227 ST,BAILEY AV/W 238 ST,E GUN HILL RD/DEKALB AV,HENRY HUDSON PKY E/W 246 ST,INDEPENDENCE AV/W 237 ST,PAUL AV/W 205 ST,RIVERDALE AV/W 256 ST,W 231 ST/RIVERDALE AV,BAILEY AV/VAN CORTLANDT PK S,SEDGWICK AV/HILLMAN AV,RIVERDALE AV/W 261 ST,RIVERDALE AV/W 263 ST,RIVERDALE AV/W 259 ST,HENRY HUDSON PKY W/INDEPENDENCE AV,W 230 ST/TIBETT AV,HENRY HUDSON PKY W/W 236 ST,W 231 ST/BAILEY AV,HENRY HUDSON PKY W/W 252 ST,PAUL AV/BEDFORD PK BL,E 206 ST/ROCHAMBEAU AV,HENRY HUDSON PKY W/W 237 ST,BAILEY AV/W 233 ST,HENRY HUDSON PKY W/W 232 ST,PAUL AV/W MOSHOLU PY S,KAPPOCK ST/KNOLLS CRES,HENRY HUDSON PKY E/W 239 ST,BEDFORD PK/JEROME AV,BAINBRIDGE AV/VAN CORTLANDT AV E,HENRY HUDSON PKY E/W 227 ST,HENRY HUDSON PKY E/W 250 ST,W 231 ST/BROADWAY,BAINBRIDGE AV/E GUN HILL RD,HENRY HUDSON PKY E/W 232 ST,BAINBRIDGE AV/E 210 ST,HENRY HUDSON PKY E/W 235 ST,VAN CORTLANDT AV E/ROCHAMBEAU AV,HENRY HUDSON PKY W/W 246 ST,E GUN HILL RD/BAINBRIDGE AV,E MOSHOLU PY N/VAN CORTLANDT AV E,IRWIN AV/JOHNSON AV,RIVERDALE AV/W 260 ST,SEDGWICK AV/DICKINSON AV,JEROME AV/E MOSHOLU PY N,W 231 ST/KINGSBRIDGE AV,W 231 ST/TIBBETT AV,W 231 ST/CORLEAR AV,HENRY HUDSON PKY E/W 252 ST,HENRY HUDSON PKY W/W 249 ST,HENRY HUDSON PKY E/W 238 ST,KAPPOCK ST/JOHNSON AV,JEROME AV/E 205 ST,E GUN HILL RD/DE KALB AV,Kingsbridge Depot (KB)
RIVERDALE AV/W 259 ST,,,,,,,,,,,,,,0.312 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 RIVERDALE 263 ST,,,,,,,,,,,,
HENRY HUDSON PKY W/INDEPENDENCE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 230 ST/TIBETT AV,,,,,,,,,,,,,,,0.28 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 236 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/BAILEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 NORWOOD 205 ST STA,,,,,,,,,0.281 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 252 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 NORWOOD 205 ST STA,,,,,
PAUL AV/BEDFORD PK BL,,,,,,,,,,,,,0.27 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,1.519 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,
E 206 ST/ROCHAMBEAU AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.823 RIVERDALE 263 ST,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 237 ST,,,,,,,,,,,,,,,,,,,,,,,0.133 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAILEY AV/W 233 ST,,,,,,,,,0.548 NORWOOD 205 ST STA,,,,,,,,,,,,,,,0.219 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 232 ST,,0.268 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAUL AV/W MOSHOLU PY S,,,,,,,,,,,,,0.541 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482 RIVERDALE 263 ST,,,,,,,,,,,
KAPPOCK ST/KNOLLS CRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,0.228 NORWOOD 205 ST STA,,,
HENRY HUDSON PKY E/W 239 ST,,,,,,,,,,,0.454 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD PK/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,1.519 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58 NORWOOD 205 ST STA,,
BAINBRIDGE AV/VAN CORTLANDT AV E,,,,,,,0.209 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 227 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.423 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 250 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 RIVERDALE 263 ST,,,,,,
W 231 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,0.281 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121 RIVERDALE 263 ST,,,,,,,,,3.538 to depot of Bx10
BAINBRIDGE AV/E GUN HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 232 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,
BAINBRIDGE AV/E 210 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 NORWOOD 205 ST STA,,,,,,,,,,0.171 RIVERDALE 263 ST,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 235 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368 RIVERDALE 263 ST,,,,
VAN CORTLANDT AV E/ROCHAMBEAU AV,,,,,,0.443 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 246 ST,,,,,0.461 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/BAINBRIDGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 RIVERDALE 263 ST,
E MOSHOLU PY N/VAN CORTLANDT AV E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,
IRWIN AV/JOHNSON AV,,,,,,,,,,,,,,,,,,,,,,0.328 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.528 RIVERDALE 263 ST,,,
RIVERDALE AV/W 260 ST,,,,,,,,,,,,,,,,,,0.194 RIVERDALE 263 ST,,0.2 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/DICKINSON AV,,,,,,,,,,,,,,,,,0.252 RIVERDALE 263 ST,,,,,,,,,,,,,,0.468 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEROME AV/E MOSHOLU PY N,,,,,,,,,,0.478 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.576 RIVERDALE 263 ST,,
W 231 ST/KINGSBRIDGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 RIVERDALE 263 ST,,,,,,,,
W 231 ST/TIBBETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441 RIVERDALE 263 ST,,,,,,,,,,,,,
W 231 ST/CORLEAR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 252 ST,0.279 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 249 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.423 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 238 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPPOCK ST/JOHNSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 RIVERDALE 263 ST,,,,,,,,,,,,,,,0.528 NORWOOD 205 ST STA,,,,,,,,,,,,,
JEROME AV/E 205 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58 RIVERDALE 263 ST,,,,,,,,,,,,,,,,0.576 NORWOOD 205 ST STA,,,,,,,,,,
E GUN HILL RD/DE KALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.449 RIVERDALE 263 ST,,,,,,,,,,
Kingsbridge Depot (KB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.275 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,
