,GRAND AV/79 ST,GRAND AV/74 ST,QUEENS BL/WOODHAVEN BL,GRAND AV/47 ST,QUEENS BL/59 AV,METROPOLITAN AV/RODNEY ST,GRAND AV/QUEENS BL,GRAND AV/RUST ST,ROEBLING ST/GRAND ST,JUNCTION BL/HOR HARDING SR RD S,KENT AV/S 6 ST,GRAND AV/HASPEL ST,GRAND AV/69 PL,GRAND AV/71 ST,90 ST/57 AV,GRAND AV/BORDEN AV,BROADWAY/ROEBLING ST,KENT AV/S 3 ST,GRAND ST/WYTHE AV,GRAND AV/84 ST,GARDNER AV/GRAND ST,GRAND AV/72 ST,GRAND ST/BUSHWICK AV,GRAND AV/54 ST,BROADWAY/BEDFORD AV,GRAND AV/REMSEN PL,GRAND ST/OLIVE ST,GRAND AV/MASPETH AV,BROADWAY/KENT AV,GRAND ST/ROEBLING ST,HOR HARDING SER RD S/QUEENS BL,GRAND ST/WATERBURY ST,GRAND AV/59 ST,WYTHE AV/S 3 ST,GRAND AV/VAN HORN ST,GRAND ST/METRO BRIDGE,GRAND ST/UNION AV,GRAND AV/56 ST,GRAND AV/61 ST,GRAND AV/QUEENS MIDTOWN EP,GRAND AV/HAMILTON PL,KENT AV/S 1 ST,GRAND AV/PAGE PL,62 DR/QUEENS BL,BROADWAY/WYTHE AV,GRAND ST/GRAND ST BRIDGE,GRAND AV/58 AV,QUEENS BL/56 AV,WYTHE AV/S 5 ST,GRAND ST/GARDNER AV,METROPOLITAN AV/HAVEMEYER ST,GRAND ST/MORGAN AV,GRAND AV/64 ST,GRAND AV/73 ST,GRAND AV/GOLDSMITH ST,GRAND AV/CALAMUS AV,METROPOLITAN AV/N 5 ST,WYTHE AV/S 1 ST,GRAND ST/LORIMER ST,GRAND AV/66 ST,GRAND ST/BEDFORD AV,GRAND ST/GRAHAM AV,GRAND AV/82 ST,QUEENS BL/62 DR,56 AV/QUEENS BL,METROPOLITAN AV/MACRI SQ,QUEENS BL/55 AV,GRAND ST/METROPOLITAN AV BR,College Point Depot (CP)
GRAND AV/MASPETH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/KENT AV,,,,,,,,,,,0.163 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND ST/ROEBLING ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,
HOR HARDING SER RD S/QUEENS BL,,,,,,,,,,6.582 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND ST/WATERBURY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,
GRAND AV/59 ST,,,,,,,,9.952 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,
WYTHE AV/S 3 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,
GRAND AV/VAN HORN ST,,,,,,,0.25 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND ST/METRO BRIDGE,,,,,,,,,,,,,,,,,,,,,0.667 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND ST/UNION AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,0.392 WILLAMSBURG BRIDGE PLZ via GRAND,,,
GRAND AV/56 ST,,,,,,,,10.311 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,0.194 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/61 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,0.24 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,
GRAND AV/QUEENS MIDTOWN EP,,,,,,,,,,,,,0.28 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/HAMILTON PL,,,,,,,,,,,,,,,,,,,,,,,,,,0.12 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENT AV/S 1 ST,,,,,,,,,,,,,,,,,,,0.201 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/PAGE PL,,,,0.273 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,0.298 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62 DR/QUEENS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 QUEENS BLVD 62 DRIVE via GRAND,,,,,
BROADWAY/WYTHE AV,,,,,,,,,,,,,,,,,,,,,,,,,0.691 WILLAMSBURG BRIDGE PLZ via GRAND,,,,0.308 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND ST/GRAND ST BRIDGE,,,,0.139 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,
GRAND AV/58 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,0.178 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUEENS BL/56 AV,,,0.349 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYTHE AV/S 5 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,
GRAND ST/GARDNER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327 WILLAMSBURG BRIDGE PLZ via GRAND,
METROPOLITAN AV/HAVEMEYER ST,,,,,,1.11 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND ST/MORGAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,0.241 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/64 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,
GRAND AV/73 ST,,0.231 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,0.194 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/GOLDSMITH ST,,,,,,,,,,,,0.17 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/CALAMUS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,
METROPOLITAN AV/N 5 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYTHE AV/S 1 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND ST/LORIMER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,0.425 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,
GRAND AV/66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND ST/BEDFORD AV,,,,,,,,,0.282 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,
GRAND ST/GRAHAM AV,,,,,,,,,,,,,,,,,,,,,,,0.274 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.425 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,
GRAND AV/82 ST,0.189 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUEENS BL/62 DR,,,,,0.559 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56 AV/QUEENS BL,,,,,,,0.353 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN AV/MACRI SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,
QUEENS BL/55 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,
GRAND ST/METROPOLITAN AV BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376 WILLAMSBURG BRIDGE PLZ via GRAND,,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,,,,,6.331 QUEENS BLVD 62 DRIVE via GRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
