,GRAND AV/REMSEN PL,FRESH POND RD/MENAHAN ST,108 ST/MARTENSE AV,CORONA AV/46 AV,FRESH POND RD/GATES AV,PUTNAM AV/WOODWARD AV,CORONA AV/104 ST,PUTNAM AV/FOREST AV,108 ST/HORACE HARDING EXPWY,GRAND AV/72 ST,COLLEGE PT BL/HORACE HARDING EXP,GRAND AV/VAN HORN ST,BROADWAY/QUEENS BL,PALMETTO ST/WYCKOFF AV,PUTNAM AV/MYRTLE AV,GRAND AV/79 ST,GRAND AV/HASPEL ST,BROADWAY/CORONA AV,FLUSHING AV/64 ST,FRESH POND RD/PALMETTO ST,SENECA AV/CORNELIA ST,COLLEGE PT BL/59 AV,FRESH POND RD/59 AV,COLLEGE PT BL/MAPLE AV,FRESH POND RD/59 DR,MADISON ST/CYPRESS AV,GRAND AV/QUEENS BL,COLLEGE PT BL/SANFORD AV,67 AV/FRESH POND RD,CORONA AV/102 ST,FRESH POND RD/BLEECKER ST,GRAND AV/82 ST,41 RD/COLLEGE PT BL,COLLEGE PT BL/58 AV,GRAND AV/84 ST,MADISON ST/ONDERDONK AV,PALMETTO ST/MYRTLE AV,COLLEGE PT BL/AVERY AV,MADISON ST/WOODWARD AV,108 ST/HORACE HARDING EP,FRESH POND RD/WOODBINE ST,GRAND AV/HAMILTON PL,GRAND AV/66 ST,FRESH POND RD/METROPOLITAN AV,FRESH POND RD/60 RD,CORONA AV/91 PL,FRESH POND RD/PUTNAM AV,GRAND AV/BORDEN AV,FRESH POND RD/FLUSHING AV,COLLEGE PT BL/VAN WYCK EY EXIT,CORONA AV/88 ST,41 RD/MAIN ST,FRESH POND RD/LINDEN ST,BROADWAY/JUSTICE AV,PUTNAM AV/WYCKOFF AV,FRESH POND RD / 61ST ST,HORACE HARDING EXP/WALDRON ST,FRESH POND RD/ELIOT AV,CORONA AV/NATIONAL ST,GRAND AV/CALAMUS AV,GRAND AV/73 ST,67 AV/60 ST,CORONA AV/90 ST,108 ST/VAN CLEEF ST,PUTNAM AV/ONDERDONK AV,COLLEGE PT BL/58 RD,108 ST/WALDRON ST,COLLEGE PT BL/FOWLER AV,FRESH POND RD/GROVE ST,COLLEGE PT BL/57 RD,FRESH POND RD/60 AV,CORONA AV/94 ST,CORONA AV/98 PL,CORONA AV/51 AV,GRAND AV/69 PL,COLLEGE PT BL/BOOTH MEMORIAL AV,CORONA AV/JUNCTION BL,MADISON ST/FAIRVIEW AV,108 ST/53 AV,MADISON ST/SENECA AV,GRAND AV/74 ST,GRAND AV/GOLDSMITH ST,CORONA AV/ALSTYNE AV,FAIRVIEW AV/FOREST AV,PUTNAM AV/FRESH POND RD,GRAND AV/71 ST,CORONA AV/93 ST,CYPRESS AV/PALMETTO ST,108 ST/OTIS AV,GRAND AV/QUEENS MIDTOWN EP,College Point Depot (CP)
PUTNAM AV/MYRTLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/79 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 RIDGEWOOD TERM,,,,,,,,,,
GRAND AV/HASPEL ST,,,,,,,,,,,,0.196 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/CORONA AV,,,,,,,,,,,,,0.256 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/64 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 FLUSHING MAIN ST,,,,,,0.211 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/PALMETTO ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 RIDGEWOOD TERM,,,,,,
SENECA AV/CORNELIA ST,,,,,,,,,,,,,,,0.315 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE PT BL/59 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.383 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/59 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.16 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,0.253 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE PT BL/MAPLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/59 DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,
MADISON ST/CYPRESS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 FLUSHING MAIN ST,,,,,,,,,,,
GRAND AV/QUEENS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276 RIDGEWOOD TERM,,,,,,,,,
COLLEGE PT BL/SANFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,
67 AV/FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONA AV/102 ST,,,,,,,0.263 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/BLEECKER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/82 ST,,,,,,,,,,,,,,,,0.189 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41 RD/COLLEGE PT BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.391 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.966 to depot of Q58
COLLEGE PT BL/58 AV,,,,,,,,,,,,,,,,,,,,,,0.515 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/84 ST,,,,,,,,,,,,,,,,,0.205 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON ST/ONDERDONK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALMETTO ST/MYRTLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48 FLUSHING MAIN ST,,,
COLLEGE PT BL/AVERY AV,,,,,,,,,,,,,,,,,,,,,,,,0.164 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON ST/WOODWARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 FLUSHING MAIN ST,,,,,,,,,,,,,
108 ST/HORACE HARDING EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/WOODBINE ST,,,,,0.162 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/HAMILTON PL,0.12 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 FLUSHING MAIN ST,
FRESH POND RD/METROPOLITAN AV,,0.205 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/60 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONA AV/91 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,0.118 FLUSHING MAIN ST,,,,
FRESH POND RD/PUTNAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/BORDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033 RIDGEWOOD TERM,
FRESH POND RD/FLUSHING AV,,,,,,,,,,,,,,,,,,,0.211 FLUSHING MAIN ST,,,,0.253 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE PT BL/VAN WYCK EY EXIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONA AV/88 ST,,,,,,,,,,,,,,,,,,0.185 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41 RD/MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.547 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/LINDEN ST,,,,,,,,,,,,,,,,,,,,0.162 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/JUSTICE AV,,,,,,,,,,,,,,,,,,0.176 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUTNAM AV/WYCKOFF AV,,,,,,,,,,,,,,0.443 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD / 61ST ST,,,,,,,,,,,,,,,,,,,,,,,0.13 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORACE HARDING EXP/WALDRON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/ELIOT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 RIDGEWOOD TERM,0.173 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONA AV/NATIONAL ST,,,,0.199 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/CALAMUS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/73 ST,,,,,,,,,,0.194 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 FLUSHING MAIN ST,,,,,,,,,,
67 AV/60 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONA AV/90 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 FLUSHING MAIN ST,,,,,0.14 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108 ST/VAN CLEEF ST,,,0.439 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUTNAM AV/ONDERDONK AV,,,,,,,,,,,,,,,,,,,,,0.207 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE PT BL/58 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,
108 ST/WALDRON ST,,,,,,,,,0.182 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE PT BL/FOWLER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.655 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/GROVE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE PT BL/57 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 FLUSHING MAIN ST,,,,,,,,,,,,,,,
FRESH POND RD/60 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONA AV/94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 FLUSHING MAIN ST,,,,,,,,,,,,,,
CORONA AV/98 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONA AV/51 AV,,,,,,,0.228 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 FLUSHING MAIN ST,,,,,,,,,,,,
GRAND AV/69 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 FLUSHING MAIN ST,,,,,
COLLEGE PT BL/BOOTH MEMORIAL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.549 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONA AV/JUNCTION BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 RIDGEWOOD TERM,,,,,,,,,,,0.169 FLUSHING MAIN ST,,,,,,,,
MADISON ST/FAIRVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132 FLUSHING MAIN ST,,,,,,,
108 ST/53 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 FLUSHING MAIN ST,,
MADISON ST/SENECA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/74 ST,,,,,,,,,,,,,,,,0.182 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/GOLDSMITH ST,,,,,,,,,,,,,,,,,0.17 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONA AV/ALSTYNE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,
FAIRVIEW AV/FOREST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUTNAM AV/FRESH POND RD,,,,,,,,0.496 RIDGEWOOD TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND AV/71 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORONA AV/93 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,
CYPRESS AV/PALMETTO ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 FLUSHING MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
