,13 AV/39 ST,DAHILL RD/12 AV,13 AV/52 ST,37 ST/13 AV,FT HAMILTON PY/66 ST,FT HAMILTON PY/70 ST,CATON AV/CONEY ISLAND AV,FT HAMILTON PY/60 ST,CATON AV/ARGYLE RD,FT HAMILTON PY/86 ST,7 AV SVC RD S/81 ST,SHORE RD/OLIVER ST,86 ST/3 AV,14 AV/41 ST,4 AV/99 ST,56 ST/13 AV,SHORE RD/NARROWS AV,14 AV/53 ST,57 ST/11 AV,FT HAMILTON PY/72 ST,OCEAN AV/231 OCEAN AVENUE,57 ST/12 AV,12 AV/DAHILL RD,36 ST/CLARA ST,14 AV/39 ST,NARROWS AV/86 ST,14 AV/50 ST,FT HAMILTON PY/BAY RIDGE AV,13 AV/56 ST,CATON AV/OCEAN PY,OCEAN AV/LINCOLN RD,FT HAMILTON PY/64 ST,FT HAMILTON PY/74 ST,56 ST/11 AV,7 AV/79 ST,SHORE RD/RIDGE BL,OCEAN AV/OPP 231 OCEAN AV,OCEAN AV/CATON AV,FT HAMILTON PY/83 ST,13 AV/47 ST,FT HAMILTON PY/68 ST,14 AV/56 ST,14 AV/44 ST,56 ST/12 AV,CATON AV/E 4 ST,13 AV/45 ST,86 ST/COLONIAL RD,LINCOLN RD/FLATBUSH AV,86 ST/5 AV,SHORE RD/4 AV,FT HAMILTON PY/77 ST,SHORE RD/3 AV,FLATBUSH AV/OCEAN AV,13 AV/41 ST,13 AV/49 ST,57 ST/FT HAMILTON PY,FT HAMILTON PY/58 ST,SHORE RD/88 ST,CATON AV/E 5 ST,CATON AV/WESTMINSTER,3 AV/SHORE RD,36 ST/12 AV,OCEAN AV/PARKSIDE AV,86 ST/FT HAMILTON PY,56 ST/NEW UTRECHT AV,13 AV/43 ST,CATON AV/PARADE PL,12 AV/CHESTER AV,CATON AV/E 3 ST,FT HAMILTON PY/62 ST,37 ST/12 AV,NARROWS AV/89 ST,FT HAMILTON PY/BAY RIDGE PY,CATON AV/E 8 ST,13 AV/50 ST,FT HAMILTON PY/7 AV,13 AV/54 ST,86 ST/NARROWS AV,CATON AV/MC DONALD AV,3 AV/MARINE AV,14 AV/47 ST,CATON AV/E 16 ST,7 AV SVC RD S/79 ST,MARINE AV/4 AV,FT HAMILTON PY/81 ST,CATON AV/ST PAULS PL,SHORE RD/91 ST,86 ST/4 AV,56 ST/FT HAMILTON PY,4 AV/100 ST,FT HAMILTON PY/73 ST,36 ST/CHURCH AV,86 ST/RIDGE BL,SHORE RD/97 ST,SHORE RD/99 ST,FT HAMILTON PY/59 ST,CATON AV/RUGBY RD,Jackie Gleason Depot (JG)
14 AV/41 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.158 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 AV/99 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071 BAY RIDGE SHORE RD,,,,,,,,
56 ST/13 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE RD/NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082 BAY RIDGE SHORE RD,,,,,,,,,,,
14 AV/53 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57 ST/11 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.184 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/72 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/231 OCEAN AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57 ST/12 AV,,,,,,,,,,,,,,,,,,,0.436 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 AV/DAHILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,
36 ST/CLARA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 AV/39 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 LEFFERTS GARDENS PROSPECT PK STA,,,,,,
NARROWS AV/86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 AV/50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,
FT HAMILTON PY/BAY RIDGE AV,,,,,,0.222 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 AV/56 ST,,,,,,,,,,,,,,,,,,,,,,19.222 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATON AV/OCEAN PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.677 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,0.326 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/LINCOLN RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,0.305 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/64 ST,,,,,0.186 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/74 ST,,,,,,,,,,,,,,,,,,,,0.0 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56 ST/11 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.463 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/79 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.778 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE RD/RIDGE BL,,,,,,,,,,,,0.24 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264 BAY RIDGE SHORE RD,,,,
OCEAN AV/OPP 231 OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.038 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/CATON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,0.151 BAY RIDGE SHORE RD,,,,,,,,,,,,
FT HAMILTON PY/83 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,2.104 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,
13 AV/47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/68 ST,,,,,0.0 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 AV/56 ST,,,,,,,,,,,,,,,,,,0.239 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 AV/44 ST,,,,,,,,,,,,,,0.271 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56 ST/12 AV,,,,,,,,,,,,,,,,19.087 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATON AV/E 4 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 AV/45 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/COLONIAL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,3.156 LEFFERTS GARDENS PROSPECT PK STA,,,,,
LINCOLN RD/FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/5 AV,,,,,,,,,,2.17 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 BAY RIDGE SHORE RD,,,,,,,,,,
SHORE RD/4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/77 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.088 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE RD/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 LEFFERTS GARDENS PROSPECT PK STA,,,
FLATBUSH AV/OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.445 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 AV/41 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 AV/49 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,
57 ST/FT HAMILTON PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.519 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/58 ST,,,,,,,,2.76 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE RD/88 ST,,,,,,,,,,,,,,,,,0.181 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATON AV/E 5 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATON AV/WESTMINSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 LEFFERTS GARDENS PROSPECT PK STA,
3 AV/SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,
36 ST/12 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN AV/PARKSIDE AV,,,,,,,,,,,,,,,,,,,,,0.274 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,0.687 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/FT HAMILTON PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56 ST/NEW UTRECHT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 AV/43 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATON AV/PARADE PL,,,,,,,,,0.31 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 AV/CHESTER AV,,,,,,,,,,,,,,,,,,,,,,,0.3 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATON AV/E 3 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/62 ST,,,,,,,,0.173 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,0.173 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37 ST/12 AV,,,,0.238 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.601 to depot of B16
NARROWS AV/89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/BAY RIDGE PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.115 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.115 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,
CATON AV/E 8 ST,,,,,,,0.883 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 AV/50 ST,,,0.128 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.993 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,
13 AV/54 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATON AV/MC DONALD AV,,0.25 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/MARINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 BAY RIDGE SHORE RD,,,,,,,,,,,,,,
14 AV/47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATON AV/E 16 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,
