,HUTCHINSON RVR PY E/BOLLER AV,BAINBRIDGE AV/E 206 ST,BAINBRIDGE AV/VAN CORTLANDT AV E,BARTOW AV/BRUNNER AV,E GUN HILL RD/WEBSTER AV,E GUN HILL RD/DEWITT PL,BEDFORD PK/JEROME AV,E GUN HILL RD/KINGSLAND AV,E GUN HILL RD/OLINVILLE AV,PAUL AV/BEDFORD PK BL,BARTOW AV/ELY AV,DREISER LOOP/DEBS PL,E GUN HILL RD/PEARSALL AV,JEROME AV/W KINGSBRIDGE RD,E GUN HILL RD/BURKE AV,E GUN HILL RD/BRONXWOOD AV,E GUN HILL RD/BOSTON RD,ERSKINE PL/EARHART LA,E GUN HILL RD/YOUNG AV,E GUN HILL RD/TRYON AV,GRAND CONCOURSE/E MOSHOLU PY S,E GUN HILL RD/GIVAN AV,E MOSHOLU PY S/JEROME AV,BAYCHESTER AV/750 BAYCHESTER AV,JEROME AV/MORRIS AV,ASCH LOOP/ALCOTT PL,HUNTER AV/EARHART LA,CO-OP CITY BL/CARVER LOOP  #1,E GUN HILL RD/KNAPP ST,E GUN HILL RD/DECATOUR AV,E MOSHOLU PY S/GRAND CONCOURSE,VALENTINE AV/E 192 ST,BARTOW AV/EDSON AV,BAINBRIDGE AV/RESERVOIR OVAL E,ASCH LOOP/BARTOW AV,ASCH LOOP/ADLER PL,BARTOW AV/CO-OP CITY BL,E KINGSBRIDGE RD/E 192 ST,CO-OP CITY BL/PEARTREE AV,E GUN HILL RD/WHITE PLAINS RD,E GUN HILL RD/EASTCHESTER RD,E GUN HILL RD/ARNOW AV,HUNTER AV/BOLLER AV,HUTCHINSON RVR PY E/EINSTEIN LOOP N,BAINBRIDGE AV/E GUN HILL RD,HUTCHINSON RVR PKY/EINSTEIN LOOP S,E GUN HILL RD/PUTNAM PL,E GUN HILL RD/HULL AV,E GUN HILL RD/HERING AV,E KINGSBRIDGE RD/GRAND CONCOURSE,EARHART LA/ERSKINE PL,HUTCHINSON RVR PY E/EINSTEIN LOOP S,BARTOW AV/GUNTHER AV,ASCH LOOP/CO-OP CITY BL,BAYCHESTER AV/ALDRICH ST,CO-OP CITY BL/BELLAMY LOOP S,W MOSHOLU PKY S/JEROME AV,E GUN HILL RD/BARNES AV,DREISER LOOP/CO-OP CITY BL,E GUN HILL RD/PAULDING AV,PAUL AV/W MOSHOLU PY S,PAUL AV/W 205 ST,E GUN HILL RD/FISH AV,JEROME AV/E 196 ST,BAINBRIDGE AV/E 210 ST,BAINBRIDGE AV/E MOSHOLU PY N,CO-OP CITY BL/CARVER LOOP #2,BAINBRIDGE AV/E 204 ST,DREISER LOOP/DEFOE PLACE,HUTCHINSON RVR PKY/EINSTEIN LOOP N,BAYCHESTER AV/DONIZETTI PL,BAYCHESTER AV/DARROW PL,CO-OP CITY BL/BELLAMY LOOP N,E KINGSBRIDGE RD/MORRIS AV,BARTOW AV/REAR OF PATHMARK,E GUN HILL RD/LACONIA AV,West Farms Depot (WF)
BAYCHESTER AV/750 BAYCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.986 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,
JEROME AV/MORRIS AV,,,,,,,0.766 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,
ASCH LOOP/ALCOTT PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.234 CO-OP CITY EARHART LANE via GUNHILL,,,,
HUNTER AV/EARHART LA,0.696 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO-OP CITY BL/CARVER LOOP  #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,
E GUN HILL RD/KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,
E GUN HILL RD/DECATOUR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E MOSHOLU PY S/GRAND CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.931 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,
VALENTINE AV/E 192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARTOW AV/EDSON AV,,,,1.557 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,
BAINBRIDGE AV/RESERVOIR OVAL E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,
ASCH LOOP/BARTOW AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,
ASCH LOOP/ADLER PL,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.497 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,
BARTOW AV/CO-OP CITY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.863 FORDHAM CENTER 192 ST via GUNHILL,,0.204 CO-OP CITY EARHART LANE via GUNHILL,,
E KINGSBRIDGE RD/E 192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.546 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,6.433 to depot of Bx28
CO-OP CITY BL/PEARTREE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/WHITE PLAINS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/EASTCHESTER RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,0.058 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/ARNOW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER AV/BOLLER AV,,,,,,,,,,,,,,,,,,0.349 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUTCHINSON RVR PY E/EINSTEIN LOOP N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.772 FORDHAM CENTER 192 ST via GUNHILL,,
BAINBRIDGE AV/E GUN HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,
HUTCHINSON RVR PKY/EINSTEIN LOOP S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/PUTNAM PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/HULL AV,,,,,0.164 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,0.321 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/HERING AV,,,,,,,,,,,,,0.173 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E KINGSBRIDGE RD/GRAND CONCOURSE,,1.968 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.672 CO-OP CITY EARHART LANE via GUNHILL,,,
EARHART LA/ERSKINE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUTCHINSON RVR PY E/EINSTEIN LOOP S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
