,ARTHUR KILL RD/CROSSFIELD AV,FOSTER RD/SINCLAIR AV,EYLENDT ST/ LUTEN AV,ARDEN AV/ARTHUR KILL RD,ARTHUR KILL RD/ST JOHN NEWMANN,HYLAN BL/CORNELIA AV,ARDEN AV/HAMPTON GREEN,LUTEN AV/EYLANDT ST,HYLAN BL/WENDY DR,MARSH AV/ELMWOOD PK DR,FOSTER RD/DRUMGOOLE RD E,RICHMOND AV/PLATINUM AV,WOODROW RD/ALMOND ST,WOODROW RD/ELLSWORTH AV,ARDEN AV/FOREST GREEN,ARTHUR KILL RD/ARDEN AV,WOODROW RD/DESEREE AV,WOODROW RD/FOSTER RD,ARTHUR KILL RD/OPP ASPEN KNOLLS,ARDEN AV/ROLLING HILL GREEN,WOODROW RD/VINELAND AV,SEGUINE AV/SINGLETON ST,MARSH AV/WINDHAM LOOP,ARTHUR KILL RD/1297 ARTHUR KILL RD,FOSTER RD/RAMONA AV,ELTINGVILLE/TRANSIT CENTER,FOSTER RD/DARLINGTON AV,MARSH AV/RING RD,WOODROW RD/DELMAR AV,ARTHUR KILL RD/WOODROW RD,SEGUINE AV/DIRENZO CT,HYLAN BL/SEGUINE AV,HYLAN BL/LUTEN AV,WOODROW RD/HOLCOMB AV,WOODROW RD/CANTON AV,ARTHUR KILL RD/1666 ARTHUR KILL RD,ARDEN AV/CORRELL AV,RICHMOND AV/YUKON AV,WOODROW RD/BOULDER ST,FOSTER RD/WHEELING AV,PLATINUM AV/TOYS R US,ARDEN AV/DOVER GREEN,ARTHUR KILL RD/ANNADALE RD,SEGUINE AV/KNOX ST,ARDEN AV/WOODROW RD,FOSTER RD/AMBOY RD,SEGUINE AV/OSWALD PL,FOSTER RD/ALBOURNE AV,SEGUINE AV/WATERBURY AV,PLATINUM AV/SEARS,FOSTER RD/DRUMGOOLE RD W,SEGUINE AV/JOHANNA LA,ARTHUR KILL RD/1547 ARTHUR KILL RD,FOSTER RD/WOODROW RD,RICHMOND AV/FOREST HILL RD,WOODROW RD/ALVERSON AV,FOSTER RD/RATBURN AV,ARTHUR KILL RD/ARDEN HGHTS SHOP,ARTHUR KILL RD/LADD AV,Charleston Depot (CH)
WOODROW RD/VINELAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEGUINE AV/SINGLETON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078 S56 S I MALL,,,,,,,,,,,,,,,,
MARSH AV/WINDHAM LOOP,,,,,,,,,,0.398 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 S56 HUGUENOT LUTEN AV,,,,,,,,,,
ARTHUR KILL RD/1297 ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,0.318 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER RD/RAMONA AV,,0.316 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTINGVILLE/TRANSIT CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.255 S56 S I MALL,,,,0.783 S56 HUGUENOT LUTEN AV,
FOSTER RD/DARLINGTON AV,,,,,,,,,,,0.247 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,0.316 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/RING RD,,,,,,,,,,0.969 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/DELMAR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 S56 S I MALL,,,,,0.3 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,0.188 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,0.349 S56 S I MALL,,,,,,,,,,,,,,,,,
SEGUINE AV/DIRENZO CT,,,,,,,,,,,,,,,,,,,,,,0.212 S56 S I MALL,,,,,,,,,,0.184 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SEGUINE AV,,,,,,1.839 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,0.598 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/LUTEN AV,,,1.625 S56 HUGUENOT LUTEN AV,,,0.144 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/HOLCOMB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.415 S56 S I MALL,,,,,,,,,,,,,,,
WOODROW RD/CANTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/1666 ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306 S56 S I MALL,,
ARDEN AV/CORRELL AV,,,,,,,0.344 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.159 S56 S I MALL,,,,,,,,,,,,,,0.676 S56 HUGUENOT LUTEN AV,,,,,
WOODROW RD/BOULDER ST,,,,,,,,,,,,,,0.422 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER RD/WHEELING AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 S56 HUGUENOT LUTEN AV,,,,,,,,,,,
PLATINUM AV/TOYS R US,,,,,,,,,,,,,,,,,,,,,,,0.422 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/DOVER GREEN,,,,,,,,,,,,,,,0.266 S56 HUGUENOT LUTEN AV,0.144 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ANNADALE RD,0.205 S56 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 S56 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
