,FR CAPODANNO BL/BUEL AV,BAY ST/BOROUGH PL,MIDLAND AV/RICHMOND RD,MIDLAND AV/MASON AV,LINCOLN AV/GRANT PL,FR CAPODANNO BL/LINDA AV,FR CAPODANNO BL/SAND LA,BAY ST/VIRGINIA AV,FR CAPODANNO BL/ATLANTIC AV,FR CAPODANNO BL/NAUGHTON AV,SCHOOL RD/DENNIS TORRICELLI ST,MIDLAND AV/HYLAN BL,FR CAPODANNO BL/CROMWELL AV,MIDLAND AV/FR CAPODANNO BL,FR CAPODANNA BL / SAND LA,BAY ST/CENTRAL AV,NEW YORK AV/DRUM AV- BLDG 120,BAY ST/NICK LAPORTE PL,NEW YORK AV/TOMPKINS AV,BAY ST/ST MARYS AV,BAY ST/FINGERBOARD RD,LILY POND AV/MAJOR AV,MIDLAND AV/N RAILROAD AV,LINCOLN AV/RICHMOND RD,MC CLEAN AV/LILY POND AV,MIDLAND AV/PATTERSON AV,BAY ST/WATER ST,BAY ST/VANDERBILT AV,BAY ST/LYMAN AV,FR CAPODANNO BL/BURGHER AV,MIDLAND AV/COLONY ST,BAY ST/WAVE ST,BAY ST/PROSPECT ST,FR CAPODANNO BL/DOTY AV,BAY ST/BAYLEY SETON HOSPITAL,BAY ST/VAN DUZER EXT,FR CAPODANNO BL/GRAHAM BL,LINCOLN AV/EDISON ST,FR CAPODANNO BL/DELAWARE AV,BAY ST/SANDS ST,MIDLAND AV/EDISON ST,BAY ST/CLINTON ST,FR CAPODANNO BL/SLATER BL,BATTERY RD/AIR FORCE RESERVE,MIDLAND AV/BOUNDARY AV,BAY ST/HANNAH ST,BAY ST/LYNHURST AV,BAY ST/HYLAN BL,NEW YORK AV/COAST GUARD DR,MIDLAND AV/CLAWSON ST,BATTERY RD/TENNESSEE RD,FR CAPADONNO BL/SEAVIEW AV,SCHOOL RD/D TORRECELLI ST,BAY ST/CHESTNUT AV,MIDLAND AV/MORELAND ST,LILY POND AV/MC CLEAN AV,FR CAPODANNO BL/HEMPSTEAD AV,BAY ST/NAUTILUS ST,FR CAPODANNO BL/ROBIN RD,NEW YORK AV/DRUM AV - BLDG 209,MIDLAND AV/FREEBORN ST,SCHOOL RD/TOMPKINS AV,BAY ST/EDGEWATER ST,ST GEORGE FERRY/S51 & S81,FR CAPODANNO BL/OCEAN AV,BAY ST/SEA GATE RD,NEW YORK AV/MARSHALL RD,HYLAN BL/MIDLAND AV,FR CAPODANNO BL/HUNTER AV,BAY ST/NEW LA,BAY ST/ST JOHNS AV,FR CAPODANNO BL/JEFFERSON AV,BAY ST/GRANT ST,BAY ST/SLOSSON TE,BAY ST/BROAD ST,BAY ST/VICTORY BL,FR CAPODANNO BL/ALTER AV,LINCOLN AV/S RAILROAD AV,FR CAPODANNO BL/SEAVIEW AV,BAY ST/THOMPSON ST,FR CAPODANNO BL/SIOUX ST,BAY ST/TOWNSEND AV,MIDLAND AV/KISWICK ST,BAY ST/WILLIAM ST,ST GEORGE FERRY/ST GEORGE FERRY,BAY ST/WILLOW AV,BAY ST/SHORE ACRES DR,NEW YORK AV/SOUTH RD,Yukon Depot (YU)
FR CAPODANNO BL/JEFFERSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/GRANT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 GRANT CITY via BAY ST,,,,,
BAY ST/SLOSSON TE,,0.124 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/BROAD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/VICTORY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,
FR CAPODANNO BL/ALTER AV,,,,,,,,,,,,,0.195 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,1.712 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN AV/S RAILROAD AV,,,,,,,,,,,,,,,,,,,,,,,,0.352 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR CAPODANNO BL/SEAVIEW AV,,,,,,,,,,,,,0.151 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/THOMPSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR CAPODANNO BL/SIOUX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/TOWNSEND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDLAND AV/KISWICK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/WILLIAM ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.653 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/WILLOW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/SHORE ACRES DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/SOUTH RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukon Depot (YU),,,,,,,,,,,,,,,,,,,,,,,,5.9 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
