,FR CAPODANNO BL/BUEL AV,BAY ST/BOROUGH PL,MIDLAND AV/RICHMOND RD,MIDLAND AV/MASON AV,LINCOLN AV/GRANT PL,FR CAPODANNO BL/LINDA AV,FR CAPODANNO BL/SAND LA,BAY ST/VIRGINIA AV,FR CAPODANNO BL/ATLANTIC AV,FR CAPODANNO BL/NAUGHTON AV,SCHOOL RD/DENNIS TORRICELLI ST,MIDLAND AV/HYLAN BL,FR CAPODANNO BL/CROMWELL AV,MIDLAND AV/FR CAPODANNO BL,FR CAPODANNA BL / SAND LA,BAY ST/CENTRAL AV,NEW YORK AV/DRUM AV- BLDG 120,BAY ST/NICK LAPORTE PL,NEW YORK AV/TOMPKINS AV,BAY ST/ST MARYS AV,BAY ST/FINGERBOARD RD,LILY POND AV/MAJOR AV,MIDLAND AV/N RAILROAD AV,LINCOLN AV/RICHMOND RD,MC CLEAN AV/LILY POND AV,MIDLAND AV/PATTERSON AV,BAY ST/WATER ST,BAY ST/VANDERBILT AV,BAY ST/LYMAN AV,FR CAPODANNO BL/BURGHER AV,MIDLAND AV/COLONY ST,BAY ST/WAVE ST,BAY ST/PROSPECT ST,FR CAPODANNO BL/DOTY AV,BAY ST/BAYLEY SETON HOSPITAL,BAY ST/VAN DUZER EXT,FR CAPODANNO BL/GRAHAM BL,LINCOLN AV/EDISON ST,FR CAPODANNO BL/DELAWARE AV,BAY ST/SANDS ST,MIDLAND AV/EDISON ST,BAY ST/CLINTON ST,FR CAPODANNO BL/SLATER BL,BATTERY RD/AIR FORCE RESERVE,MIDLAND AV/BOUNDARY AV,BAY ST/HANNAH ST,BAY ST/LYNHURST AV,BAY ST/HYLAN BL,NEW YORK AV/COAST GUARD DR,MIDLAND AV/CLAWSON ST,BATTERY RD/TENNESSEE RD,FR CAPADONNO BL/SEAVIEW AV,SCHOOL RD/D TORRECELLI ST,BAY ST/CHESTNUT AV,MIDLAND AV/MORELAND ST,LILY POND AV/MC CLEAN AV,FR CAPODANNO BL/HEMPSTEAD AV,BAY ST/NAUTILUS ST,FR CAPODANNO BL/ROBIN RD,NEW YORK AV/DRUM AV - BLDG 209,MIDLAND AV/FREEBORN ST,SCHOOL RD/TOMPKINS AV,BAY ST/EDGEWATER ST,ST GEORGE FERRY/S51 & S81,FR CAPODANNO BL/OCEAN AV,BAY ST/SEA GATE RD,NEW YORK AV/MARSHALL RD,HYLAN BL/MIDLAND AV,FR CAPODANNO BL/HUNTER AV,BAY ST/NEW LA,BAY ST/ST JOHNS AV,FR CAPODANNO BL/JEFFERSON AV,BAY ST/GRANT ST,BAY ST/SLOSSON TE,BAY ST/BROAD ST,BAY ST/VICTORY BL,FR CAPODANNO BL/ALTER AV,LINCOLN AV/S RAILROAD AV,FR CAPODANNO BL/SEAVIEW AV,BAY ST/THOMPSON ST,FR CAPODANNO BL/SIOUX ST,BAY ST/TOWNSEND AV,MIDLAND AV/KISWICK ST,BAY ST/WILLIAM ST,ST GEORGE FERRY/ST GEORGE FERRY,BAY ST/WILLOW AV,BAY ST/SHORE ACRES DR,NEW YORK AV/SOUTH RD,Yukon Depot (YU)
MC CLEAN AV/LILY POND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDLAND AV/PATTERSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/WATER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 GRANT CITY via BAY ST,,,,,,,,,,,,,,
BAY ST/VANDERBILT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459 ST GEORGE FERRY via BAY ST,,0.13 GRANT CITY via BAY ST,,,,,,,
BAY ST/LYMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR CAPODANNO BL/BURGHER AV,,,,,,,,,,,,,,,0.974 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDLAND AV/COLONY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/WAVE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/PROSPECT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 GRANT CITY via BAY ST,,,,,0.12 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR CAPODANNO BL/DOTY AV,,,,,,,0.302 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.764 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/BAYLEY SETON HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/VAN DUZER EXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,
FR CAPODANNO BL/GRAHAM BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,
LINCOLN AV/EDISON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 GRANT CITY via BAY ST,,,,,,,,,,,
FR CAPODANNO BL/DELAWARE AV,,,,,,,,,1.716 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111 GRANT CITY via BAY ST,,,,,,,,,,,,
BAY ST/SANDS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDLAND AV/EDISON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/CLINTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,
FR CAPODANNO BL/SLATER BL,0.322 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.573 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY RD/AIR FORCE RESERVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.457 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDLAND AV/BOUNDARY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,
BAY ST/HANNAH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,
BAY ST/LYNHURST AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396 ST GEORGE FERRY via BAY ST,,,,,,,
BAY ST/HYLAN BL,,,,,,,,0.145 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,
NEW YORK AV/COAST GUARD DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDLAND AV/CLAWSON ST,,,,,,,,,,,,0.285 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY RD/TENNESSEE RD,,,,,,,,,,,,,,,,,,,18.757 ST GEORGE FERRY via BAY ST,,,18.239 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR CAPADONNO BL/SEAVIEW AV,0.28 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL RD/D TORRECELLI ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/CHESTNUT AV,,,,,,,,,,,,,,,,,,,,0.159 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDLAND AV/MORELAND ST,,,,0.061 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LILY POND AV/MC CLEAN AV,,,,,,,,,,,,,,,,,,,,,,0.172 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.404 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR CAPODANNO BL/HEMPSTEAD AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/NAUTILUS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.643 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,
FR CAPODANNO BL/ROBIN RD,,,,,,0.293 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/DRUM AV - BLDG 209,,,,,,,,,,,0.606 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDLAND AV/FREEBORN ST,,,,,,,,,,,,,,0.391 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL RD/TOMPKINS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.299 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.198 ST GEORGE FERRY via BAY ST,
BAY ST/EDGEWATER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 GRANT CITY via BAY ST,,,
ST GEORGE FERRY/S51 & S81,,,,,,,,,,,,,,,,,,0.379 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR CAPODANNO BL/OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,0.532 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/SEA GATE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 ST GEORGE FERRY via BAY ST,,
NEW YORK AV/MARSHALL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.014 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/MIDLAND AV,,,,,0.288 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR CAPODANNO BL/HUNTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58 ST GEORGE FERRY via BAY ST,,,,,,,,
BAY ST/NEW LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.246 ST GEORGE FERRY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/ST JOHNS AV,,,,,,,,,,,,,,,,,,,,,0.365 GRANT CITY via BAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
