,W 231 ST/BROADWAY,W 231 ST/TIBBETT AV,W 231 ST/BAILEY AV,GRAND CONCOURSE/FIELD PL,W MOSHOLU PY S/PAUL AV,SEDGWICK AV/STEVENSON PL,HEATH AV/FT. INDEPENDENCE,GRAND CONCOURSE/E 180 ST,GRAND CONCOURSE/E 181 ST,LINCOLN AV/E 137 ST,GRAND CONCOURSE/E 198 ST,W 231 ST/KINGSBRIDGE AV,E 138 ST/3 AV,GRAND CONCOURSE/MINERVA PL,GRAND CONCOURSE/E 192 ST,GRAND CONCOURSE/E 172 ST,GRAND CONCOURSE/E 153 ST,GRAND CONCOURSE/E 144 ST,E 136 ST/LINCOLN AV,GRAND CONCOURSE/E 158 ST,GRAND CONCOURSE/E 203 ST,E MOSHOLU PKY S/JEROME AV,GRAND CONCOURSE/MC CLELLAN ST,GRAND CONCOURSE/E 138 ST,GRAND CONCOURSE/BEDFORD PK BL,GRAND CONCOURSE/E MOSHOLU PY S,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE/E 163 ST,GRAND CONCOURSE/E 182 ST,GRAND CONCOURSE/E KINGSBRIDGE RD,W MOSHOLU PKY S/JEROME AV,GRAND CONCOURSE/E 196 ST,GRAND CONCOURSE/E 169 ST,SEDGWICK AV/HILLMAN AV,HEATH AV/ALBANY CRES,GRAND CONCOURSE/VAN CORTLANDT AV E,GRAND CONCOURSE/MORRIS AV,GRAND CONCOURSE/E 179 ST,GRAND CONCOURSE/E 177 ST,GRAND CONCOURSE/E 149 ST,GRAND CONCOURSE/E 174 ST,SEDGWICK AV/GILES PL,GRAND CONCOURSE/E 161 ST,GRAND CONCOURSE/CROSS BX EXP OVERPASS,GRAND CONCOURSE/E 175 ST,ALBANY CR/BAILEY AV,SEDGWICK AV/FT INDEPENDENCE ST,SEDGWICK AV/DICKINSON AV,GRAND CONCOURSE/E 170 ST,GRAND CONCOURSE/E 204 ST,GRAND CONCOURSE/E 167 ST,GRAND CONCOURSE/E 156 ST,W 231 ST/CORLEAR AV,GRAND CONCOURSE/E MT EDEN AV,GRAND CONCOURSE/MT EDEN AV,SEDGWICK AV/STEVENSON PL 2,RIVERDALE AV/W 231 ST,HEATH AV/SUMMIT PL,W MOSHOLU PKY S/PAUL AV,SEDGWICK AV/STEVENSON PL 1,GRAND CONCOURSE/E 206 ST,GRAND CONCOURSE/E 187 ST,GRAND CONCOURSE/E TREMONT AV,GRAND CONCOURSE/E 165 ST,SEDGWICK AV/VAN CORTLANDT AV W,GRAND CONCOURSE/E FORDHAM RD,GRAND CONCOURSE/E CLARKE PL,Kingsbridge Depot (KB)
GRAND CONCOURSE/E BURNSIDE AV,,,,,,,,0.978 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.836 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 163 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,1.892 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,
GRAND CONCOURSE/E 182 ST,,,,1.092 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,0.237 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E KINGSBRIDGE RD,,,,,,,,,,,,,,,0.968 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,0.27 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W MOSHOLU PKY S/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.458 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 196 ST,,,,,,,,,,,0.334 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,0.863 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 169 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/HILLMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098 LIMITED RIVERDALE 231 ST via CONCOURSE,,,
HEATH AV/ALBANY CRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,
GRAND CONCOURSE/VAN CORTLANDT AV E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/MORRIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 179 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,0.67 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 177 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 138 ST/3 AV,,,,,,,,,,,,,,,,,,,0.21 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 149 ST,,,,,,,,,,,,,,,,,1.047 LIMITED RIVERDALE 231 ST via CONCOURSE,0.798 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,
SEDGWICK AV/GILES PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,0.313 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,
GRAND CONCOURSE/E 161 ST,,,,,,,,,,,,,,,,,,,,0.412 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,0.493 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/CROSS BX EXP OVERPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.909 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,
ALBANY CR/BAILEY AV,,,0.16 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/FT INDEPENDENCE ST,,,,,,,0.147 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/DICKINSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,0.4 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,
GRAND CONCOURSE/E 170 ST,,,,,,,,,,,,,,,,0.282 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.477 LIMITED MOTT HAVEN 138 ST via CONCOURSE,
GRAND CONCOURSE/E 204 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.262 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 167 ST,,,,,,,,,,,,,,,,,,,,,,,0.899 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,0.349 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 156 ST,,,,,,,,,,,,,,,,,0.275 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,1.008 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/CORLEAR AV,0.232 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E MT EDEN AV,,,,,,,,,,,,,,,,0.995 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/MT EDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/STEVENSON PL 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/W 231 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,
