,JEWETT AV/HOLBERNT CT,JEWETT AV/KEIBER CT,VICTORY BL/EDDY ST,CLOVE RD/NIAGARA ST,ST GEORGE FERRY/S66,VICTORY BL/SILVER MT CEM,PORT RICHMOND AV/HARRISON AV,PARK AV/RICHMOND TER #2,PARK AV/RICHMOND TE,JEWETT AV/GOODWIN AV,BAY ST/SLOSSON TE,JEWETT AV/THE BLVD,JEWETT AV/KIMBALL AV,VICTORY BL/ALBERT ST,JEWETT AV/KRAMER PL,CLOVE RD/HOWARD AV,VICTORY BL/JERSEY ST,VICTORY BL/ BROOK ST,VICTORY BL / BAY ST,HOWARD AV/SIGNAL HILL RD,VICTORY BL/LITTLE CLOVE RD,CLOVE RD/SCHOHARIE ST,JEWETT AV/EGBERT AV,VICTORY BL/BROOK ST,CLOVE RD/VAN CORTLANDT AV,JEWETT AV/WATERS AV,ARLO RD / STRATFORD AV,JEWETT AV/WATCHOGUE RD,VICTORY BL/GOLF COURSE ENT,JEWETT AV/COLLEGE AV,BAY ST/BOROUGH PL,VICTORY BL/FREMONT ST,BAY ST/NICK LAPORTE PL,VICTORY BL/MONTGOMERY AV,ARLO RD / 73 ARLO RD,VICTORY BL/LABAU AV,VICTORY BL/CEBRA AV,ST GEORGE FERRY/RAMP A BAY 2,HOWARD AV/CAMPUS RD,HOWARD AV/CLOVE RD,CASTLETON AV/JEWETT AV,VICTORY BL/MOUNTAINVIEW AV,BAY ST/CENTRAL AV,VICTORY BL/VAN DUZER ST,HOWARD AV/SETH CT,ARLO RD/STRATFORD RD,VICTORY BL/SLOSSON AV,VICTORY BL/S GREENLEAF AV,VICTORY BL/WOODSTOCK AV,VICTORY BL/CLOVE RD,CLOVE RD/FOOTE AV,VICTORY BL/FOREST AV,VICTORY BL/MANOR RD,JEWETT AV/BURNSIDE AV,VICTORY BL/RENWICK AV,VICTORY BL/WESTCOTT BL,VICTORY BL/HIGHLAND AV,VICTORY BL/THERESA PL,VICTORY BL/TODT HILL RD,VICTORY BL/CYPRESS AV,JEWETT AV/MARKHAM PL,JEWETT AV/FOREST AV,VICTORY BL/AUSTIN PL,CLOVE RD/TIOGA ST,VICTORY BL/SILVER LAKE APTS,VICTORY BL/ONTARIO AV,PORT RICHMOND AV/BENNETT ST,VICTORY BL/LESTER ST,JEWETT AV/POST AV,VICTORY BL/HODGES PL,HOWARD AV / WAGNER COLLEGE,HOWARD AV/HILLSIDE AV,CASTLETON AV/HEBERTON AV,VICTORY BL/PERRY AV,PORT RICHMOND AV/ANN ST,ARLO RD/HOWARD AV,VICTORY BL/JEWETT AV,Yukon Depot (YU)
CLOVE RD/HOWARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/JERSEY ST,,,,,,,,,,,,,,,,,,0.331 ST GEORGE FERRY via GRYMES HILL,,,,,,,,,,,,,,,,,,,0.258 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/ BROOK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253 ST GEORGE FERRY via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL / BAY ST,,,,,,,,,,,0.431 ST GEORGE FERRY via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,0.076 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOWARD AV/SIGNAL HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.587 ST GEORGE FERRY via GRYMES HILL,,
VICTORY BL/LITTLE CLOVE RD,,,,,,,,,,,,,,0.222 ST GEORGE FERRY via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVE RD/SCHOHARIE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 ST GEORGE FERRY via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEWETT AV/EGBERT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 ST GEORGE FERRY via GRYMES HILL,,,,,,,,0.204 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,
VICTORY BL/BROOK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVE RD/VAN CORTLANDT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEWETT AV/WATERS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 ST GEORGE FERRY via GRYMES HILL,,,,,,,,,,,,,,,,,
ARLO RD / STRATFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505 ST GEORGE FERRY via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,
JEWETT AV/WATCHOGUE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421 ST GEORGE FERRY via GRYMES HILL,,,,
VICTORY BL/GOLF COURSE ENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,
JEWETT AV/COLLEGE AV,,,,,,,,,,,,0.292 ST GEORGE FERRY via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/BOROUGH PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352 ST GEORGE FERRY via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/FREMONT ST,,,,,,,,,,,,,,,,,0.28 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/NICK LAPORTE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/MONTGOMERY AV,,,,,,,,,,,,,,,,,,,,,,,,0.275 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARLO RD / 73 ARLO RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/LABAU AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,
VICTORY BL/CEBRA AV,,,,,,,,,,,,,,,,,0.258 ST GEORGE FERRY via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/RAMP A BAY 2,,,,,0.799 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOWARD AV/CAMPUS RD,,,,,,,,,,,,,,,,0.469 PORT RICHMOND via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 ST GEORGE FERRY via GRYMES HILL,,,,,,,
HOWARD AV/CLOVE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.536 ST GEORGE FERRY via GRYMES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
