,EASTERN PY/UTICA AV,PITKIN AV/LEGION ST,SUTTER AV/SCHENCK AV,PITKIN AV/HERZL ST,SUTTER AV/LINWOOD ST,SUTTER AV/ASHFORD ST,SUTTER AV/WILLIAMS AV,SUTTER AV/GEORGIA AV,SUTTER AV/MILFORD ST,SUTTER AV/ALABAMA AV,DUMONT AV/POWELL ST,PITKIN AV/SARATOGA AV,EASTERN PY/RALPH AV,SUTTER AV/SHEPHERD AV,SUTTER AV/LINCOLN AV,MOTHER GASTON BL/BLAKE AV,LORING AV/DREW ST,SUTTER AV/HENDRIX ST,DUMONT AV/JUNIUS ST,SUTTER AV/CLEVELAND ST,SUTTER AV/MONTAUK AV,SUTTER AV/WARWICK ST,STANLEY AV/SHERIDAN AV,PITKIN AV/BRISTOL ST,EASTERN PY/SCHENECTADY AV,LINDEN BL/ELDERT LA,PITKIN AV/MOTHER GASTON BL,PITKIN AV/ROCKAWAY AV,RALPH AV/EASTERN PY,MOTHER GASTON BL/BELMONT AV,SUTTER AV/VAN SICLEN AV,SUTTER AV/BARBEY ST,PITKIN AV/HOWARD AV,SUTTER AV/AUTUMN AV,SUTTER AV/JEROME ST,SUTTER AV/ESSEX ST,SUTTER AV/ELTON ST,SUTTER AV/PENNSYLVANIA AV,PITKIN AV/OSBORN ST,PITKIN AV/AMBOY ST,SUTTER AV/WYONA ST,LINCOLN AV/BLAKE AV,POWELL ST/DUMONT AV,SUTTER AV/VERMONT ST,SUTTER AV/VAN SINDEREN AV,SUTTER AV/MILLER AV,ELDERT LA/LORING AV,LINDEN BL/SHERIDAN AV,EAST NEW YORK AV/UNION ST,SUTTER AV/BERRIMAN ST,DREW ST/LINDEN BL,DREW ST/DUMONT AV,DUMONT AV/MOTHER GASTON BL,POSTAL FACILITY RD/IN FRONT OF FACILITY,EASTERN PY/BUFFALO AV,SUTTER AV/ATKINS AV,MOTHER GASTON BL/SUTTER AV,SUTTER AV/LOGAN ST,STANLEY AV/ELDERT LA,EASTERN PY/ROCHESTER AV,SUTTER AV/HINSDALE ST,JUNIUS ST/SUTTER AV,PITKIN AV/STRAUSS ST,JUNIUS ST/BLAKE AV,SUTTER AV/FOUNTAIN AV,SUTTER AV/CRESCENT ST,DREW ST/SUTTER AV,PITKIN AV/THOMAS S BOYLAND ST,MOTHER GASTON BL/PITKIN AV,POWELL ST/BLAKE AV,SUTTER AV/BRADFORD ST,SUTTER AV/POWELL ST,SUTTER AV/EUCLID AV,SUTTER AV/GRANT AV,Jackie Gleason Depot (JG)
LORING AV/DREW ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/HENDRIX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUMONT AV/JUNIUS ST,,,,,,,,,,,0.084 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/CLEVELAND ST,,,,,0.14 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/MONTAUK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/WARWICK ST,,,,,,,,,,,,,,,,,,,,0.14 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANLEY AV/SHERIDAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITKIN AV/BRISTOL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTERN PY/SCHENECTADY AV,0.23 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.586 to depot of B14
LINDEN BL/ELDERT LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITKIN AV/MOTHER GASTON BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITKIN AV/ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,0.16 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,0.16 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/EASTERN PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHER GASTON BL/BELMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,
SUTTER AV/VAN SICLEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 CROWN HEIGHTS UTICA AV,,,,
SUTTER AV/BARBEY ST,,,,,,,,,,,,,,,,,,,,,,0.121 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITKIN AV/HOWARD AV,,,,,,,,,,,,0.244 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/AUTUMN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 CROWN HEIGHTS UTICA AV,,,,,,,,,
SUTTER AV/JEROME ST,,,0.16 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/ESSEX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/ELTON ST,,,,,,0.108 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/PENNSYLVANIA AV,,,,,,,,,,0.24 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITKIN AV/OSBORN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,
PITKIN AV/AMBOY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,
SUTTER AV/WYONA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN AV/BLAKE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWELL ST/DUMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 SPRING CREEK STANLEY AV POSTAL FAC,,,,,
SUTTER AV/VERMONT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/VAN SINDEREN AV,,,,,,,0.308 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,
SUTTER AV/MILLER AV,,,,,,,,,,,,,,,,,,0.151 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELDERT LA/LORING AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.784 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,
LINDEN BL/SHERIDAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST NEW YORK AV/UNION ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/BERRIMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREW ST/LINDEN BL,,,,,,,,,,,,,,,,,0.136 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREW ST/DUMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,
DUMONT AV/MOTHER GASTON BL,,,,,,,,,,,,,,,,0.637 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSTAL FACILITY RD/IN FRONT OF FACILITY,,,,,,,,,,,,,,,,,,,,,,,0.199 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTERN PY/BUFFALO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.785 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.399 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,
SUTTER AV/ATKINS AV,,,,,,,,,0.128 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHER GASTON BL/SUTTER AV,,,,,,,,,,,,,,,,0.157 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,0.791 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/LOGAN ST,,,,,,,,,,,,,,,,,,,,,0.157 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANLEY AV/ELDERT LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,
EASTERN PY/ROCHESTER AV,1.182 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,
SUTTER AV/HINSDALE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNIUS ST/SUTTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 CROWN HEIGHTS UTICA AV,,,,,,,,,,,
PITKIN AV/STRAUSS ST,,0.138 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNIUS ST/BLAKE AV,,,,,,,,,,,,,,,,,,,0.174 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/FOUNTAIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,0.284 SPRING CREEK STANLEY AV POSTAL FAC,,
SUTTER AV/CRESCENT ST,,,,,,,,,,,,,,,0.239 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 CROWN HEIGHTS UTICA AV,,
DREW ST/SUTTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,
PITKIN AV/THOMAS S BOYLAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHER GASTON BL/PITKIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWELL ST/BLAKE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 SPRING CREEK STANLEY AV POSTAL FAC,,,
SUTTER AV/BRADFORD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/POWELL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/EUCLID AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 CROWN HEIGHTS UTICA AV,0.16 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,
SUTTER AV/GRANT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.734 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,7.656 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
