,ST JOHNS PL/SCHENECTADY AV,ST JOHNS PL/BUFFALO AV,LIVINGSTON ST/SMITH ST,FLATBUSH AV/STATE ST,STERLING PL/CLASSON AV,FLATBUSH AV/ATLANTIC AV,RALPH AV/ST JOHNS PL,ATLANTIC AV/VANDERBILT AV,LIVINGSTON ST/ COURT ST,ST JOHNS PL/FRANKLIN AV,RALPH AV/STERLING PL,ST JOHNS PL/ROGERS AV,ST JOHNS PL/BROOKLYN AV,ATLANTIC AV/CARLTON AV,WASHINGTON AV/DEAN ST,ST JOHNS PL/TROY AV,LIVINGSTON ST/HOYT ST,ST JOHNS PL/WASHINGTON AV,ST JOHNS PL/ALBANY AV,WASHINGTON AV/PACIFIC ST,ST JOHNS PL/BEDFORD AV,ATLANTIC AV/WAVERLY AV,ST JOHNS PL/ROCHESTER AV,ST MARKS AV/BUFFALO AV,STERLING PL/WASHINGTON AV,WASHINGTON AV/BERGEN ST,ST JOHNS PL/KINGSTON AV,ATLANTIC AV/S PORTLAND AV,BUFFALO AV/ST JOHNS PL,WASHINGTON AV/STERLING PL,ST JOHNS PL/RALPH AV,STERLING PL/FRANKLIN AV,WASHINGTON AV/ATLANTIC AV,JORALEMON ST/COURT ST,LIVINGSTON ST/BOND ST,LIVINGSTON ST/COURT ST,ST JOHNS PL/CLASSON AV,ST JOHNS PL/NEW YORK AV,ST JOHNS PL/UTICA AV,BUFFALO AV/PROSPECT PL,ATLANTIC AV/FLATBUSH AV,ATLANTIC AV/CUMBERLAND ST,LIVINGSTON ST/NEVINS ST,STERLING PL/BEDFORD AV,WASHINGTON AV/PROSPECT PL,ST MARKS AV/RALPH AV,ST JOHNS PL/NOSTRAND AV,Jackie Gleason Depot (JG)
STERLING PL/WASHINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 DOWNTOWN BKLYN COURT ST,,,
WASHINGTON AV/BERGEN ST,,,,,,,,,,,,,,,,,,,,0.193 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,,,,,,,,,,,,,0.222 CROWN HEIGHTS RALPH AV,,,
ST JOHNS PL/KINGSTON AV,,,,,,,,,,,,,0.241 DOWNTOWN BKLYN COURT ST,,,,,,0.63 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/S PORTLAND AV,,,,,,0.332 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUFFALO AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 CROWN HEIGHTS RALPH AV,,,,,,,,
WASHINGTON AV/STERLING PL,,,,,,,,,,,,,,,,,,0.107 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST JOHNS PL/RALPH AV,,0.248 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STERLING PL/FRANKLIN AV,,,,,0.295 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON AV/ATLANTIC AV,,,,,,,,,,,,,,,0.203 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JORALEMON ST/COURT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,
LIVINGSTON ST/BOND ST,,,,,,,,,,,,,,,,,0.206 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVINGSTON ST/COURT ST,,,,,,,,,0.0 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST JOHNS PL/CLASSON AV,,,,,,,,,,0.294 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST JOHNS PL/NEW YORK AV,,,,,,,,,,,,,0.234 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 DOWNTOWN BKLYN COURT ST,
ST JOHNS PL/UTICA AV,0.249 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,,,,,,,,,,0.241 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,
BUFFALO AV/PROSPECT PL,,,,,,,,,,,,,,,,,,,,,,,,0.1 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.025 CROWN HEIGHTS RALPH AV,,,,,,
ATLANTIC AV/CUMBERLAND ST,,,,,,,,,,,,,,0.141 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVINGSTON ST/NEVINS ST,,,,0.406 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,
STERLING PL/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,,,,
WASHINGTON AV/PROSPECT PL,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 DOWNTOWN BKLYN COURT ST,,,,0.221 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,
ST MARKS AV/RALPH AV,,,,,,,,,,,0.287 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST JOHNS PL/NOSTRAND AV,,,,,,,,,,,,0.236 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 CROWN HEIGHTS RALPH AV,,,,,,,,,,
Jackie Gleason Depot (JG),,,,4.659 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
